,SGEN.US
270,-0.5346409364125269
271,-0.221940393151568
272,0.2088211099158466
273,0.4974184611509835
274,0.1132075471698156
275,0.0102764361319595
276,-0.3540735647989101
277,0.8723505758876857
278,-0.0989187161032723
279,-0.5797996432002187
280,0.5493193217100403
281,-0.1777352428478592
282,-0.0410326551547288
283,0.2455912951529922
284,-0.3663129065388542
285,0.0957657842533595
286,-0.0684509548908168
287,-0.1542522195180436
288,-0.3439617514532384
289,-0.1964433416046295
290,-0.4013840830449913
291,-0.3332870434661781
292,0.0069429979865242
293,0.2451104312877059
294,-0.1761604107403148
295,-0.762024608501121
296,0.5941832586260941
297,-0.4572745043284006
298,0.2506963788300733
299,0.1737921445950643
300,0.3415836039870162
301,0.2838264699592275
302,-0.3661277215792874
303,0.695661852686646
304,0.2885602508254544
305,-0.9353908197272334
306,-0.300561797752807
307,0.2214187617366015
308,0.0252185608607865
309,-0.1627841706427123
310,-0.174313990103465
311,-0.0872330247347841
312,-0.4267224326004609
313,-0.1561242246150976
314,-0.3075874795940047
315,-0.2575999089149577
316,-0.1282526291788949
317,-0.1198459123983495
318,0.0826823287905629
319,-0.1770821432651675
320,-0.0114259597806274
321,0.0998772936107133
322,0.1595487050913138
323,0.4763660078827251
324,0.7458065968704203
325,0.1882451370006346
326,-0.9928179129700015
327,0.4137157282098053
328,-0.7061648188687238
329,-0.1981178801386832
330,0.1342566421707163
331,-0.0282725473565312
332,-0.3439838292137914
333,0.0814967046984686
334,-0.0780141843971728
335,0.3885552808195064
336,-0.3189227498228327
337,0.159207500442239
338,0.2294387575008944
339,-0.1201583262652077
340,0.1834344574573298
341,0.3269927217749048
342,-0.1232134056185392
343,-0.1904627539503458
344,0.2848802447859889
345,-0.1655745790178152
346,-0.0493444240800741
347,0.741673663588003
348,0.0419639110365102
349,-0.0910045502275082
350,0.9358579734477478
351,0.0652498135719548
352,0.0869241276542995
353,0.0930463370758672
354,0.0619924369226919
355,0.6528299562727119
356,-1.0958221779465729
357,-0.1683921666458838
358,0.0600238225389049
359,0.1951477449455747
360,0.1924748540916442
361,0.043443182523424
362,-0.0869619231008052
363,0.2107481559536375
364,0.3889849345517383
365,-0.1855746628727028
366,0.1790676134609398
367,-0.2103830208526545
368,-0.0309482545184521
369,0.1359871430337488
370,-0.2727160034709295
371,0.2226345083487849
372,0.1297016861219245
373,0.3937250076899506
374,0.0184524541764061
375,-1.1745787597007669
376,-1.5801995667767437
377,0.8415492957746431
378,0.2493765586034841
379,0.283692911179603
380,0.4046323426817444
381,-0.7520910943979708
382,0.1123358842940367
383,-0.3947275674913669
384,-0.3040158371040772
385,-0.2836074872376671
386,-0.4594180704440911
387,0.049834478339795
388,0.1776640727712042
389,0.3011194558594183
390,0.2191587133262653
391,-0.354735721887194
392,0.2123893805309815
393,0.0672114330185
394,-0.1736357193479833
395,-0.0815689612369973
396,-0.5312321734170026
397,-0.9211283822682794
398,0.2225892151935106
399,0.0860893894827291
