,ATVI.US
116,-0.0681044267877438
117,-0.0681508405270196
118,-0.2961950330371441
119,0.2274377955924032
120,0.3622876557191439
121,-0.5351246726630979
122,0.085319378874925
123,0.1816839834213326
124,0.7270882651335769
125,-0.6523840206185585
126,-0.6321932241854443
127,0.1779935275080897
128,0.0485201358563822
129,-0.0971345313258785
130,0.088960776384957
131,0.2983389775842528
132,0.1770766258853822
133,-0.0161004669135372
134,0.5364720954439921
135,-0.1523656776263013
136,-0.0964843417632689
137,-0.2251005631536675
138,-0.4038772213247172
139,0.0242267624969725
140,-0.6093597660058498
141,0.3562176165803091
142,-0.5208333333333338
143,-0.0895984361000239
144,0.2518687032824198
145,0.3400809716599204
146,0.113231963765772
147,0.0404236397445203
148,-0.0890111668554777
149,-0.0803363761815571
150,0.6573050492978753
151,0.2012672381662394
152,0.1488649050986145
153,0.1040969588817122
154,0.3039288361749418
155,-0.446760982874158
156,0.3117577197149551
157,-0.611495640068954
158,-0.2104475377937315
159,0.2686968204209473
160,-0.3445176752546281
161,0.3418471689381827
162,0.0537113017530792
163,-0.4583388290027532
164,-0.2843829851194943
165,-0.0601594224695537
166,0.0375855070284983
167,0.0976269149894829
168,-0.1052473312283764
169,0.0300616263339786
170,0.0750976269149852
171,-0.0090125274131045
172,-0.0135206189438899
173,-0.0150251671549709
174,0.2173913043478201
175,0.168401714635639
176,0.4116481170910355
177,-0.0152485513876259
178,-0.3365973072215405
179,0.2594231649626151
180,-0.0306823854104484
181,0.1905995276910235
182,-0.015238095238103
183,-0.667280257708241
184,0.0305168387008827
185,-0.0381989721561745
186,-0.0383670963781548
187,0.0306842589751614
188,0.0996244922982569
189,-0.0997238416692201
190,0.1267186310097321
191,-0.0501303081404128
192,-0.0306701426161788
193,0.045984058859597
194,-0.01533036946189
195,0.0153280196198511
196,-0.0460052139242464
197,-0.0460263884626985
198,0.0766518473095158
199,0.3513596089214632
200,-0.4177417373141705
201,0.2206693637366588
202,0.5183242880663593
203,0.176527879230577
204,0.279227874226058
205,-0.0607385811467582
206,-0.4392386530014635
207,0.0384186165639222
208,0.712642286267857
209,-0.1819725827975148
210,-0.0971463266545385
211,0.0909918107370371
212,-0.0182016745540596
213,0.096981452297246
214,0.0120000145454743
215,0.0364715860899121
216,0.1210214207914732
217,-0.2981146916163691
218,0.0128648583045046
219,0.0060679611650602
220,0.0485201358563707
221,-0.0910580950646547
222,0.0242762638830008
223,0.0424654210143127
224,-0.0121344497027121
225,-0.865732724696989
226,0.2668759811616981
227,-0.5921831819976312
228,0.4949717159019449
229,-0.4815662745717213
230,0.8376389541255623
231,-0.188235294117643
232,-0.0627844922304177
233,0.1410658307209973
234,-0.4041345100655906
235,-0.3366492973314393
236,0.2048534509927553
237,-0.1104275122259035
238,-0.4914394419784437
239,-0.2065131056393891
240,-0.2168313332420619
241,-0.1335883947074823
242,0.1273682534628329
243,-0.015923566878989
244,-0.4799999999999954
245,0.1756907842197722
246,-0.2722613709160821
247,-0.1363162537086053
248,-0.2572554063831443
249,0.2965694132734887
250,-0.2191594019383376
251,0.3445932828576876
252,0.3723224215463518
253,-0.2229222195299287
254,0.0048459003682977
255,0.1016604540833516
256,0.1353637901861257
257,0.2026342451874443
258,0.1685772083614267
259,0.3025210084033591
260,-0.7791327913279199
261,-0.155098875533149
262,0.1355275895450151
263,0.0483792936623097
264,0.0974376225220169
265,-0.3013379872018619
266,0.0290782204129118
267,-0.2721352901156586
268,0.058280718795534
269,0.0617394208143331
270,0.0644159875824617
271,-0.0097021441738673
272,-0.2139037433155069
273,-0.0875827170104994
274,0.4552940036810993
275,-1.3816475495307643
276,0.923355071995872
277,0.8451245278186781
278,0.5665902724726348
279,-0.0254712175242106
280,0.1017811704834583
281,-0.1784348712719864
282,-0.169161533305663
