,ODFL.US
309,-0.0764766746142498
310,-0.1712405930332096
311,-0.3708896829345484
312,-0.935902118334556
313,-0.3206008976825082
314,0.1509123336534431
315,-0.4178912564290947
316,-0.4972713532472563
317,0.5496144666789017
318,0.5114155251141573
319,0.011414222120765
320,0.0935091000319226
321,-0.9485656398213392
322,-0.4811918752602563
323,0.3228335562422252
324,-0.8417821597990895
325,-0.2927282270763608
326,-0.250961343857509
327,0.2543604651162772
328,0.2255881405091855
329,-0.1371520774505862
330,-0.309547413357078
331,-0.0789665505790852
332,0.6297660006840899
333,-0.211710621824343
334,0.0685069514406673
335,-0.1897609819121442
336,-0.1577095717578611
337,-0.2350938348668412
338,0.238576627577842
339,-0.0242679178126525
340,0.0283045570336796
341,-0.0728361591065458
342,0.0566182715250595
343,0.1050377731992045
344,-0.385270500446098
345,0.0486420753952071
346,0.1537963412659963
347,0.2221055607155768
348,0.1290582778786018
349,-0.649482443677692
350,-0.0161864681126546
351,0.4431552654902885
352,-0.246355155284514
353,0.6579739217652903
354,0.0961962403302774
355,-0.3095850755870096
356,-0.094573113065169
357,-0.0382463062120163
358,0.2169284537821959
359,-0.0080350327427625
360,0.0080343871771221
361,0.0160661927139784
362,-0.1025269887220294
363,0.0783415692418919
364,-0.0562768822607172
365,-0.4563075432078921
366,0.1512005322258734
367,-0.2566901123777148
368,0.0
369,-0.2025275437459494
370,-0.2151410594682367
371,-0.2196818681095122
372,-0.0427341730937464
373,0.0874268054651817
374,0.3121326361019945
375,0.1910711004960432
376,0.1027786954447122
377,-0.1838708491155812
378,-0.1731378471966504
379,-0.1032524522457307
380,0.0589666101569868
381,-0.2438303531845604
382,-0.1072524871482009
383,-0.1055145221302708
384,0.1718594079166112
385,0.5147626576460764
386,-0.0735916399897139
387,0.0735375225208829
388,0.1211898641204495
389,0.007344300822555
390,-0.0561051970607716
391,-0.021057660504942
392,0.2602448500842972
393,-0.1836075205640423
394,-0.1471020888496533
395,-0.1952909097608716
396,-0.0700589970501466
397,0.0110607233713193
398,-0.0184379379010293
399,-0.3589800525517291
400,0.3357098359520905
401,0.2829928216454974
402,-0.1780497502117534
403,0.0552858450959617
404,0.2773853416491529
405,0.2131829591170115
406,-0.089479299308253
407,-0.1343993383417142
408,0.3400075557234636
409,0.1269122590382124
410,-0.0720832046133375
411,-0.0377721310349415
412,-0.061847168774054
413,-0.1583040814922005
414,0.0790894398404519
415,0.3512258639299526
416,0.2102923576679805
417,0.1536360532604946
418,0.2010289958772128
419,0.0578900769597547
420,0.2242457189453547
421,0.3386157388595421
422,0.0067718561657688
423,-0.2443825945285352
424,0.3315290933694242
425,0.1923005805998441
426,0.1255771006463435
427,-0.2777777777777778
428,-0.3120820329915199
429,0.0853780763948035
