,CSCO.US
105,-0.1327316166710835
106,-0.0177006814762458
107,-0.0354138999557255
108,-0.1862692921766968
109,0.070909413224604
110,-0.1153607241103873
111,-0.0888178346211868
112,-0.2850271666518281
113,-0.0623885918003504
114,0.0
115,0.0178221350917804
116,-0.0890116143210607
117,-0.0269426353822763
118,-0.0089221984296976
119,0.0178412132024942
120,-0.1141354729120205
121,-0.1271572923187003
122,0.0893415527561945
123,0.20506419400855
124,0.3022222222222253
125,-0.3882657463330359
126,0.0
127,-0.0690726990157248
128,-0.2857390250238101
129,-0.0693180833549937
130,0.2216719807999551
131,-0.0055334601417943
132,0.0086452839975837
133,0.0691144708423311
134,0.0690667357334009
135,-0.0259067357512963
136,-0.178209941692478
137,-0.0034605069642622
138,-0.063020918097046
139,0.2872680189900662
140,0.0345154888256158
141,0.1206584504007589
142,-0.1553733275787715
143,-0.1383006309966259
144,-0.0345871162991716
145,0.0259336099585072
146,-0.0865201591971003
147,0.00865126741068
148,0.025947067981319
149,0.0864154856550244
150,0.7327110308140017
151,-0.2616483848243845
152,-0.2218860312657578
153,0.2482977319189282
154,0.0635431329177506
155,-0.0603621730382173
156,0.0502765208647533
157,0.2707581227436783
158,0.0701473093496416
159,-0.0501303388811022
160,-0.0100270730973537
161,0.1901521216973556
162,0.0799999999999983
163,0.2294722139080155
164,-0.0598981731057225
165,-0.0899280575539602
166,0.0848599810313062
167,0.2141860928471699
168,0.0796336850487739
169,0.1391650099403584
170,-0.0616682249497678
171,-0.0179068842021495
172,-0.2893345305796588
173,-0.0698881789137454
174,0.4769475357710691
175,0.1056676272814595
176,0.1726121979286601
177,-0.0959877135726572
178,-0.0864636372370097
179,0.01921045048506
180,0.1438710915020196
181,-0.0383803492611842
182,-0.0906597416965598
183,0.0489553316195649
184,-0.0543603534383297
185,0.105535834212798
186,-0.2120962143806277
187,-0.1245668078552213
188,-0.1276174099448949
189,0.0408517198188656
190,0.038139413038279
191,0.1504048621929923
192,-0.0924054288189466
193,-0.057786766830398
194,0.1154401154401198
195,-0.0770193511119652
196,-0.0288906009245003
197,0.144244638907579
198,-0.0769897026272719
199,0.1441476071497267
200,0.0339789330614951
201,-0.0765110941086486
202,-0.2129834724825353
203,0.0936249893607961
204,0.0425387102263156
205,0.1783439490445806
206,-0.2468925591690841
207,0.1954286685359877
208,0.0679290141801802
209,0.0848392296598019
210,0.0762970498473967
211,0.1100855279871366
212,0.0169333672000643
213,0.1101148340412161
214,0.0251965840872533
215,-0.1185135020739867
216,-0.025402201524133
217,-0.0084681175374637
218,0.0676990776000662
219,-0.101651842439648
220,-0.0338954325904516
221,0.1005681933618162
222,0.0179432924248899
223,-0.118634014066605
224,0.0592818428184224
225,-0.4769299023957484
226,0.1771479185119537
227,-0.3221148506053449
228,0.1000885484053473
229,-0.0224195338512793
230,0.3979659518019008
231,-0.1439167496955556
232,-0.121924185324761
233,0.1405691389863474
234,0.2241855328547796
235,-0.1659292035398135
236,-0.3329633740288695
237,-0.0999888901233076
238,-0.100088967971534
239,-0.1224807927847672
240,0.1001112347052318
241,-0.0445136879590543
242,0.1888259469065886
243,0.1774032597848947
244,-0.1888469229060227
245,0.1552795031055907
246,0.1369019401087355
247,-0.1557521809742874
248,-0.0064346209231612
249,-0.0415094339622699
250,-0.1996913860397557
251,0.3617617798679493
252,0.0361630955609856
253,0.2255096518130976
254,-0.0270684832626555
255,0.0926687147534381
256,-0.0746955345060947
257,-0.2623010130245948
258,0.1084206722081717
259,-0.036153289949391
260,0.0993227990970649
261,0.0
262,0.063165493593208
263,-0.1264907842428499
264,-0.0180733779143414
265,0.0180701120347038
266,-0.0271125169453241
267,-0.0090383224873509
268,-0.0180799132164129
269,-0.0162745700801076
270,0.1606788228922163
271,0.0541320822807671
272,-0.0812641083521475
273,-0.0451671183378474
274,0.072215201299872
275,0.3277255844439713
276,-0.0019663921728883
277,0.306904813766053
278,0.0870511425462595
279,-0.0108825769942378
280,-0.0435492651061581
281,-0.218221494817227
282,0.3262642740619871
283,0.108636610537745
284,0.1735169721288326
285,0.0108436347863859
286,0.1083188908145519
287,-0.0541887937574478
288,-0.2825779806542668
289,0.238534099533773
290,0.1515643607231791
291,-0.1952489424015694
292,0.151630022744504
293,-0.021666125013537
294,-0.0544115638663901
295,-0.1300195354894702
296,-0.0282258940009078
297,0.0607572963003118
298,-0.1956734427655254
299,-0.1415197038972299
300,-0.122589992198818
301,-0.1044218643319112
302,-0.085305940151845
303,0.5993340732519334
304,-0.3787878787878667
305,0.4105181404637639
306,0.55169369965795
307,0.2750880281690141
308,-0.1432506887052291
309,0.1869775626924787
310,-0.077050082553668
311,-0.0189358909997141
312,0.2495058203382344
313,-0.1319551352540186
314,0.1208127402526078
315,0.0
316,-0.0879410794767487
317,-0.0990316901408488
318,0.2305412229663057
319,0.1168903226655382
320,-0.1720123022847071
321,-0.1650346572780346
322,0.095189312416604
323,-0.0402463162524819
324,-0.1762502753910515
325,-0.1548330015483306
326,0.0883977900552467
327,-0.3103524717357583
328,0.1880739019803094
329,-0.0885837670246908
330,0.0073076267264176
331,-0.0073081607795279
332,-0.0443115099147072
333,-0.1220053238686772
334,-0.0221877080097581
335,-0.0110950848774049
336,-0.0221950948840262
337,0.0997782705099816
338,0.0110852455381785
339,-0.0164088554601507
340,-0.0456995807174428
341,0.0707177519292207
342,0.1458777902724509
343,-0.0327723649247144
344,0.0995465103417801
345,0.0994475138121584
346,0.0331381862366079
347,0.1830290200229302
348,-0.061782877316855
349,-0.1325673884224531
350,-0.4634678882963193
351,-0.2898893306113717
352,0.3998133633550188
353,-0.1002678093197742
354,0.1140636402351468
355,0.2171684817424749
356,-0.0427259132663875
357,-0.1176344775959784
358,-0.2895752895753006
359,-0.1288659793814329
360,0.1715265866209225
361,0.0642811227769469
362,0.0856347677156907
363,-0.0214132762312591
364,0.0107054919173438
365,-0.214569252226159
366,-0.0644122383252689
367,-0.075204125483463
368,-0.0322407307898991
369,-0.1420607417292567
370,0.1133048243775102
371,0.0715436674186359
372,0.1394550525638226
373,-0.0321922953106568
374,-0.2043010752688147
375,0.4488950276243182
376,-0.4857737682165183
377,0.026016824212992
378,-0.0086730268863877
379,0.1472243872867426
380,0.1901633676203638
381,0.0172845907873096
382,0.8654885786693406
383,-0.6382134850836364
384,-0.1900483759502408
385,0.4643164230438453
386,0.4962354551676919
387,0.0513083632632138
388,0.0939769329346428
389,-0.0683936051979125
390,-0.0684404140645036
391,-0.1199143468950754
392,0.0161001911469492
393,-0.0934340706910132
394,-1.144269117392059
395,0.2939142461964068
396,-0.4166666666666701
397,-0.4884856943475246
398,0.3563667970447602
399,0.0608061153578938
400,0.130076004343103
401,0.1734229351831896
402,-0.2608128667681038
403,-0.4585152838427966
404,-0.0874125874125855
405,-0.1093852548676376
406,-0.043773254541482
407,-0.1095530236634469
408,-0.0877192982456121
409,0.2624671916010442
410,0.136296917592795
411,0.0384279475982412
412,-0.2956312274170546
413,0.1857923497267778
414,-0.109409190371985
415,0.2183406113536993
416,-0.0655451168887787
417,0.1309186122626995
418,-0.1967643200699525
419,-0.0616908544402218
420,0.0944159108294304
421,-0.0765529308836476
422,-0.0875656742556899
423,-0.3074220465524826
424,-0.485436893203881
425,-0.5808409189423509
426,-0.2172024326672459
427,-0.3137528324908484
428,-0.1746114894359949
429,-0.4824984647776221
430,-0.0614466292134771
431,0.2037623321764068
432,-0.1690066690066804
433,0.2276308877604667
434,0.0087542677055109
435,-0.219512580299322
436,-0.3696724198661457
437,-0.0264247335506043
438,0.3771505390497352
439,0.2801890094504723
440,-0.0437713385275296
441,0.2009435610693603
442,-0.3594914511179277
443,0.2361791462561197
444,0.0075221773029681
445,0.358723446534002
446,0.0346750304931169
447,-0.4287339224779025
448,-0.2807756427130011
449,0.0613819712381685
450,-0.1554907677356624
451,-0.1167542323409267
452,0.0291800408520582
453,0.0291715285880991
454,0.0583090379008768
455,-0.0291630212890066
456,0.0874125874125769
457,-0.1946282600233443
458,-0.1950078003120152
459,-0.0195045835771367
460,-0.0829632521594924
461,-0.0244069120374806
462,0.0780411667154407
463,-0.0976467141880759
464,-0.1173135203832147
465,-0.107653161088275
466,-0.1295471337941745
467,-0.1450441609420898
468,-0.0196309383588635
469,0.4202912716254587
470,-0.1664382220481708
471,-0.0685803860096085
472,-0.03920415564049
473,0.0881316098707436
474,0.097828213656813
475,0.0087397308162953
476,0.3310104529616685
477,-0.0697350069734992
478,0.1044932079414877
479,0.1738525730180831
480,-0.0347826086956576
481,0.1907658232352481
482,-0.6462264150943418
483,-0.0349528137015084
484,0.1744591765526891
485,-0.034904013961611
486,0.2263625282953204
487,0.3297466157584133
488,-0.0694685654741214
489,0.1214223764093673
490,0.0346800762961732
491,0.0693120776295254
492,0.0692640692640677
493,-0.0606428138265556
494,-0.1561822125813508
495,-0.1129256428075012
496,0.0694444444444429
497,0.112720020809846
498,0.0
499,-0.1824183460736568
500,-0.1402393418100277
501,0.1491787699379612
502,-0.2149873701936545
503,-0.0093562874251544
504,-0.0093571629081977
505,-0.1217912685029133
506,-0.0937734433608348
507,0.0843249320715856
508,-0.1783367749202156
509,0.0750328268617504
510,0.1685393258426897
511,0.2801120448179245
512,0.0746407911923983
513,-0.0371475879268601
514,0.0930622901902293
515,-0.1198749715250254
516,-0.0668908819132935
517,0.0280190529559978
518,0.0839865621500591
519,-0.0840571588680334
520,0.2095162114100607
521,-0.0137956748694947
522,-0.0372995151063094
523,0.0186462800671361
524,0.074529532327183
525,-0.4132958142806884
526,-0.2821869488536095
527,0.158478605388266
528,-0.088121254846664
529,-0.1235221457561324
530,-0.0706339396079801
531,0.2643531800754046
532,-0.0089828269484786
533,-0.0352391859747969
534,-0.0088105726872291
535,0.2285513361462773
536,-0.0087912087912132
537,0.061500615006144
538,-0.1407707196903014
539,0.4379817799579537
540,-0.0438173692051504
541,0.1050512124660811
542,-0.0350293370698014
543,0.0612637843514855
544,-0.1929147667485082
545,-0.1229148375768222
546,-0.0351308624626789
547,-0.1319145193914393
548,0.3068560406803511
549,-0.105318588730915
550,-0.4631344942571323
551,0.010743565900664
552,-0.1461776763685627
553,-0.0222655162816464
554,0.0278241513633712
555,0.1666666666666729
556,-0.2320185614849187
557,-0.0464252553389017
558,-0.1301599107474903
559,-0.0556278034831522
560,-0.083977283306964
561,-0.0344593147252958
562,-0.0680335507921784
563,-0.1680358476474912
564,0.1863585538576114
565,-0.0372856077553989
566,0.0558971492453906
567,0.0928892272695983
568,0.0037228765177615
569,0.1173189550990027
570,0.0756144369697023
571,-0.0013005109149926
572,0.120616069771753
573,0.1482304984250478
574,0.4059789629082835
575,0.0283634300841459
576,0.3579839849269992
577,-0.4922843889046769
578,0.3678551216751562
579,-0.0944108761329251
580,0.0754716981132059
581,-0.1322501416965809
582,-0.1513718070009428
583,0.0189178963299243
584,0.16054396071395
585,-0.1892326615573875
586,-0.1231527093596016
587,-0.0284279351843088
588,0.0424343688077032
589,0.0238636363636345
590,0.141843971631211
591,-0.0094571590694203
592,0.2170425592148759
593,0.0471609130352736
594,0.0552420563619791
595,-0.0639557479049221
596,-0.2466193853427926
597,0.1133465570983324
598,-0.1418842224744662
599,-0.0950581142136434
600,0.3143755358673891
601,0.0380916103228323
602,0.0666159116863277
603,-0.0840065605123452
604,0.2311018197367811
605,-0.3786794864457597
606,-0.3522542356657365
607,0.0912347679060166
608,0.1285577841451824
609,0.3236862147753269
610,0.0
611,0.0761035007610333
612,-0.190621425848268
613,0.1522649409973321
614,-0.1143292682926872
615,-0.0953652489032942
616,0.0190694126620862
617,0.3998062696460683
618,0.1602351379539176
619,-0.0567307528113936
620,-0.0651214714794568
621,0.0364395520971681
622,0.0853323219872982
623,0.0354477505843241
624,-0.5215320121951318
625,-1.348509124357106
626,-0.2224095934045419
627,0.57749627421759
628,-0.2521243813614679
629,0.1398731816486306
630,-0.2617801047120429
631,-0.5924950625411411
632,-0.0282220131702738
633,0.3562054743157196
634,-0.5656108597285149
635,0.1129943502824901
636,0.2629601803155532
637,-0.1599096980528658
638,-0.0282273240496811
639,0.1300526976537932
640,0.3496523141289776
641,0.0170396030334306
642,0.4844870958725389
643,0.2787326953451614
644,-0.0371781764104396
645,-0.139612807148181
646,0.0558139534883742
647,0.1393404551788255
648,-0.0929800092980088
649,0.3243744207599708
650,0.2627324171382285
651,-0.1112797167425386
652,-0.1316855753646631
653,-0.1217038539553798
654,0.2529084471421345
655,0.0523751842736937
656,0.0386092581362475
657,-0.3651856360316489
658,0.1822600243013434
659,0.2625732175318025
660,-0.2531132935101752
661,-0.0709219858155959
662,-0.4477915733767532
663,0.1422764227642282
664,0.1927173141292197
665,0.0
666,0.0810783419479054
667,-0.182759671032599
668,-0.5102561485865905
669,-0.1430761369443031
670,0.0714869281045827
671,-0.0408663669799818
672,0.0204290091930645
673,-0.0920151313771632
674,-0.194632247490266
675,0.7998270644184987
676,-0.1732351667388443
677,0.1636555062403069
678,0.2034519956850141
679,-0.4224894377640565
680,-0.0867396725577342
681,0.5284728213977512
682,-0.8264462809917411
683,0.2603036876355847
684,0.1299826689774592
685,0.4528790166055658
686,-0.0474669888668302
687,-0.082055711509386
688,0.3443081557994331
689,0.1074806534823823
690,0.0
691,-0.18305157747389
692,-0.150975951687696
693,0.3117609116318985
694,0.1073883161512119
695,0.0536653429215382
696,0.0643569666416414
697,-0.3444193305349342
698,0.0107619457597988
699,-0.5192557334487278
700,-0.1714646692536754
701,0.33279366792589
702,0.1795654516071005
703,0.1255380200860837
704,0.0537730776124774
705,0.1342522151615552
706,-0.0626903098692525
707,-0.1075847229693297
708,0.0895736295234631
709,0.0447667651535474
710,-0.1867569414917868
711,-0.0464865835053397
712,0.0538164857834676
713,-0.0269154853759206
714,-0.1043614462592367
715,0.0235251863158865
716,-0.0539035127122471
717,-0.0077267671385995
718,-0.0625720342563854
719,-0.0825985243836659
720,-0.0900576368876029
721,0.2067044126898443
722,-0.1079622132253624
723,-0.0810372771474909
724,0.1438590181621979
725,-0.6977666798907888
726,-0.1725998683098062
727,0.6626028059990283
728,0.3375120540019369
729,-0.3095376281679313
730,0.739318290926558
