,DLTR.US
380,0.1113134992916407
381,-0.1926391564432705
382,-0.2001361332073476
383,0.0984471734497048
384,0.2025726729464224
385,-0.2742230347349281
386,-0.1679639533688882
387,-0.0864474086141988
388,-0.0407456453091494
389,0.1525630593978758
390,0.0609880056922161
391,-0.1628996131134154
392,0.0610500610500633
393,0.0203458799593041
394,-0.0916403624885484
395,-0.0407456453091494
396,-0.0713557594291614
397,0.0509424350484068
398,-0.1735047968973277
399,0.1325043318723835
400,-0.0727855011281918
401,-0.0036394075044549
402,0.2360031951201924
403,0.0399230573803058
404,-0.2000145465124571
405,0.1887477313974525
406,-0.2248966646755083
407,-0.080754387242399
408,0.1091067791678624
409,-0.0436617668461667
410,0.0945110868775164
411,0.5422993492407809
412,-0.007231180851847
413,-0.0651230101302484
414,0.0939781681486473
415,-0.014460270407064
416,0.0801901445589831
417,-0.2179264407761278
418,-0.1304915180513316
419,0.3683640303358547
420,-0.2752227131165318
421,0.0955846546470772
422,-0.0811789412701847
423,0.0651324359531071
424,0.24545192030032
425,0.3636903436502491
426,-0.5823068309070558
427,-0.0971454192198441
428,-0.0979886153685046
429,-0.510487933238104
430,0.0
431,0.07512583577494
432,-0.5552407932011435
433,0.2411545272994409
434,0.3117722184659457
435,0.0675675675675488
436,-0.4146249528835152
437,0.2294009251250474
438,0.0638905592302913
439,-0.1354809573987493
440,-0.1281181701710874
441,-0.0527823857638313
442,0.1205000753125444
443,0.0827752276318648
444,0.1502742505071884
445,0.1200750469043126
446,0.2433090024330815
447,0.1532366571983947
448,-0.2022320425436373
449,-0.8307529642776182
450,0.2323467016870287
451,0.0807509841526176
452,-0.136453226866115
453,0.0505127039450393
454,0.2770501712673843
455,-0.2322528526709118
456,-0.2835443037974695
457,-0.3047232097511398
458,0.1010658592221533
459,0.0865818421452902
460,-0.2133604267208615
461,-0.2087151293015662
462,0.1879985773080659
463,-0.0762737719922738
464,0.0416789500970782
465,0.2373104812129292
466,0.1569461320372631
467,-0.091213134691399
468,0.0202654777586341
469,0.010131712259377
470,0.1921326726665969
471,-0.0202285829877576
472,-0.0202326757713811
473,-0.1418296018640467
474,0.2223794602244143
475,0.2645985401459781
476,-0.7816091954022936
477,-1.0781671159029618
478,-0.6172262227625517
479,0.4468857648263568
480,-0.5523310241527836
481,-0.0937031484257817
482,-0.0093711929528676
483,0.2244039270687322
484,0.1937333422920999
485,0.3926380368098123
486,0.176301382573998
487,-0.0510606693589496
488,0.0139236981342249
489,0.0834724540901402
490,0.0278164116828939
491,-0.1857872735717497
492,0.2224487904346972
493,-0.0092695587690073
494,-0.111358574610236
495,0.1112347052280221
496,0.1064864114079439
497,-0.2459853337046324
498,0.0371160805418873
499,-0.1114723641430472
500,0.0800160032006384
501,0.2096017566623353
502,-0.1899999999999977
503,-0.1401962747846991
504,0.1998800719568287
505,0.2492273950752666
506,-0.1797663038050602
507,0.0
508,0.0563948236538852
509,-0.1564530640807698
510,0.0499600319744176
511,-0.039984006397433
512,-0.0199960007998502
513,-0.0300030003000311
514,0.0199980001999902
515,-0.0100000000000051
516,0.0099990000999951
517,-0.0100000000000051
518,0.0099990000999951
519,-0.0200020002000302
520,0.0100000000000051
521,0.0149977503374499
522,-0.0150000000000005
523,-0.0650422774803599
524,-0.0450495545099626
525,-0.0736377025036776
526,0.3229594832648251
527,-0.3203122123633167
528,-0.7567607671476873
529,0.5790366600280273
530,0.5939287285525754
531,-0.5233286651433685
532,-0.3105360443622827
533,0.456318539780676
534,0.541688016982658
535,0.7122610654844028
536,-0.8650392199985389
537,-0.113757293310338
538,-0.6463288521199586
539,-0.177593606630168
540,-0.0148016577856585
541,0.136728132737151
542,-0.2927877844488994
543,0.1554174067495618
544,-0.3118040089086978
545,0.270240254692192
546,-0.0444427984148752
547,-0.0444625588202617
548,0.0407407407407457
549,-0.1557979078566718
550,0.019946145407396
551,0.0498405103668233
552,-0.1897533206831097
553,0.1197007481296803
554,-0.1098462152985814
555,-0.1400000000000005
556,0.0549697666283612
557,-0.09243457052939
558,-0.2030874097834699
559,-0.090297983345042
560,0.0852087614655844
561,-0.0050125313283162
562,-0.0752445447705069
563,-0.0853499347323965
564,0.0451648517087386
565,0.0601835598575536
566,-0.0351194059803297
567,-0.0602409638554239
568,0.4099590040996008
569,-0.1000900810729742
570,-0.0100100100100009
571,0.1898291537616122
572,-0.0099920063948892
573,0.2093927609931279
574,-0.0898203592814405
575,0.2187292240478675
576,0.4349881796690248
577,-0.2369668246445497
578,-0.2661091047329416
579,-0.0285198212757877
580,0.161351556567959
581,-0.003701731556124
582,-0.1198327473153985
583,-0.0190095998479329
584,0.0380047505938301
585,0.1138844073265678
586,-0.0332273223525046
587,-0.2331335046150826
588,0.1330419082010838
589,0.0759661950432041
590,-0.0475014250427485
591,0.1612444275822837
592,0.1136901942207393
593,0.0615442882166337
594,-0.0521030693444416
595,0.1418976444990932
596,0.1228269085412033
597,-0.2272727272727359
598,0.1560062402496159
599,0.3908457336598288
600,0.2763171251649702
601,0.1064746742381887
602,0.0962415155506016
603,-0.0101317122593626
604,-0.2233956133225008
605,0.0558177297406937
606,0.3186646433990872
607,-0.1621238220691018
608,0.2123356926188149
609,-0.0303428744816437
610,-0.065786144425887
611,0.3479576399394845
612,0.1309427880741291
613,-0.0302267002518903
614,0.0905979464465506
615,-0.0402819738167233
616,-0.1108982760358901
617,-0.2222895827018277
618,-0.2583194043458395
619,-0.2081007004365021
620,-0.254427030327702
621,0.3347195455928575
622,-0.0202901491326065
623,-0.2440760703752617
624,-0.0916123778501663
625,-0.371783153515427
626,0.0853798996841741
627,0.6936501494299507
628,-0.2255750314325703
629,0.3684326873480215
630,0.169192290716485
631,0.7954462526454086
632,-0.0584154801022362
633,-0.8758781062883322
634,0.1611266362700378
635,0.0734861845973124
636,0.0587544065804818
637,-0.0440852314474667
638,-0.1471670345842447
639,0.3044419176172776
640,0.1720981325521886
641,-0.1026317718642436
642,0.0109950522265089
643,0.1975200263359902
644,0.0182855471035734
645,-0.2102862135361601
646,0.0526720632943843
647,0.1791590493601496
648,-0.1538010839314545
649,0.393930551502787
650,0.1315123925139053
651,0.4431463390069613
652,0.2912231371761318
653,0.1804330392943131
654,0.0200440970134255
655,0.0901171522979907
656,0.3094430025953307
657,0.2071960792126533
658,0.1859308973402909
659,0.0347877944538282
660,0.1983930165658196
661,-0.0794202323041777
662,0.296941502524
663,0.3452357466955951
664,-0.0049321824907476
665,-0.0246669955599464
666,0.0197297030679789
667,-0.2372191859792542
668,0.0394385687456784
669,0.187450670876083
670,0.0394477317554302
671,-0.2124820872659024
672,0.0955749206668935
673,0.027835356825583
674,0.1084598698481556
675,0.2515840477077861
676,0.3528319405756821
677,0.0464037122969811
678,-0.0092816038611519
679,0.2592112571745983
680,-0.2831546209905701
681,0.2731228589945391
682,0.3781590112525332
683,0.3401047890431147
684,0.6393277924924546
685,-0.0822669104204654
686,-0.0823346445887873
687,0.1096591428310376
688,-0.1647597254004639
689,0.0548897630591915
690,-0.1144845903741356
691,0.2603453000822112
692,-0.0456954852860511
693,-0.0274248103117297
694,0.1460520310360535
695,0.0
696,0.0091274187659776
697,-0.1828822238478445
698,0.1552086186432956
699,0.2640684756874814
700,-0.260915400158128
701,0.7238792953078652
702,0.1523925632429112
703,-0.0304878048780458
704,0.3904555314533647
705,0.1696033983046637
706,0.0296155178385854
707,0.1383604289173267
708,0.056177347564926
709,0.1251618472162244
710,-0.0259022621308937
711,-0.2062612042055124
712,-0.0793142263399425
713,0.2073792447939247
714,-0.0735007998616524
715,0.0216132099939532
716,0.0863781636002369
717,-0.2598077422707172
718,0.1901633676203638
719,0.1381096245144554
720,0.077626358461276
721,-0.1987727940541042
722,0.1639344262295185
723,0.0345006037605589
724,-0.0086258949365918
725,0.5312208760484559
726,-0.7038948850305021
727,-0.2116153303550381
728,0.1502559045874973
729,-0.2117447769621629
730,-0.2925908447380861
731,-0.0078344976529596
732,0.0031148237292895
733,0.014156285390714
734,0.0283045570336834
735,0.0282965478211668
736,0.0412016552317156
737,-0.2113567649281876
738,0.2356489772834385
739,0.0094250706880215
740,-0.1321253303133263
741,-0.151228733459354
742,-0.1325004732159763
743,0.0567536889897864
744,-0.0189214758751144
745,-0.1136578897518512
746,0.0898982730068595
747,-0.3847249928754642
748,-0.0665399239543661
749,0.4259346900142005
750,-0.3663985701519183
751,-0.2239140170174652
752,-0.3775959723096302
753,-0.364444837452556
754,0.1386736348891757
755,-0.1986276634163948
756,0.189240335225731
757,-0.0450775333573721
758,-0.1851600957413162
759,0.0676956404007607
760,-0.2805937726285321
761,-0.4272338878283782
762,0.2493539465929106
763,0.0589034888989558
764,0.0407627157027054
765,0.045271402055319
766,0.3158987318922411
767,0.0270697044890603
768,-0.1219622368777713
769,-0.391535149734752
770,0.1057304643261558
771,0.0362269619164119
772,-0.2223835889988241
773,-0.3004369992716663
774,0.1000454752160067
775,0.380228136882116
776,-0.304374931240597
777,-0.3126839317245523
778,-0.1768867924528159
779,-0.1624095673999696
780,0.20804111316729
781,-0.1493286114800143
782,0.3309066843150356
783,0.0
784,0.1725087171958049
785,-0.1433507314562913
786,0.0514327700220376
787,0.1357449462523405
788,-0.0918037602820211
789,0.0440463955366335
790,-0.1102373778202437
791,0.0954478707782639
792,0.1393064007625176
