,ZS.US
110,0.1977350350530126
111,0.2331420373027382
112,-0.1274937599885141
113,0.0663962961633715
114,-0.2446483180428159
115,0.0611246943765338
116,0.1400308786039949
117,0.0394802957433111
118,-0.0951302508449562
119,0.0519928186714453
120,-0.0574836530861626
121,-0.0568692847626858
122,0.1178413701482823
123,0.0215385719926777
124,-0.0790371834021808
125,-1.4698268423171938
126,-0.2046404381034836
127,0.9676314437403628
128,-0.2977383338104676
129,-0.7848115875122706
130,-0.3300138953219043
131,-0.3748365538282785
132,-0.8882504690431439
133,0.2398081534772162
134,0.8265900983207236
135,-0.3989284258342567
136,-0.2481244709110613
137,0.6063947078280136
138,0.1159218686605162
139,0.6907269901571339
140,-0.4045541235623814
141,-0.0231227238568657
142,0.1673591874422853
143,-0.2429711905588264
144,0.2851385861210141
145,0.1645358212393408
146,-0.0518582541054307
147,0.0057616962433688
148,0.1840349666436583
149,0.911784818782764
150,0.6311266281724245
151,0.4810904717359226
152,-2.873247181743192
153,1.082463011314191
154,-0.2344474129000637
155,0.0054519681605009
156,-0.542673902318687
157,-0.6621420294653297
158,0.6196534327703574
159,-0.2583979328165525
160,-0.853895203770442
161,-0.3728851291184258
162,1.3885077657647773
163,-0.7352941176470658
164,-0.0298629621846427
165,-0.4254137509718934
166,-0.0500083347224556
167,0.3046753822291221
168,-0.2387695041368242
169,-0.0444419754458155
170,0.0
171,-0.2849605985565249
172,0.1732384183304572
173,-0.0834910386285237
174,0.1389583680729253
175,0.0705989524026422
176,0.0887846873491133
177,0.1521719374772831
178,-0.0431847625974493
179,0.1203178206583366
180,0.1360235774200913
181,0.0589088272611906
182,-0.65222348916762
183,-0.2927587941997101
184,0.3873143169598078
185,0.1001456664238887
186,-0.1778466870354392
187,-0.5294886194329205
188,0.1432835274298765
189,-0.132013201320137
190,-0.0320968407538141
191,0.1739369249782558
192,0.0960307298335503
193,-0.0892509783280285
194,0.289795545819638
195,0.3637686431429533
196,0.0481761246398257
197,0.1243758511121202
198,-0.2108385095286772
199,-0.0894645784010264
200,-0.3648493693317985
201,-0.0625847501825412
202,-0.4663348179198401
203,-1.1286562102585818
204,0.1956740176635488
205,0.3163055511624199
206,0.4774396642182563
207,0.0550588605437813
208,0.3768029784830951
209,-0.3019648938957314
210,-0.6168283424715244
211,0.0684895421737503
212,0.1840555321834215
213,-0.2431222548587502
214,0.1217290580740279
215,-0.086949648249161
216,-0.0131759249499195
217,0.1893740136770043
218,0.0893467178220507
219,-0.078897538396805
220,0.26753396632219
221,0.0226041324130198
222,0.1711518324607303
223,-0.2782590434189117
224,-0.1366910257084227
225,0.8637873754152864
226,0.1808863430810871
227,-0.5700078830877434
228,0.1997095134350111
229,0.747815118479145
230,0.6830519596730787
231,1.2866943438447738
232,-0.1917517257655251
233,0.5632150190671632
234,0.0820681165367341
235,0.1346446551925944
236,0.0994210187730369
237,-0.2638677143192313
238,0.4959449209405417
239,0.256067043007639
240,-0.6737754862901368
241,-0.9671980833505986
242,0.4915234283023357
243,0.8231653920252183
244,-0.2986298161377157
245,-0.270079849694697
246,-0.0793254399623885
247,0.5754513057194516
248,-0.2635895032802183
249,0.0994791971443545
250,0.1402270773963008
251,1.5278396436525643
252,-0.2232142857142857
253,0.3203987184051259
254,0.3458980044345903
255,-0.1376615302633342
256,-0.2537619090018668
257,-0.3843403646764451
258,0.2096062079115189
259,-0.8699204034976714
260,0.091595505617978
261,-0.1260012600126006
262,0.4658245991220962
263,0.3081044876088402
264,0.0044650830505533
265,-0.0402019028900716
266,0.0111659483239936
267,-0.096119456366239
268,-0.0939723452812493
269,0.0022373867322946
270,-0.1433980865317798
271,0.3104757650212165
272,0.2273132465680243
273,0.3065985336591858
274,-0.0222222222222272
275,0.3452702403612063
276,0.0132778613791277
277,0.3967554223241075
278,0.0462667166053403
279,0.0792515134837674
280,-0.5689868933758397
281,0.3045954178254526
282,0.5487751339011326
283,-0.2596945288084877
284,-0.269220584341065
285,-0.5681313803817137
286,-0.1333333333333383
287,0.0177746178457127
288,-0.3746654772524547
289,0.7613314447592063
290,0.0796107916850981
291,0.0353700592448547
292,-0.2304351679517904
293,-0.1998135073930947
294,0.1551693562688394
295,0.4260015450833256
296,-0.2899898171514593
297,-0.3554449726751728
298,-0.1824979969732024
299,0.5136834647064018
300,-0.0032758959575414
301,1.2263387801326713
302,0.3867848509266683
303,-0.7010938362166981
304,0.2622207834250574
305,0.0355975534772381
306,-0.4224757076468139
307,0.0811793739446681
308,-0.5386699748620604
309,-0.6175475478763576
310,0.2441222249528973
311,-0.6550369571455396
312,0.1846913580246843
313,0.0658002961013287
314,-0.1449705116800098
315,-0.4770433245384247
316,0.6202577163738011
317,0.0610574077727352
318,-0.121802679658954
319,-0.3733809146180265
320,-0.2700240205417039
321,0.6599085014646334
322,0.1478901012225544
323,0.6465095017305617
324,-0.1897409055221094
325,-1.1057072226999012
326,1.1474713132171677
327,0.9679613678247936
328,-0.8622217505505274
329,-0.7080639127879106
330,0.7267904509283843
331,0.3910378355527421
332,-0.1125763911225557
333,0.1862921110993779
334,0.3472953062513137
335,-0.2637965600928564
336,-0.4971304712983522
337,-0.1605947955390214
338,-0.2662406815761448
339,0.1063829787233982
340,0.3656791562880904
341,-0.4070772914726546
342,-0.1172051889933666
343,-0.5490679237197373
344,-1.0665367332575382
345,0.7042253521126772
