,FANG.US
171,0.6270627062706312
172,-0.0165043736590163
173,0.2797893350888654
174,0.082223318533143
175,-0.3497862417411556
176,-1.6020759293732745
177,-2.0200276243094035
178,1.137915339098771
179,-0.3196347031963483
180,-0.2976871994504132
181,0.2170684336798786
182,0.5566916609861338
183,-0.4335919671382878
184,0.9325722036963804
185,-0.0735294117647033
186,0.4392386530014647
187,-0.2031373434149721
188,-0.3768805797186849
189,-0.0876417233560021
190,0.9378334362890928
191,-0.15185601799774
192,0.8033920999776822
193,-0.3471055872802623
194,0.217864923747269
195,0.239634418189928
196,-0.4084830171786636
197,-0.0615901455767153
198,-0.8583690987124359
199,-0.6250710307989674
200,-0.0524796641301577
201,0.0262329485834155
202,-0.0393649127411115
203,-1.6811207471647642
204,-0.9427609427609464
205,0.3890528575261688
206,-0.2016400053770744
207,0.3215864933672717
208,-0.5890043535104358
209,0.6963954208956182
210,0.5016646690637896
211,-0.0732991270740412
212,-0.0066640010662341
213,-0.5629272215520731
214,0.193966958731852
215,0.0267469073888468
216,0.1800830063849872
217,0.3119331739067473
218,0.0873554048663642
219,0.1526717557252029
220,-0.0863672601647591
221,0.4497354497354355
222,-0.4384216819449957
223,-0.2998201079352313
224,-0.4618473895582313
225,0.4316707218167024
226,-0.1218026796589571
227,-0.4691005506832487
228,-1.23890150733017
229,-0.6860706860706824
230,-0.7118927973199402
231,0.198516351478422
232,-0.3459844831201492
233,1.485668013518093
234,0.2176655371144528
235,-0.115562085730568
236,-0.4952301949398541
237,1.1682721869235504
238,0.4691962464300366
239,0.8113959652779107
240,0.4512035451707196
241,0.3512645523885932
242,0.040128410914934
243,0.1402524544179386
244,-1.670401303727833
245,0.6677458518818258
246,-0.5288852725793433
247,-0.0504729806737309
248,0.0910939406262752
249,-0.4083299305839176
250,-1.9362391930835656
251,-1.397132681946855
252,-0.0164395572279259
253,-0.1939970717423163
254,0.7447774750227004
255,-0.4837090444464736
256,-0.3352444372407842
257,-0.0906466248109623
258,1.0116131373616355
259,0.3706047184308023
260,0.8336321262101173
261,1.024708335181654
262,0.0753546099290724
263,-0.2310289674782218
264,-0.1156480740147759
265,-0.3391948585200352
266,0.6650115268664657
267,-0.6790794086376186
268,-0.5108120233288456
269,-0.8141112618724611
270,0.0587623739999075
271,0.2209994587768397
272,0.0811176205498002
273,-0.8590518612790395
274,-0.0591231580862267
