,ISRG.US
405,0.2155260574327162
406,-0.2306296702508226
407,0.1336069621388265
408,0.10886949454675
409,-0.3282756781156343
410,0.1495564524390031
411,0.0163870624142207
412,-0.0604638293075387
413,-0.2094993581514725
414,-0.1882871018190839
415,-0.0236701005464607
416,-0.1752595387581362
417,0.3267671629828242
418,-0.0164438186657863
419,0.1047195671591205
420,-0.0308093619381095
421,0.0810655502195915
422,0.0364149249903852
423,-0.2184528398869185
424,-0.0936368126440533
425,-0.2221933391512039
426,-0.3172730659381676
427,0.553850713460982
428,0.03456512748978
429,0.0049376315415857
430,-0.0635012078322502
431,0.2659809054511816
432,-0.2053979200482532
433,-0.2060933673090755
434,0.1999901239444971
435,-0.1248408588062236
436,0.1554998827580238
437,0.0431757623606067
438,0.0665696886017855
439,-0.1259010565814138
440,0.0345491338038702
441,0.0185050395390983
442,-0.0913749459776513
443,-0.0951698225144586
444,-0.0222524415873487
445,0.4222421922125323
446,-0.3062295486818569
447,0.021604271473097
448,0.1048250346847569
449,0.3520780593309913
450,0.0005791226292162
451,0.8833962827327367
452,0.0154957788350607
453,0.2832844977566053
454,0.1812704837589015
455,-0.1013975617008673
456,-0.302842590680706
457,0.2540162021145163
458,-0.1857074076621506
459,-0.2620508930418691
460,0.0425077260664274
461,-0.0689789958957392
462,-0.0897531787584243
463,-0.0621754499084597
464,0.2240194839510196
465,-0.1345925985574518
466,-0.1590026615662909
467,0.1277300867644028
468,-0.3012430604448256
469,0.5897538867534836
470,-0.3350064468594548
471,-0.2961637271598811
472,0.1066897347174111
473,0.0011533892342638
474,0.2427743004418278
475,0.3188538419743227
476,0.0735824659413178
477,0.7381931640902057
478,0.4672435454044897
479,0.163479290274403
480,-0.4046921651030852
481,-0.3920733006605569
482,0.2274804940791157
483,0.2340181841320238
484,0.1637562290893132
485,-0.3086987921097651
486,0.0919585761982877
487,0.1285764747439022
488,-0.1103299998585474
489,0.0565474928255336
490,0.2896712126017479
491,-0.16873049715487
492,-0.2618986947535353
493,-0.1311210495353997
494,0.1938244968698057
495,0.1264624427739758
496,0.1030418519302728
497,0.1226526814413811
498,0.4330401948329844
499,-0.7445484628220701
500,-1.3112443695249687
501,-0.1397479003223874
502,-0.0429113258215524
503,-0.2581325635616762
504,-0.1424531120793258
505,0.1929186054931052
506,0.5187357265570509
507,0.1494963969301619
508,-0.0379051544118122
509,-0.5000796525762433
510,0.2177038122356516
511,0.3017983876524414
512,0.1025612786431631
513,0.3183686352003252
514,-0.0315723728010896
515,-0.123008837394684
516,-0.2590566479723299
517,0.1396676872269409
518,-0.1253763011235601
519,-0.4379713554279495
520,0.3667397388702718
521,-0.0193058179461348
522,0.017923617813318
523,0.1019227590766361
524,-0.299777584372879
525,-0.0353027208311234
