,AMAT.US
171,-0.4583151462243529
172,-0.0363874536060049
173,0.1779811848461767
174,-0.5882352941176521
175,-0.2898428967487179
176,0.3595360770805205
177,-0.7926932163348039
178,-0.3131612357173003
179,0.5136409565510268
180,0.1009421265141237
181,0.1008403361344576
182,-0.9672492788053628
183,-0.1104221523825664
184,-0.4093816631130098
185,0.1702852277564945
186,0.4576659038901534
187,0.1565474931246052
188,0.3285131721552389
189,-0.2108777416219394
190,-0.3562492048008836
191,-0.4515826694500073
192,-0.2134653972591043
193,-0.1154043426226627
194,-0.3775527715805712
195,-0.5522001725625544
196,0.3781161922951579
197,-0.2066322136089627
198,-0.0603292252003733
199,0.3093049231033589
200,-0.2886536895862529
201,-0.7982691733810965
202,0.2826960273768751
203,0.4812319538017366
204,0.1441614608361314
205,-0.2185670889827276
206,0.1627339300244092
207,-0.0350000406977269
208,0.0867218689930505
209,0.0295639320029715
210,0.1476014760147517
211,0.0884825247013748
212,0.0736811081638626
213,0.0073675679658077
214,0.0515463917525932
215,0.0135475016639759
216,0.0526896754728011
217,0.0090506194523642
218,0.0865313924422978
219,0.2164105197520357
220,-0.0477064220183469
221,0.1758370576599084
222,-0.2350003671880896
223,0.1100352112676098
224,0.1318681318681368
225,-0.0782918149466289
226,0.3051160150429339
227,-1.3811955974390449
228,-0.3392522015302432
229,-0.4276911924610391
230,-0.6097850035627224
231,0.3387847070795257
232,-0.2331341978726662
233,0.2035771411952895
234,0.4703668861712177
235,0.1336946702800377
236,0.061389570995239
237,0.2377692917357043
238,0.2085130859936874
239,-0.3028991778451002
240,0.0144216902221014
241,0.0792564305785613
242,0.2730473521592265
243,0.0430941607412212
244,0.2864713886700606
245,0.1715879030528412
246,-0.0500715307582211
247,-0.1791472590469365
248,-0.1507104923209473
249,0.4145225843338938
250,0.8386778490379856
251,0.7206828995242103
252,-0.0384978826164409
253,0.0860910803066785
254,-0.2299873825879758
255,-0.3058534013007574
256,-0.0950102047997683
257,-0.1762549351381838
258,0.1899936668777779
259,0.1335207308503146
260,0.2243724582807412
261,0.0
262,-0.1193401193401305
263,0.1891816143497829
264,0.0630207968629671
265,-0.1669331986645341
266,0.1351871957412416
267,0.2410733002585614
268,0.0188630472903489
269,-0.1728602421443167
270,0.0069979006298245
271,0.1676680173256816
272,-0.1119037627640205
273,0.0209775540172023
274,-0.1891551071878813
275,-0.2225401367032277
276,0.5729187245643909
277,0.0631786771964448
278,0.0513063383060997
279,0.42442820089602
280,0.403146894203296
281,0.1758224583886804
282,0.3504127083008789
283,0.0505895629840262
284,-0.2535892634207374
285,-0.0156079288278525
286,-0.0859173631180076
287,0.3347345477191396
288,0.1399253731343115
289,0.1629802095459899
290,0.1859168022310086
291,-0.1784882818562702
292,0.2168189561715756
293,0.1777074883725
294,0.2545104086353025
295,0.5198737821929953
296,0.1204274715593434
297,-0.0344854011801574
298,-0.0383318000613395
299,-0.130498196054339
300,-0.1765614654601491
301,0.2421840598855013
302,0.161195779601406
303,-0.3152491968091391
304,0.0983221353306247
305,0.1063595686936186
306,0.0
307,0.1391737474362714
308,0.0
309,0.0439302972616798
310,0.0950918001609212
311,0.0584838072958433
312,0.0
313,-0.1097775175644069
314,-0.3120067540285453
