,JD.US
181,0.1744713518040337
182,0.1463414634146397
183,0.0863365454241597
184,-0.0585202730946099
185,-0.1115915748360975
186,-0.0139508928571301
187,0.1254005852027159
188,-0.1603514613753822
189,0.0556524164864896
190,0.1462395543175543
191,0.0348068221371467
192,-0.1533849264449549
193,0.0209117524048523
194,0.0696572861521275
195,0.100345014272362
196,-0.1562587120156092
197,0.0696475832288777
198,-0.0836470096194092
199,0.0139392249790784
200,1.456518634870764
201,-0.3438888092849905
202,0.8383063370275494
203,0.3539572419651706
204,-0.0921136540777973
205,0.1485778972690023
206,0.3384571992666689
207,-0.1270827449872965
208,-0.4824063564131515
209,0.1415417137173487
210,-0.3267945984363904
211,-0.156605922551252
212,0.2697714042311684
213,0.4241481690937327
214,-0.084901655582287
215,0.0848296338187505
216,-0.2338269680436565
217,-0.2486148600653461
218,0.5931365626323989
219,-0.4325934330898615
220,-0.1633754794715085
221,0.0709823963656972
222,0.198356474922075
223,-0.2699247052138055
224,0.2338601091347264
225,-0.7838179519595506
226,-0.1139096316921771
227,-0.5984211866564793
228,-0.1530221882172973
229,0.0116028361921833
230,0.287203610704972
231,-0.203834639148986
232,-0.4414587332053727
233,0.4077991589142261
234,0.0808572138004861
235,-0.0936783074178051
236,-0.3324808184143106
237,-0.1921844971172398
238,-0.0769329401205311
239,-0.3474009264024653
240,0.1541623843782175
241,0.2946074036121298
242,0.0384122919334201
243,0.0542599152316804
244,-0.1440471613481915
245,0.1024196645755963
246,-0.1602872347246265
247,-0.0449005772931322
248,-0.1091632954472586
249,-0.380301663014054
250,-0.370057094523164
251,0.5677039529016046
252,-0.126315789473689
253,0.1891153603698327
254,-0.0420433046037484
255,-0.2951718321737309
256,-0.1372321334318541
257,-0.0105574324324378
258,0.368149784369406
259,-0.0210415570752193
260,-0.1580611169652175
261,0.1157772866014097
262,0.0736222128733626
263,-0.0315623356128365
264,-0.0677997506990449
265,0.0256815072097673
266,-0.063191153238549
267,0.0631512472371353
268,0.2048211753584299
269,-0.0052521008403313
270,-0.045398752375026
271,-0.2336335387370324
272,0.0789390590464191
273,-0.1581277672359326
274,-0.317258883248728
275,-0.2941882804995166
276,0.1139430284857685
277,0.3213031457819673
278,1.8121790168745404
279,0.5690107966151161
280,-0.0364883602131003
281,0.0583473123769327
282,0.1020036429872396
283,0.3702090592334429
284,-0.1308329699084012
285,0.347674923946103
286,0.1951854261548544
