,HON.US
581,-0.1765871306744752
582,0.00861326442721
583,0.0236808680114558
584,0.00645800146382
585,-0.0840245610255398
586,-0.0495775133643648
587,0.0171982832751172
588,4.310344827729296e-05
589,0.0478219472579886
590,0.081360309944047
591,0.0559308178806502
592,-0.0516551160087833
593,-0.0574131685048462
594,-0.0934212795309549
595,0.0990568069253584
596,0.0086128935015762
597,0.0344397089844522
598,-0.1638566685352056
599,-0.0172510458446508
600,0.1693906514672913
601,0.2944197192742128
602,0.3298453139217573
603,-0.1275510204081637
604,0.036429872495439
605,-0.0091082976591592
606,0.1759808625926219
607,-0.0441624596352314
608,-0.022745882995183
609,0.1272149023171291
610,-0.1228221807760459
611,-0.0693743922912486
612,-0.0809111617312129
613,-0.0729461110604525
614,0.1206712051182743
615,0.111439617921312
616,-0.0090979393167364
617,-0.1047358834244163
618,0.1046263021425729
619,0.0045487627365315
620,-0.0682780281305501
621,0.1545243830386781
622,-0.1912481216702279
623,-0.0883252922983855
624,-0.3091341318460247
625,0.1218426355499277
626,0.046840601433333
627,0.4151506670398294
628,0.1397428731134765
629,-0.1819963600728054
630,-0.060702278670151
631,-0.1519863446114942
632,-0.1147057446509689
633,0.1682636129936832
634,-0.1123017172804177
635,0.1774954458405322
636,0.144589552238807
637,0.2283486442177366
638,0.0694289434523728
639,0.141633193248047
640,-0.1045927854220873
641,0.3635858363632137
642,0.0254676791998549
643,0.4494433816580977
644,-0.2217550992123026
645,-0.163117039367902
646,-0.2144778334260831
647,0.0810879688622252
648,0.0254782971232717
649,0.1480179471760919
650,-0.0064586966350131
651,0.2041079408731498
652,0.1244581777606077
653,0.0343215067141501
654,-0.2882712331124757
655,-0.0344322974950435
656,-0.0861549065219337
657,0.0774793388429781
658,0.0559260055925986
659,-0.0559573002754801
660,0.04732607666825
661,-0.0516551160087833
662,-0.1552058633326206
663,-0.0086232915103616
664,-0.0431350558598948
665,-0.0388366272546834
666,0.0733042990815348
667,0.180777342573071
668,0.1761622411274368
669,-0.0257864878803516
670,0.0429590170976863
671,-0.1592014112989994
672,0.0816852966466026
673,0.0859106529209695
674,0.081548564316064
675,0.025092385601536
676,0.018245678055007
677,-0.2194285714285667
678,0.2280501710376282
679,-0.1621782132986088
680,-0.0571376331306851
681,0.0822105503539522
682,-0.2564219973442018
683,0.0320424791723984
684,-0.0256405560337775
685,-0.0109900174008613
686,0.2079192085361174
687,0.1665145985401372
688,-0.1187539965287251
689,-0.1463727014911687
690,-0.0915667063455805
691,0.1417272436337047
692,0.1164463319405547
693,0.1891522333637156
694,0.2817925643123373
695,-0.1575973101935735
696,-0.09970153334396
697,-0.0547108304648161
698,-0.0615875912408847
699,0.2639002639002696
700,0.0741380114776358
701,0.6443537919525247
702,0.3694808793644981
703,-0.1804469532226043
704,0.0092528336803193
705,0.143213526748592
706,-0.0277264325323485
707,-0.2617740403548996
708,0.141112242065318
709,0.1662817551963111
710,-0.2871965906985383
711,-0.0231663809479604
712,0.2311283686959737
713,0.0046223537025011
714,0.0369651603363756
715,0.1706720789704343
716,-0.0600018462106505
