,MU.US
597,0.2973240832507358
598,0.1583217890362221
599,-0.2711998941658927
600,-0.3083187899941833
601,-0.3034193021356111
602,-0.6578174556560581
603,-0.1176055509819996
604,-0.2239509665252212
605,-0.7242075270093784
606,-0.3625826177201951
607,0.230979553019494
608,0.0356506238859193
609,0.1305483028720619
610,-0.0118694362017864
611,-0.1783590963139187
612,0.1264747970762484
613,0.0516320474777383
614,-0.0831551437395975
615,0.0949442202705889
616,0.0177988727380605
617,0.6659594530881633
618,0.3289473684210539
619,0.4750585492415802
620,0.2492418940984239
621,-0.2578359321558255
622,-0.3514433231635705
623,0.0586372698487125
624,-0.2940484591860739
625,0.7749969773908731
626,0.2652839744362873
627,-0.2095301160270007
628,0.1609361804801479
629,0.7186489399928067
630,-0.0479328939484626
631,-0.2763758711848161
632,0.3293610395832154
633,0.0718089880916788
634,0.1135684399282712
635,0.4878652297582324
636,0.0355571411582801
637,0.09504574076274
638,0.7663286960622395
639,-0.1298547987250613
640,0.3880526810912659
641,0.0587613115524705
642,0.070463887257783
643,-0.0587544065805069
644,0.093918760272379
645,0.3451301550160719
646,0.0175459118025506
647,-0.1757675181626335
648,-0.1290625366654927
649,0.3157894736842059
650,1.0995730933425671
651,0.4936854190585449
652,-0.8452008799351507
653,-0.1101130107215286
654,0.2601156069364096
655,-0.4062681369703939
656,-0.2326934264107071
657,-0.9039680676215026
658,-0.3120767826650186
659,-0.4673450070989236
660,0.4827505004121168
661,0.4804312163112217
662,-0.270238514863123
663,-0.1765536723163908
664,-0.3306565895134469
665,0.3999059044930478
666,-0.3778040141676425
667,0.0766825930513746
668,-0.0872582833379124
669,0.1048596367067649
670,0.0942729201036982
671,0.2468555307393837
672,-0.4605573925365923
673,-0.0945626477541519
674,-0.8703946583998925
675,-0.746263193573102
676,0.0580918934738228
677,0.0144842933201098
678,-0.4700860354460757
679,-0.3023958717287159
680,-0.2438663907774257
681,-0.6246281975014898
682,0.0297353553375114
683,0.2373183031741272
684,0.2441370126507243
685,-0.1259259259259166
686,-0.0446124864569303
687,0.0667999703769607
688,0.0296142740801007
689,-0.0370315508813382
690,0.0
691,0.0740082889283557
692,0.0221975582685912
693,0.3979659518018955
694,-0.0811329104587588
695,0.0368650003686374
696,-0.2957923537676593
697,0.0665090156665706
698,-0.1776724903760591
699,-0.0444378610576227
700,-0.3705260944972887
701,0.1076256726604457
702,-0.4217740872545052
703,0.0131787032155916
704,0.1184678162432584
705,-0.0395048722675811
706,-0.1186552406064646
707,0.0808837671285289
708,-0.0875469707957038
709,-0.231267345050875
710,-0.3381290194258376
711,0.1125827814569453
712,-0.3588993752492304
713,0.1725053078556203
714,0.2118644067796565
715,0.2244685222202677
716,-0.1727118002525137
717,-0.3778146795084568
718,-0.0066427527567552
719,0.013549379518117
720,0.1721257127701936
721,0.0
722,0.0861212321960884
723,0.0066242713301664
724,0.0
725,0.3860538062492549
726,-0.6557377049180404
727,0.3388599782161456
728,0.1329465796470866
729,-0.2544529262086438
730,-0.0970285021224964
731,-0.2066115702479359
732,0.1031991744065971
733,0.0182083029861623
734,0.0485319097306554
735,0.1514325519413653
736,-0.0666747484543663
737,0.042411390487744
738,0.271903323262833
739,-0.030220610456338
740,0.3073029645697874
741,0.2044497895369834
742,1.1413625014861415
743,-0.984511946212022
744,0.1079395538498311
745,0.2870126763932182
746,0.8066429418742499
747,0.7768361581920864
748,0.0388267269069232
749,0.7902416248395083
750,-0.2535925612848614
751,0.0482800241400024
752,-0.1376666291981384
753,-0.5912476382921296
754,-0.6606290539713617
755,0.1588465298142835
756,0.5048914781175219
757,0.2784748742195478
758,0.53659713010974
759,0.1084076126234512
760,0.90713774170447
761,-0.095579450418158
762,-0.179533213644531
763,0.5001786352268688
764,-0.7922218221101868
765,0.0959347643602329
766,-0.7003985025963027
767,-0.048326688413684
768,-0.4124711876743773
769,0.8421738936919263
770,0.7164696046817213
771,-0.1315474766802193
772,0.2980803624657207
773,0.4392212725545944
774,-0.1664684898929852
775,-0.6774772687786005
776,-0.6235431235431196
777,0.220955925107568
778,-0.7325041849851235
779,-0.6659198113207571
780,0.3642345200329013
781,0.5724299065420501
782,-0.0116836078981083
783,-0.6254555714923892
784,-0.6961051260802747
785,0.5260449358017999
786,-0.1258106355382662
787,0.4460617443361844
788,-0.3651032456370798
789,-0.0723896970832987
790,-0.2348144646655664
791,0.3884638022366077
792,-0.1237550827980481
793,0.1471107449688125
794,0.357666373497516
795,-0.2645502645502746
796,0.0704970038773378
797,-0.2514826877433065
798,0.280143301814767
799,0.3219763493735996
800,-0.3277635197853555
801,0.6424220272904444
802,-0.1586333129957235
803,0.2313123934745528
804,0.2428953121204795
805,-0.226770066351245
806,0.1838284429864603
807,0.2967898243488677
808,0.0443171168204128
809,0.1854000483441995
810,-0.2544529262086438
811,-0.243046572387439
812,0.2545432517567376
813,-0.1030865320477933
814,-0.2614299610894983
815,-0.0851892418157395
816,-0.0487032752952712
817,0.1823043266893603
818,-0.1277760876178935
819,0.0608087564609269
820,0.0486233513645004
821,0.1274735947553769
822,-0.2068126520681285
823,-0.2500152448319999
824,0.0182904523838563
825,-0.3366020524515326
826,-0.4466842286106981
827,-1.012321397581998
828,0.5922944220816567
829,1.311943922030196
830,-0.3484054669703966
831,-0.1197331660870106
832,-0.2457704618198321
833,0.0342817963661308
834,-0.2520334517126805
835,0.5808656036446366
836,-0.1368613138686021
837,0.1366742596810823
838,-0.0455788514129353
839,0.171196842242956
840,0.5312287847929356
841,-0.1813647698934443
842,0.2261931689663004
843,-0.1699331596238877
844,-0.2726343292059467
845,0.2492917847025483
846,0.3162769682593484
847,-0.0452028477794171
848,0.0677583286278964
849,-0.0112943302462061
850,-0.7166403898523721
851,0.5983758370138221
852,0.2274342572849987
853,0.6776789495976338
854,-0.0706414241311064
855,0.1269930859319929
856,-0.2546329042297451
857,-0.1132983996601023
858,0.2119841718485099
859,0.1481690538347418
860,-0.205033936651578
861,0.1975726785210282
862,0.1338876752871522
863,-0.0352460172000443
864,0.1126601887058136
865,-0.0450843923469394
866,-0.0253664036076672
867,-0.2826455624646532
868,-0.0990239072004631
869,0.070681368391288
870,-0.0565770862800453
871,0.253950338600441
872,-0.2545968882602441
873,0.0282805429864197
874,-0.3262874166548503
875,0.0
876,-0.2707017422086588
877,-0.1459752537188791
878,-0.6295467263570269
879,-0.4779308405960127
880,0.6732549405072811
881,-0.0240206689477027
882,-0.1328485526499774
883,-0.2496779140889287
884,0.3466051969823886
885,0.111638291934131
886,0.041846840563539
887,0.0698354198000845
888,-0.0001393922497955
889,0.1113895850737932
890,-0.042764033080133
891,-0.0059901093543228
892,0.2154573255490702
893,0.0833333333333364
894,0.0972664114521785
895,0.1521199114989173
896,0.1662514989605781
897,-0.3471200555170067
898,0.173190162798753
899,0.1314515013145134
900,-1.0463800904977345
901,-0.2949852507374689
902,-1.5437788018433218
903,0.2757352941176574
904,-0.1726320635286059
905,0.6176369667162372
906,-0.2715808113476766
907,-0.6501212051252558
908,0.9490052595472196
909,0.1027984009137674
910,-0.8059873344847472
911,-0.230813618003449
912,0.4823705064890175
913,-0.299504665361123
914,-0.0518642309687105
915,-1.0775862068965485
916,-0.2569493109086648
917,0.4302825909989421
918,-0.2039270523801167
919,-0.2277505255781279
920,0.684375362486938
921,-0.630325668261926
922,-0.2809317569940242
923,0.0935563092035999
924,-0.1288056206088986
925,-0.1593414669998576
926,-0.2579028811436109
927,0.169192290716485
928,-0.036794466112305
929,0.0658922367767066
930,-0.1470025040506729
931,-0.206642066420665
932,0.1473839351510601
933,-0.0160674301398343
934,0.1191107184923435
935,-0.1253040465836337
936,-0.0885282183695876
937,0.0073768073177861
938,0.0073762631850637
939,0.0339193015573536
940,0.0619012527634301
941,-0.0738939142978094
942,0.0370070033173741
943,0.2573529411764664
944,0.0698041809030448
945,0.2674776491279562
946,0.0585908891167306
947,0.1374992686209237
948,-0.0204828090709729
949,0.4224941724941816
950,0.4657849338700415
951,-0.138201082575152
952,-0.8185776487663261
953,-0.1672458630491303
954,0.8347846144974306
955,-0.4576526474336647
956,-0.7352941176470534
957,-0.6697215368346933
958,0.3862359550561777
959,0.0818617705531603
960,0.1867631609664953
961,0.1515151515151462
962,-0.0116563702063071
963,0.487182461431374
964,-0.2370762073852786
965,-0.2402097902097976
966,-0.0933271115258962
967,0.1979275817906644
968,-0.3270645952575647
969,0.0
970,0.2446982055464854
971,0.0814995925020461
972,0.2554871675763545
973,0.1044083526682174
974,-0.1859600185959979
975,0.9283369183742708
976,0.5852560495216613
977,-0.384137385606134
978,0.6287189850679107
979,-0.1349072512647446
980,0.5367326400536777
981,0.0223588596981509
982,0.2564674397859098
983,-0.2011173184357618
984,0.5886926580028892
985,-0.1891831738259534
986,-0.3573821755639861
987,0.1171286742149475
988,-0.0949084412684164
989,-0.2574722937423083
990,-0.3164578284569526
