,BIIB.US
170,-0.0714486760343785
171,0.3860587499460856
172,0.1808396124865393
173,0.004305519676221
174,0.1633425034387876
175,-0.4054005786334217
176,0.1711535032982568
177,0.3181147701221057
178,-0.4660048564490811
179,0.3380903234990529
180,0.6716391530276705
181,-0.0778292708812291
182,-0.0867486943436326
183,0.2067064768029325
184,-0.1947178361537957
185,-0.0283306183157391
186,0.3792489107618453
187,-0.1448532918793718
188,-0.093712426621417
189,-0.0778595696489136
190,0.6661862157458937
191,-0.1496320811181957
192,0.3630750881378019
193,0.0560960645104829
194,-0.0771916282170584
195,-0.1915910848625522
196,-0.36340542638393
197,0.0229280939699104
198,0.0264484959621922
199,-0.0282196902888934
200,-0.3355920906465183
201,-0.3455579088173027
202,0.469674556213011
203,0.2242371711209764
204,0.6096380239850427
205,-0.2868807238221448
206,-0.0883489784649398
207,0.3229002311672093
208,0.4583888817868226
209,0.519593772141762
210,0.8234234234234324
211,0.2229253559614571
212,-0.453507204248728
213,0.3664854391851477
214,0.1032462163425391
215,0.1184919210053803
216,0.0071808128680101
217,0.1183431952662868
218,-0.0358744394618915
219,0.168326051142478
220,-0.0680930365910671
221,-0.0035839724750881
222,0.2074391988555224
223,0.0623716600333362
224,0.1839166577473442
225,0.3923868624186385
226,-0.1648695256684589
227,-0.6120347773032406
228,0.2889733840304148
229,0.1859653117765414
230,-0.2892703535949419
231,-0.0876190476190545
232,-0.6122205711171324
233,0.1138208269525294
234,0.305343511450386
235,0.0972336085107988
236,0.093333333333335
237,0.5681818181818182
238,1.0086617420975657
239,0.0412293853073514
240,-0.0374953130858728
241,-0.2631578947368378
242,0.0826384193524255
243,0.4692027292270288
244,-0.0280478683620215
245,0.0710041481370745
246,0.1157148189623002
247,-0.2901263453439316
248,-0.099303005321137
249,0.2206019816788091
250,0.3039065266139589
251,-0.1433066910928283
252,-0.1835324067907004
253,-0.3251960085530916
254,-0.3098188751191671
255,-0.0924352208009071
256,0.0923498570066737
257,0.0952380952380932
258,-0.0476417341591308
259,0.4180874722016383
260,0.2218934911242603
261,-0.1244149534925102
262,0.2069291711008598
263,0.232990238003958
264,-0.0944649446494444
265,0.0177090404651581
266,0.1532431556302071
267,0.2234702578729133
268,0.1761131820716847
269,-0.0088064345681831
270,-0.0469897209985389
271,0.0689685532745428
272,-0.0778335829882181
273,0.0557740855985433
274,-0.038175784806053
275,0.5708229237641147
276,0.1104086632989359
277,-0.5459328761082008
278,0.0562344215453833
279,0.0030396060670509
280,0.526108910591724
281,-0.3428398058252413
282,-0.3994961748584016
283,0.097836340951284
284,-0.0334855403348595
285,-0.0152230172020129
286,0.2702374445861378
287,0.1031303081776364
288,-0.3958828186856725
289,-0.1341708849179721
290,0.1081344522456991
291,0.0380610194263443
292,-0.0182726276038501
293,0.0395750251149183
294,-0.1463370019206787
295,-0.0213453680551299
296,-0.045761005521821
297,0.0426920379349209
298,-0.5611775528978792
299,0.3209536909674322
300,0.2008881370268531
301,-0.2437731849496547
302,0.1728151230866929
303,-0.2156010320574041
304,0.3346484430040822
305,-0.1905837509705726
306,-0.1254483453186428
307,0.0476829612884963
308,-0.130857648099029
309,0.0106089539571301
310,-0.0353756898259395
311,0.2399774138904598
312,-0.1413627367825961
313,-0.0495014496853073
314,-0.0282945462262092
315,-0.4976185398450395
316,-0.1923076923076793
317,-0.010684902233155
318,-0.0249376558603466
319,-0.2750687671917914
320,0.4374733247972748
321,0.1243295087208148
322,-0.2778470416414251
323,0.0676349138544773
324,-0.2068916315902265
325,-0.0448279726549383
326,-0.2359020444843838
327,-0.1124606387764325
328,-0.1727375140818548
329,-0.1297211934349898
330,0.0169172932330886
331,-0.0865409940926433
332,0.1577820353882625
333,-0.4831829678003747
334,0.267299149160447
335,0.0865149520406312
336,-0.112973074750522
337,-0.0112985839108276
338,-0.3818381157612154
339,0.2677022848955721
340,0.2257166503648957
341,-0.0865996460710185
342,-0.1810191312967655
343,0.003734158117085
344,0.0
345,-0.1397544853635522
346,-0.0510175160138279
347,0.1339774314073359
348,0.0603477539320213
349,-0.1246223564954622
350,0.1739130434782608
351,-0.328029034059184
352,0.0244217283606018
353,-0.2430622344239051
354,-0.1418414877596153
