,INTC.US
253,-0.0902457757296546
254,0.1916443081640502
255,0.3772605083088979
256,-0.2058542184809602
257,0.4949552636588578
258,-0.053331301664696
259,0.1008467319950476
260,-0.129555890029908
261,0.1388888888888896
262,-0.0285469597487878
263,-0.1620282119710271
264,-0.0476780776199076
265,0.2359253410452924
266,-0.2403066770926662
267,0.0133485888634589
268,-0.3772761466151361
269,0.0717286019234769
270,0.1710903188848524
271,0.2476190476190525
272,0.1711351968054828
273,-0.0951655881233427
274,-0.1715919923736822
275,-0.7628990162617856
276,0.1002807862013581
277,-0.585031268912647
278,-0.1889786060048685
279,-0.9724489795918398
280,0.4065040650406561
281,-0.3262642740619977
282,-0.2899902245890367
283,-0.0781825624232569
284,-0.2564891761567662
285,0.3170382491307039
286,0.0613246116107954
287,-0.1023122570083983
288,0.0102301790281382
289,0.2551020408163265
290,0.0611870283499921
291,0.5375798762551994
292,0.0709507399148522
293,-0.2642276422764135
294,-0.0197193349095294
295,-0.0209434729564881
296,0.0101657009250839
297,-0.1119478933441883
298,0.5666869054847077
299,-0.4472453750762327
300,-0.7473243304788246
301,0.3750107416000739
302,-0.2152945229073372
303,0.008611039352442
304,0.1739842038847401
305,-0.0708817204301134
306,-0.1723395088324023
307,0.0086162329829442
308,0.0946888181113879
309,0.0258175559380388
310,0.1143269751489221
311,-0.1489325068870539
312,-0.0861623298293936
313,-0.0517241379310364
314,0.0516973978976411
315,-0.1639768706308774
316,-0.0086311065078587
317,-0.0777403472402206
318,-0.0088113490175324
319,0.0260816996286447
320,-0.0518448111984811
321,0.0
322,-0.0432226832641745
323,-0.0605483954675265
324,0.2846299810246664
325,-0.4108928571428575
326,-0.1968151726605823
327,0.0536480686695299
328,-0.1612036539494956
329,0.1252236135957071
330,-0.0626510337420506
331,0.0268432355046538
332,0.1251117068811444
333,0.1071237279057224
334,-0.3224073078989785
335,-0.0627296352719716
336,0.0805873925501463
337,-0.0042981790048309
338,0.0669351230425022
339,-0.089565606806981
340,0.1252348152786479
341,-0.0537008860646221
342,0.0447307210592209
343,-0.0447507383871808
344,-0.0191569852276367
345,0.099624396351269
346,-0.0268360318454127
347,0.053821986907484
348,0.1426658334077351
349,-0.0804145818441774
350,-0.0374601985390448
351,-0.074976569821929
352,-0.3951825366955228
353,-0.1507727101394615
354,0.4502814258911724
355,0.1124437781109487
356,-0.0187441424554789
357,0.2430815258040304
358,-0.0561272217025145
359,-0.2144908841374305
360,0.2326973438084575
361,0.1214385801027514
