,CTSH.US
112,-0.2459228578824718
113,-0.2465291293629323
114,0.116640746500782
115,-0.1427644386761835
116,0.4007238883143773
117,-0.0905679906844264
118,-0.2854547813676049
119,0.0648340248962803
120,-0.0259403372243971
121,0.1941747572815607
122,-0.0258966722776071
123,-0.1556218389314026
124,-0.2209513906940495
125,0.1358511071865158
126,0.2033622559653005
127,-0.2446316933949535
128,-0.1088435374149636
129,0.0883572350982093
130,0.2102550189907774
131,-0.1086366105377489
132,-0.1564093845630668
133,0.0883272183720583
134,0.1560274065531441
135,-0.1426630434782663
136,0.0
137,-0.0611787098089694
138,0.1289884589273575
139,0.1355932203389753
140,-0.0406945198046678
141,-0.0271370420624097
142,-0.1154655980438877
143,-0.0407691785010547
144,-0.0611911884688434
145,-0.1225323349217201
146,-0.0476741810256713
147,0.0204276181397256
148,-0.0954198473282543
149,0.0681106116332885
150,-0.8409354852166753
151,0.2615931816656464
152,0.0871664208126562
153,0.2408026755852934
154,0.0
155,-0.1943569465853441
156,-0.3429724277068052
157,0.3484787561989078
158,0.1207493420365619
159,-0.6402155607948817
160,0.1546946462200821
161,0.388583679485451
162,0.0468760463403345
163,-0.3831675181500548
164,-0.249342947637984
165,-0.0539410693816897
166,-0.0202319935257628
167,0.0
168,-0.0809935205183616
169,-0.1351716680183756
170,0.1754149237619693
171,0.4299341663307905
172,0.2278820375334953
173,0.1539182225791462
174,0.1403368083400023
175,-0.4989835520236393
176,0.3499079189686882
177,-0.3696857670979632
178,0.0738825267824012
179,0.8182706399609205
180,-0.2939735423811794
181,0.0
182,-0.3749923157312434
183,0.1227973230183686
184,0.1287711552612263
185,-0.116643133402926
186,0.1575266477471268
187,0.0079676391272402
188,0.0734933855952992
189,-0.2368408451620677
190,-0.3166646138687133
191,0.147583323084497
192,0.0675966324586648
193,0.1104904548523766
194,-0.0184184675834977
195,0.5130710969948713
196,0.1463771651622402
197,-0.006099420555059
198,-0.097686061420109
199,0.0671140939597398
200,0.1273190251000412
201,0.0
202,0.2057115198451134
203,-0.2182876546204303
204,-0.072815533980568
205,0.1635669715878002
206,-0.1334546557476487
207,-0.1153892870156672
208,-0.1216101179618075
209,-0.2071654886668312
210,-0.0487685930260988
211,-0.0182915675873429
212,-0.0182949140139048
213,-0.0488102501525223
214,-0.042727217237376
215,-0.0305287580901278
216,-0.091670231620122
217,-0.008801116763924
218,-0.0156488782932924
219,0.274323335771756
220,-0.1342937370284452
221,-0.1099975556098795
222,-0.1101186834699488
223,0.2014775016789694
224,0.0793069790141504
225,0.2323780015491754
226,0.0773993808049631
227,-0.1409244644870469
228,-0.1269930859319729
229,-0.0988700564971855
230,0.0705716302046537
231,0.0070566650201251
232,0.0211655143219988
233,-0.1342281879194614
234,-0.2478753541076648
235,0.0707714083510422
236,0.0565850898288188
237,-0.0070736365565472
238,0.0494909502262395
239,-0.1912587660267835
240,-0.0354308390022554
241,0.1556530352341862
242,0.0141482739105901
243,-0.0495434921084447
244,-0.1488517153388003
245,0.0779092003682875
246,-0.0637845499645665
247,-0.0567295419089378
248,-0.1349144358446337
249,0.0212977424393022
250,-0.1705669645902981
251,-0.1708583925642427
252,0.2318287194872517
253,0.0408942202835348
254,0.0681106116332885
255,0.0544588155207709
256,0.2086854447336778
257,-0.0660730065936962
258,0.1967435549525047
259,0.0813449023861202
260,-0.1117027268766581
261,0.0709344907093482
262,-0.0678610206297464
263,-0.1427115188583132
264,-0.054395865914199
265,-0.1020963789817626
266,-0.040855236279432
267,-0.1227161167166667
268,-0.0136369834992569
269,-0.2049740366220162
270,-0.1368363437329071
271,-0.0616142945163301
272,0.0136901909781711
273,-0.1576854518030918
274,0.0958904109588947
275,0.0467383321092485
276,0.0333733813909911
277,-0.0667913438418343
278,0.0534045393858561
279,-0.2408993576017222
280,0.4264392324093914
281,-0.1468036834378746
282,-0.234098053641912
283,-0.2077747989276155
284,-0.1611170784102985
285,0.0316763216811024
286,-0.0719946272666259
287,-0.0941113202473882
288,-0.1211468569120866
289,0.0806993947545232
290,0.0806343233436396
291,0.0403009134873739
292,-0.2154011847065113
293,-0.195589127942262
294,-0.0269850907373814
295,0.1010917913465465
296,0.0404203718674227
297,0.2821442966545854
298,0.3547760894303318
299,0.539280958721706
300,-0.2759658805820357
301,-0.031369596586995
302,0.0188182160331207
303,0.0376222723852535
304,0.4245754245754288
305,0.0811030008110271
306,0.0062383031815466
307,0.0187114077215749
308,0.0062367469128046
309,-0.1436512397726499
310,0.14344517899463
311,0.2240199128811358
312,0.0715107421571427
313,-0.2462286497942964
314,-0.0873471425006154
315,-0.1750000000000007
316,0.0249937515621045
317,0.0124953142571599
318,-0.2411147643651109
319,0.1656871326747445
320,-0.0250156347717273
321,-0.0531864968870306
322,0.1156250000000014
323,0.1373111971039813
324,0.1246727340730511
325,-0.2423686623870068
326,-0.2628402244059061
327,-0.1313955017756217
328,-0.0789785441621722
329,0.1577079773951958
330,-0.4223307377590172
331,-0.1056942792971308
