,INTU.US
618,0.1918889629047763
619,-0.1403851132041625
620,0.1808785529715811
621,-0.0696171059174585
622,0.0894276629570724
623,-0.1821674945498996
624,0.1798525407897559
625,0.3465179545364875
626,0.3026676682797224
627,-0.0332040124427564
628,-0.075202434460215
629,0.1867821108124236
630,-0.2616541090196292
631,-0.0428981650091057
632,-0.2826991624378876
633,0.3246611185494418
634,0.2052258357494593
635,0.0
636,0.0209548423148123
637,0.1273129981339085
638,0.1027910380152674
639,0.2225080833014589
640,0.0833709660610723
641,0.1560765815760227
642,-0.0208145424269764
643,0.1126184659632304
644,0.0311769290724973
645,0.0294362100013781
646,0.0051943554670544
647,-0.0069262869906951
648,-0.0242478826402456
649,0.0
650,-0.046061722708431
651,0.6912325285895876
652,0.1446443525261992
653,0.3212424748317858
654,0.180530481877525
655,0.1297124790767937
656,0.1084634760705357
657,0.1044248455644654
658,0.0314433767671177
659,-0.2622950819672183
660,-0.5732548701298679
661,-0.0012682790721258
662,-0.2071577449036647
663,0.2004008016031972
664,-0.5163379527518843
665,0.1552972924808141
666,0.0305409566954696
667,-0.1529383276193932
668,-0.2107333520651839
669,0.063817838362179
670,-0.2405322415557824
671,-0.1204109343376187
672,-0.056394350311443
673,0.1356747900880536
674,-0.2592202859122734
675,-0.6550412928524698
676,0.0630877364862289
677,-0.3328716321880187
678,-0.0983943825752445
679,-0.135849281939505
680,-0.0627390057361315
681,0.5289747399702742
682,0.0460411994474975
683,-0.3794175307298322
684,-0.1590264297446529
685,-0.2319838359649881
686,0.0867315658038432
687,-0.0643423612150327
688,-0.1123511347464609
689,0.1398685086426859
690,-0.0396575977971306
691,-0.1648878762441573
692,-0.0134926465076581
693,0.0284763646173757
694,-0.0209869880673961
695,-0.0690048303381291
696,-0.3643480879253175
697,0.168340046894728
698,0.3400290597522404
699,-0.315556958030928
700,0.2556563978013549
701,0.0523821083159895
702,-0.1535488989264431
703,-0.2064367226567526
704,0.1331728429841059
705,-0.0461195521279066
706,0.0819231458487988
707,-0.3958156629912407
708,-0.1157943492357543
709,-0.1107704989824588
710,0.3388873199661095
711,-0.5057411946845516
712,-0.1265953598925254
713,-0.0853308509813006
714,-0.0672755970709216
715,0.1085579880586107
716,-0.1942300719946133
717,1.3476744631657025
718,-0.1163801923470536
719,1.0903939079616471
720,-0.1545634216794093
721,-0.1039949270767343
722,-0.2670396744659236
723,-0.4906971989368268
724,0.1046746151293178
725,-0.1381278538812826
726,-0.0776858748800381
727,0.3551750831018628
728,0.2611440379680671
729,0.1519136586250716
730,0.0611814824046547
731,-0.1384161561152742
732,-0.1249574008860641
733,0.1429284450292652
734,0.0906659413391436
735,-0.0090674162397471
736,-0.0498956726843804
737,-0.0703570050611657
738,-0.1167699509266351
739,0.284105585136523
740,-0.1656756388725019
741,0.0431024704521217
742,-0.0635598029646175
