,COST.US
130,0.5778646943786946
131,-0.119243905311515
132,0.0088321017458208
133,0.1205598682662809
134,-0.0500132387984934
135,-0.0853895530298629
136,0.2525845864661694
137,-0.2532241917437176
138,-0.109064112011792
139,0.23525952065873
140,-0.3304517156935074
141,0.0530801214945023
142,-0.0147466525098836
143,0.126660579103952
144,0.23216174914775
145,-0.0029388426837484
146,-0.0205761316872407
147,-0.1973316054546037
148,-0.094336841484624
149,-0.3461128860489761
150,-0.4813421204969504
151,-0.1650312221231064
152,0.0512671912266273
153,-0.1004060868401063
154,0.2980957465741179
155,0.0506950558979714
156,0.084864372514608
157,0.1419792798988367
158,0.0155265726199967
159,0.00665380264822
160,0.1240502403473411
161,0.0464972101673854
162,-0.0088573959255898
163,-0.0775623268698111
164,-0.0088650517497441
165,0.1040559688274945
166,0.0066414292355654
167,0.0553146296132401
168,0.1612582562018198
169,-0.0641025641025686
170,-0.044228217602828
171,-0.0486747201203527
172,-0.0642033252894729
173,0.1171995931184002
174,-0.1971949571267239
175,-0.3330174744293688
176,0.0891042240971217
177,-0.0485575239507316
178,0.2374308662905487
179,-0.4522739328289468
180,-0.1930069930069923
181,0.5078967508522894
182,0.0556289548710072
183,0.3547622677069413
184,-0.0041575431691527
185,-0.163797890061086
186,0.0277546489036976
187,0.2712577502214242
188,0.0290548860633446
189,-0.0128964981302878
190,-0.1686579990574558
191,0.0332548150200927
192,0.0387822377351135
193,-0.0720760679732738
194,0.0138588613559383
195,0.038789759503503
196,-0.2054528291409876
197,0.1137025430544297
198,0.1440004430782971
199,0.2155351073530555
200,0.4257681039267684
201,-0.0173920681628561
202,-0.1143208899441546
203,-0.2490467899411534
204,0.1584332709869007
205,-0.1091960137837662
206,-0.0439223810205934
207,0.0891756209265522
208,0.0517171183661697
209,-0.0171906437995166
210,0.0193879908891841
211,-0.098423158784222
212,-0.0459504436035898
213,-0.1588636514138237
214,-0.0530047041674843
215,-0.0441901058353135
216,0.0640346228581568
217,0.0307271744773768
218,0.1115263767157191
219,-0.0650883657304148
220,0.1289071537961459
221,0.051756414491799
222,0.0088088264440889
223,0.0638232316563274
224,0.2436936046894583
225,-0.3189487089903009
226,0.2058214864135371
227,0.2513013821576029
228,-0.3580355333378441
229,0.2269152999326101
230,-0.2454899664422044
231,-0.1511255469842594
232,0.1374028606825123
233,0.2471632400853887
234,-0.2997385738754133
235,0.0337936783292354
236,0.1439787631324349
237,-0.1035919378448326
238,-0.0371717899906553
239,0.2684910577873625
240,0.3102146864815811
