,ZM.US
310,-0.3114044536712382
311,-0.0764406115248895
312,-0.2534829341140798
313,-0.2244716212176367
314,-0.3220847986723045
315,-0.1543454171283783
316,-0.1525991398957646
317,-0.522544310681776
318,-0.0691758701806108
319,0.5669203932762475
320,-0.2842659775370255
321,-0.7998262327615376
322,0.342629472524743
323,-0.100785575789079
324,0.4715104249562319
325,-0.1675647055159345
326,3.017111180383888
327,-0.8580869346926546
328,-0.8593771605033166
329,-0.8318874705663658
330,0.7136704811123394
331,-0.4464906453257506
332,0.0476235773151182
333,0.0465518305859121
334,-0.424714015562515
335,-0.1832411951052782
336,0.009285428802033
337,-0.2958637014888226
338,0.0638102501050485
339,-0.1012650339627309
340,0.0093466679128982
341,0.4157488132543125
342,0.3757969225329174
343,-0.1658874887767406
344,-0.299666174986424
345,-0.0295095207032492
346,0.3944864714345314
347,-0.1595958969909158
348,0.0340768277571293
349,-0.046490004649011
350,1.30486428884849
351,-0.649874022042271
352,0.2956847203874859
353,0.906965871902766
354,0.0467289719626097
355,0.412620606211021
356,-0.3112065477857654
357,-0.0996853680570677
358,0.7113915437196533
359,-0.1362777588503105
360,-0.4354994245186105
361,0.384245917387113
362,0.2349522366834784
363,-0.5361388677368795
364,0.3257779047239059
365,0.1526183921556522
366,-0.198357353169082
367,-0.0046492166069974
368,0.0356312935708781
369,0.6873267797738776
370,-0.0688816356694198
371,-0.8571428571428542
372,-0.0106843712496009
373,0.5081425172275328
374,0.8881810664298115
375,0.1229114653351449
376,0.1763736053065371
377,-0.2197987995604034
378,-0.1300500192381771
379,0.0461502961310685
380,0.2493574250968788
381,-0.4855626451368312
382,-0.1623228696088545
383,-0.2333320819808859
384,0.7176047156881464
385,-0.1711635425888193
386,0.2438134730941238
387,0.0287885766927639
388,0.4090370427004064
389,-0.116730772910787
390,-0.378409527468311
391,0.1112859280862518
392,0.1838587352051243
393,-0.1756633035598564
394,0.0605130958315791
395,-0.2518116986717308
396,0.0480325853058715
397,0.2644387383589459
398,-0.319108035371005
399,-0.088505791357224
400,-0.2930608995621595
401,-0.2207329397372589
402,0.2202467825394828
403,-0.4210301915953955
404,-0.3395721925133641
405,-0.2573450568303612
406,-0.4523912106850513
407,0.7125192166298947
408,-0.3043793075705948
409,0.1610478417848833
410,0.3358238825883993
411,-0.2474419848859791
412,0.2774332092886827
413,0.5649942306927136
414,-0.7200106866150129
415,0.0347194402157934
416,-0.1350538209533985
417,0.0173801438541131
418,-0.0869763023028618
419,-0.2589213844915567
420,-0.1477898696762089
421,0.3013863773357444
422,0.0307988965960548
423,0.2537799861088819
424,0.0293764187474999
425,-1.189597662130658
426,0.165031090678691
427,0.0471295178061283
428,0.0574061262640367
429,-0.1961536192555072
430,0.058958787807336
431,0.4110152075626731
432,-0.0766837368778331
433,-1.0147207217902248
434,-0.7047599691555445
435,0.1486212247821387
436,0.8140188852381375
437,0.5153131854977356
438,-0.1415216750221133
439,0.2089402901621433
440,0.8606605204807997
441,0.0874482597796336
442,1.6879209055738609
443,0.606699327788537
444,0.2783616429017833
445,0.0681237581606611
446,0.0853656115552672
447,0.6309886145868493
448,0.5465399815017364
449,-0.0560868224010896
450,0.1770152505446782
451,0.6570302233902715
452,-0.3490536766987411
453,-0.260528055371917
454,0.0116640746500671
455,0.4489859111317638
456,-0.3955045072281276
457,-0.9818709778684616
458,0.1136675420373895
459,-0.1727590404020565
460,0.4883957177463467
461,-0.3253498490847022
462,0.1135473766640532
463,-0.6621472489358374
464,-0.3321733628598558
465,-0.0079095151467143
466,-0.4848195835320408
467,-0.0516878056538489
468,-0.7787503531122969
