,GFS.US
130,-0.2507496128373267
131,0.4132902597051007
132,-1.0776101532169913
133,0.04956074921266
134,-0.8525576730190538
135,0.0751691305437262
136,-0.7404291123264701
137,-0.3461668355285348
138,0.0168833361472193
139,0.5373635600335858
140,-0.6337135614702155
141,-0.2966101694915206
142,0.126957257723238
143,-0.0931887495764142
144,0.4889563311414586
145,1.3555093555093518
146,-0.7034586718030345
147,-1.229230247541542
148,0.5731625084288662
149,-0.0084295709348437
150,-1.8141794443600927
151,-0.7417603425862191
152,0.848741445483856
153,-0.8328746177369903
154,-0.0611995104039263
155,0.5937606463230637
156,1.468005394874876
157,-0.8310667875491041
158,0.3313253012048175
159,-0.0904431715405521
160,-0.2872260015117123
161,-0.0378071833648479
162,-0.8003048780487891
163,-0.0686446495309091
164,0.0533617929562381
165,-0.4032048200886076
166,-0.4560971859141903
167,-0.0307644977695677
168,0.4745866503367852
169,0.4344181083759024
170,0.2811977504180001
171,0.3181818181818087
172,0.1512859304084634
173,-0.1666919230186383
174,-0.3497566909975513
175,-0.7046979865771841
176,-0.7437457741717459
177,0.6215353603225341
178,0.6591572799332434
179,-0.9247859821914206
180,-0.0604988203572599
181,-0.2901891722425713
182,-0.7205719635713758
183,-0.3159153005464398
184,-0.6185567010309269
185,0.4958112497862867
186,-0.7145931984502784
187,0.2147766323024054
188,0.350997346117624
189,0.0171188906958795
190,-0.2144450162978212
191,0.066519455226238
192,0.3948087431694009
193,-0.3341043433564641
194,0.2307692307692273
195,0.5271212378847173
196,1.3586044951358522
197,0.7656458055925447
198,1.5081967213114782
199,0.0982640026203771
200,-0.4949691658552414
201,-0.0974658869395632
202,2.2081016679904693
203,-1.2448533196088538
204,2.8196311347295957
205,-1.10619469026548
206,-1.005586592178775
207,-0.7233107342271147
208,1.2144880949355796
209,1.022085986009597
210,-0.2600472813238757
211,0.3924646781789638
212,1.0941748040127546
213,0.2714462681944765
214,0.5543578688019702
215,-0.3492289149179453
216,0.1018832973139896
217,-0.2010827532869225
218,-1.1341415721548822
219,-0.0478915210096655
220,-1.959745509149252
221,0.0553420200634772
222,-1.9362705251178711
223,1.1885962869016635
224,0.702025841442018
225,-0.3370587191768757
226,1.0879101596771443
227,-0.16081267520234
228,0.1605544832426802
229,-0.6090564039191435
230,-0.0264877273529941
231,-0.0353294470941585
232,0.6667836462537332
233,0.0
234,-0.0702370500438966
235,-0.1318681318681368
236,-0.574712643678166
237,0.7546507546507542
238,0.0350877192982511
239,0.0
240,0.610287707061903
241,-0.1746724890829719
242,1.5646492434662942
243,-0.3970308993612926
244,1.3283960626742644
245,0.7859738065061252
246,-1.0191539485813688
247,-0.3993487016882408
248,0.7569314509270288
249,0.3393784052266348
250,-0.6284305146766417
251,1.7506838608831643
252,-2.0986275135652805
253,-0.1038421599169226
254,0.6270836640736674
255,-0.0633835371190878
256,0.3165479018210602
257,-0.0158378207158663
258,0.047490897577966
259,-0.5251432208784187
260,-0.0796305144131299
261,-0.1116071428571433
262,0.73593416158899
263,-0.2936507936507972
264,0.1584786053882748
265,0.252924438823896
266,-0.7164464257283805
267,0.4280279010779899
268,-0.1269841269841242
269,-0.0317561130517674
270,0.0476114902396463
271,-0.0794155019059675
272,-0.0317762948840214
273,-0.2133554119033218
274,-0.0414144632048363
275,2.554432348367027
276,1.6193786873607767
277,1.5241826126261884
278,-0.5606060606060675
279,-0.1441468780820861
280,1.9269373912758772
281,0.6212658976634206
282,0.7047000069016264
283,-0.7693104468777847
284,-0.5743063751132798
285,-0.8920420420420596
286,0.9370816599732404
287,-0.0297574765660024
288,1.2851582580597785
289,-0.0146896804994357
290,-0.4500516452707788
291,0.0442477876106211
292,-0.1477104874446001
293,0.8301265477897677
294,-0.2889672396062979
295,0.1786138509322344
296,1.3286065692374458
297,0.4322143783316484
298,-1.3580607476635405
299,0.6528362106484881
300,1.4859222885110548
301,-0.2874047657643094
302,0.3392568659127639
303,-0.40551500405515
304,0.4280061374465001
305,-0.2428559864000624
306,0.4993958920660528
307,-2.603305785123972
308,-0.5150357202193093
309,-0.2997828698835635
310,0.4229652368704874
311,0.0331757485278195
312,0.2729528535980252
313,0.35440534080606
314,0.2794443987835978
315,0.0082182774490508
316,0.4092322802422655
317,0.1144538914322975
318,-0.1473718683477915
319,-0.9254668649809986
320,0.3048027020347677
321,0.2055244985202236
322,0.2132895816242863
323,-0.2961987822938945
324,-0.3467635402906223
325,-0.4858657243816229
326,-1.8975263745364328
327,-0.9315566323440148
328,0.6917293233082613
329,-0.4380003020691833
330,-0.0604503551458244
331,-0.4401942926533186
332,-0.5356407086938594
333,-0.0824742268041268
334,-0.730769230769222
335,1.7236165709101914
336,0.6011421701232427
337,1.1145786892554612
338,0.0
339,0.7549317621746109
340,0.307404520654719
341,0.2177632602270968
342,0.6490496059341486
343,-0.038648836670003
344,-0.0231946806865634
345,0.0309166795486103
346,0.0617951490808068
347,0.553080350284221
348,0.0153609831029046
349,-0.0076810814962676
350,-0.1461538461538444
351,0.3220364974697037
352,0.0766166104811697
353,0.0306372549019546
354,-0.3193375973149917
355,-0.9889035462093472
356,-0.1165320074580529
357,0.8167668361843137
358,-0.1388888888888941
359,0.1386962552011148
360,0.1999384804675414
361,-0.2312316941575327
362,-0.092578305817007
363,-0.3561474140600867
364,-2.6324011873144637
365,0.4975897752374028
366,2.8246223564954698
367,-0.0151080223598808
