,GOOGL.US
535,-0.0844451950683915
536,-0.0372691178151352
537,0.0427169998758177
538,0.6038074925449779
539,0.0204764015494482
540,-0.0754582339880305
541,-0.4290276422606595
542,0.1708827410848445
543,0.2694936989577075
544,-0.3342443224417882
545,0.142009090513892
546,-0.2518001514800768
547,0.0701607517880162
548,0.2562926852812677
549,0.077647989351139
550,0.2410426900556545
551,-0.2087612215183125
552,0.3444945731294268
553,0.1374644643564113
554,0.4047509252644285
555,-0.1122519050627457
556,-0.2586976385015086
557,-0.2695618717837742
558,-0.3477157176674034
559,0.2145385374780468
560,0.2040085640344142
561,-0.4244691119691154
562,-0.0289659167712614
563,-0.2982704189343761
564,-0.2383244289696531
565,0.1245534748989784
566,-0.1032159736110479
567,-0.2780408702141094
568,0.1304192045861652
569,0.0957520112396818
570,-0.0012528457496423
571,-0.0886654792056005
572,0.1243380184925414
573,0.0350548357788261
574,-0.1425685260277119
575,0.1616502632181271
576,-0.1154699267974338
577,0.0180780686179087
578,-0.1572217112964863
579,-0.0780442645538999
580,0.1748001260853407
581,0.0495964173435558
582,0.2148751768387559
583,0.0300000000000051
584,0.0934839542999012
585,-0.1118060789643867
586,-0.1860937841097315
587,-0.1354591096251131
588,0.2316776248752967
589,0.0865775238828223
590,-0.1396808459398068
591,-0.0411431113088004
592,0.0444592641991707
593,-0.1881938953909091
594,0.1097519827659569
595,0.1769210554562453
596,-0.4009691636504159
597,0.0326911503570062
598,-0.2935938419809428
599,-0.1240368492028932
600,0.0644948432085632
601,0.1200844500876861
602,0.2647860543535453
603,-0.0475578310656575
604,0.0053871203241182
605,0.1393134868811627
606,0.3654933605889967
607,-0.0742627365679763
608,0.0247789312514126
609,-0.3436438869611921
610,0.1004686063410162
611,-0.1600415885334452
612,-0.2691915318226842
613,-0.5503309473179893
614,0.0402338530619921
615,-0.1248259267911041
616,0.3918449641588655
617,0.3770474813326888
618,0.056722336762984
619,0.0665427820797778
620,-0.4044943553310562
621,0.3571879438219922
622,0.1064039408867035
623,0.1048161288893972
624,-0.1256417583933711
625,-0.1119710355101085
626,0.22049522834545
627,0.0528810324345219
628,0.0926403735102587
629,-0.0929724624420816
630,0.0432700345176919
631,0.0565141113278895
632,-0.1033062933210088
633,-0.1265872664046229
634,0.3328424153166407
635,-0.2825832242056659
636,0.1047511790655068
637,0.0476808431152696
638,-0.4651989688583289
639,-0.3614155624625053
640,0.0446934682131373
641,0.2427163350703323
642,-0.2736941734763125
643,0.0276888729974717
644,-0.0641397635991681
645,0.0636628832309365
