,CPRT.US
96,0.1294079585894504
97,0.0080873433077275
98,0.1211631663974083
99,-0.2591512795594373
100,0.2038840736400669
101,1.0077791075397493
102,0.0598035027765853
103,-0.0940653326492213
104,-0.2915951972555775
105,0.0342935528120766
106,-0.5777356212813674
107,-0.2766969303934225
108,0.2802328087949891
109,0.1850417419743553
110,-0.0775193798449641
111,0.0774593338497318
112,-0.043051489581537
113,0.0516351118760776
114,-0.043047783039171
115,0.0
116,0.1633144232422191
117,-0.2844582363589331
118,0.0258531540847993
119,0.0774993541720392
120,0.3689087165408432
121,0.0771538791255922
122,-0.1889547367516953
123,-0.0687580575848839
124,-0.2239641657334748
125,-0.888817065287649
126,-0.6056172011543345
127,0.1987668343339319
128,0.7608389356306051
129,0.2209190231362513
130,0.8364534374253144
131,-0.1036682615629947
132,-0.1357502195959448
133,-0.0479348086602239
134,-0.3045115794534782
135,-0.5155054369714059
136,-0.0483520025787753
137,-0.250444336726452
138,-0.3730132987350049
139,0.2749474365194916
140,0.0484966052376352
141,-0.251195202981932
142,-0.1785859241821567
143,0.0689515311295947
144,0.4562338501291971
145,-0.0525146435063605
146,-0.0768111254851219
147,0.1574167507568057
148,-0.024223828172313
149,0.1733032403675668
150,-0.0338524035206576
151,0.0811798132864325
152,-0.250932519498138
153,-0.0610749185667582
154,0.2774582120863481
155,0.2497637370055192
156,0.3832963485979568
157,0.0
158,0.0873421123353906
159,-0.1008810276414054
160,-0.0201802771424735
161,0.0672223716052664
162,0.0403171616718198
163,-0.1682708487581611
164,-0.0673536741429206
165,-0.0404285425510425
166,-0.0067385444743874
167,0.063975218020808
168,-0.3005741303613597
169,-0.1962642122360723
170,0.1047899131257824
171,-0.0439634764964475
172,-0.0473677087562546
173,-0.1321272487041319
174,0.3679200702085921
175,-0.4936917169500815
176,0.552335492669623
177,0.0443035817741865
178,-0.1604314582195614
179,-0.109349371241113
180,-0.0752342521031292
181,0.1502424366591537
182,-0.1162313687953069
183,0.0614964127092609
184,-0.1128706775660923
185,0.099091095469152
186,-0.0820737295670641
187,-0.017101617813049
188,-0.0855812679720662
189,0.0684181718664438
190,0.1567053352223578
191,-0.1295485636114954
192,0.0068394774639349
193,0.1024870183110178
194,-0.2774827857901415
195,-0.051412119550327
196,0.0513857010722599
197,-0.0068518962623038
198,0.0171268068781295
199,0.0136995684636004
200,0.0895984361000239
201,0.024429967426711
202,0.2518073267809295
203,-0.146424794598546
204,-0.179284491891462
205,-0.0611570921841143
206,-0.1102040816326572
207,-0.2947437366955948
208,-0.0450505795142784
209,0.0941080196399419
210,0.1225991009399194
211,-0.13913897528236
212,-0.0819134993446989
213,0.1063742737910117
214,0.0163625951075924
215,-0.1638941243956427
216,0.1429568584514355
217,0.2492041466002796
218,-0.3440085183061689
219,-0.4112180277983386
220,0.2105926632339283
221,0.2320478178989604
222,0.049103854652592
223,-0.0737100737100765
224,-0.7342628495998685
225,0.472222222222227
226,0.166389351081537
227,-0.1666666666666729
228,0.5616425743485862
229,-0.2492154328964334
230,-0.5172453784241454
231,0.2013888888888899
232,0.5799502899751409
233,-0.1936912008854397
234,0.3767343563355661
235,0.3205715332478553
236,0.2831308795323665
237,-0.1097193014537719
238,0.1688649536762377
239,0.5852994555353865
240,-0.1272033436307473
241,-0.5022372386083437
242,0.3820613117438385
243,-0.5190083611917926
244,-0.5955020006438766
245,-0.994008082121796
246,0.4909587237846523
247,-0.3209681906705063
248,0.1943724546464346
249,0.2216475803472431
250,0.182415176942717
251,-0.1258219011283392
252,0.3881297000080892
253,0.0323336836148994
254,0.0646255755715425
255,0.4183090660445628
256,-0.0321879777903003
257,-0.1087525677689538
258,0.0362377194395246
259,-0.075108714222633
260,0.1715205148833471
261,0.2007226013649136
262,-0.0240925152585939
263,-0.6628940986257018
264,0.2419354838709654
265,-0.7802340702210612
266,-0.1954397394136882
267,0.0732362275205496
268,0.2111246447421885
269,0.0162377202240773
270,-0.0975213327915518
271,-0.1872659176029995
272,-0.0162866449511368
273,-0.0407331975560058
274,0.1139230205875177
275,-1.1652965120919416
276,-0.4248156460403984
277,-0.1846944511362755
278,-0.4760367919961299
279,-1.014711275928118
280,-0.1744756138283874
281,0.1518738444381308
282,0.0752688172043108
283,-0.6147037128104254
284,-0.9765786642390192
285,0.9914782038675908
286,-0.7512589779575752
287,0.2552700922266158
288,0.3773584905660442
289,0.2618229422353078
290,-0.22551150108656
291,0.4571241990122871
292,-0.2742080707211212
293,-0.4274558158651836
294,-0.8372015915119405
295,-0.0580575599237019
296,0.008293249295078
297,-0.0331840053094342
