,CDNS.US
283,0.0602409638554239
284,0.068560726409252
285,-0.001672240802674
286,-0.3153727437428698
287,-0.1007522837184347
288,-0.0672133351256851
289,-0.2020474137931111
290,-0.1348799568384061
291,0.0134861766689212
292,-0.0404749055585552
293,0.3763440860215069
294,0.0403063280935122
295,0.0470019472235232
296,0.067100583775075
297,0.1005496715377434
298,-0.0925913500892401
299,0.0120756742251446
300,-0.1856556576118797
301,-0.039100684261976
302,-0.0717360114777522
303,-0.0326179137582434
304,-0.2485121967170201
305,-0.0949170294242858
306,0.1666448830218428
307,-0.6313297382612179
308,0.151027644625379
309,-0.3161847045649099
310,0.111856823266211
311,0.085464466504519
312,-0.0723684210526405
313,0.1577114045511086
314,-0.0559298084190537
315,0.1279947489333726
316,0.006563402467852
317,0.5028407235681981
318,-0.1161145559010411
319,-0.0735409578644386
320,-0.1835343471421087
321,0.137461543496765
322,-0.1114023591087915
323,-0.2430532746502033
324,-0.4818481848184751
325,0.2239209327464999
326,0.4381918819188357
327,-1.2610929472209282
328,-0.0155714730613595
329,0.2717602298315043
330,0.363608231471452
331,0.0541251063171898
332,-0.8106633408683611
333,0.7081769281374718
334,-0.0813323005422294
335,-0.6666926585831726
336,-0.0351014040561746
337,-0.0390167772141888
338,-0.6795773264720973
339,0.2077616620932972
340,-0.1177394034536824
341,0.0470735917150384
342,0.0470514429109177
343,-0.2200565859792527
344,-0.0707825403067158
345,0.2158132234647765
346,-0.1690118701359982
347,-0.10229776518728
348,-0.0551137705692411
349,-0.11034917632222
350,-0.6351316421106941
351,-0.1998001998002073
352,0.0628605235911906
353,-0.1481262035253952
354,0.04441812259402
355,0.2731635289774649
356,0.4483316184036554
357,-0.1030017657445665
358,0.1909237773535169
359,-0.1176297603293608
360,-0.24320141499006
361,0.1471778644491785
362,-0.1621581779317453
363,-0.0663814721935204
364,-0.151431209602964
365,0.2174393749539231
366,0.2353114199573656
367,-0.0294225818315707
368,0.1358945164726207
369,0.1723252914864073
370,-0.1763020642033417
371,-0.0220426157237333
372,0.1613849765258207
373,-0.1542869737711994
374,-0.328013857664115
375,0.1449905756125769
376,0.0362345097470913
377,-0.007247427163371
378,0.0072469019494306
379,-0.8440822888880777
380,-0.762150220913105
381,0.1029866117404637
382,-0.0294334069168447
383,-0.8272433876173232
384,-0.7324091027988414
385,0.9365514177833616
386,-0.0963391136801507
387,0.3618105294248018
388,0.221027038974422
389,-0.1771348438999045
390,-0.2367389213583055
391,0.2067183462532308
392,0.0516528925619994
393,-0.5341246290801178
394,0.1074511838156151
395,0.2476345357776522
396,-0.0665729713736248
397,-0.0592110132484524
398,0.3246034673552178
399,0.1546847377725247
400,-0.5696041795160154
401,0.1051029283850465
402,-0.3345454545454603
403,0.0218134225259951
404,-0.0946142649199384
405,-0.0218388294387429
406,-0.1531058617672848
407,0.0874125874125907
408,0.1599999999999991
409,-0.0436554132712472
410,0.0436363636363652
411,-0.0509350214654683
412,0.0629742154765346
413,-0.1942440801457275
414,-0.145932141554169
415,0.0984072602689732
416,0.0946728325383209
417,0.0618631732168908
418,0.0509202007710723
419,-0.0655117193186806
420,-0.0619104847226832
421,0.1127682793743187
422,0.0436331903134334
423,0.0654069767441885
424,0.0798780045022247
425,1.0307001398807374
426,0.277516739104888
427,-0.2413894612893751
428,0.5707595492463056
429,-0.7296375546270002
430,0.0220338983050831
431,0.1985732146797163
432,0.1322071244950472
433,0.3148337970420316
434,0.1097052585387093
435,0.5238268461258632
436,-0.2370100273473025
437,0.0619488375482894
438,0.1746089487086072
439,0.2322711765986946
440,-0.1963636363636438
441,0.0399840063974459
442,-0.076391415060035
443,0.2177858439201534
444,-0.1017367923842644
445,0.0798722044728327
446,0.1015522994342193
447,-0.0508019449887666
448,-0.0835300526602365
449,-0.5000364990145282
450,0.0182248952068532
451,-0.0912684490261814
452,0.3212921995272467
453,-0.2369380315917465
454,0.2031103161851686
455,0.1543676978025276
456,-0.042393410852709
457,0.3921095493756443
458,0.0542626311346939
459,0.0060288177488339
460,-0.1509479531457553
461,-0.1451203289394178
462,0.132850241545893
463,-0.2057364153455182
464,-0.0817562452687303
465,-0.030289262456466
466,0.2447425670775931
467,0.0724637681159447
