,ASML.US
220,0.6103420963301028
221,-0.4889326864766603
222,0.0549273632971716
223,-0.1707553076441416
224,-0.0037947063846116
225,0.1798905911322825
226,0.5178078976705939
227,-0.033749578130276
228,-0.0337609723160053
229,0.216773588774646
230,0.1082694446070125
231,0.3208493758021135
232,-0.0905030216331422
233,-0.0788873955472394
234,-0.0687084277465137
235,0.0949320870454346
236,-0.1506574809484234
237,-0.1802356251098857
238,-0.0351802990325431
239,0.1368689936835245
240,0.0109775910774206
241,-0.0197635691541911
242,0.0329284355334273
243,0.0124380839497554
244,0.0489966653015907
245,0.303295421405647
246,0.1194255920305336
247,-0.0145662180271547
248,-0.0233113817821504
249,-0.080197139149337
250,-0.5312306287451111
251,-0.3390805366434328
252,0.918085825578132
253,-0.5379480346435656
254,-0.4631612765046097
255,-0.0750187546886648
256,0.0970282586438825
257,-0.4496813916597246
258,0.1704400574396389
259,0.124654853497031
260,0.1752813198282054
261,-0.0669460548689865
262,-0.0871056792902866
263,0.0415254577846764
264,-0.046905572382002
265,-0.1449469869816034
266,0.0073810146882125
267,0.5734716617948942
268,-0.2679644123352671
269,0.3665689149560117
270,-0.2070393374741292
271,0.2079417763026431
272,0.4643695851189449
273,-0.1195520782136383
274,0.2689311642202435
275,-0.4781918371158953
276,-0.237792091072495
277,-1.1975140215249451
278,0.4433042198788973
279,-0.2136186623312782
280,0.1227271869040608
281,-0.0094414441632906
282,-0.7074126193283435
283,0.7530433141455146
284,-0.0698798821485239
285,-0.542608794724888
286,-0.0993157194449577
287,0.3069809747593429
288,-0.4759910132896691
289,0.1653709441350347
290,-0.6052493187359713
291,-0.1062465302371786
292,0.533160690823915
293,-0.5475675365204599
294,0.01722817764166
295,0.5274482548508067
296,-0.2711217183770805
297,0.0629674858800261
298,0.3171674615666084
299,-0.4811459587561736
300,-0.268304914744231
301,0.1377238011769153
302,-0.2120425088769343
303,0.0246360290133194
304,0.1082110591802748
305,0.340909090909079
306,-0.148822550993602
307,-0.079702297899353
308,0.0865112265761217
309,-0.0431616874343083
310,-0.0538246817459304
311,0.0564214771918395
312,-0.0026272331481707
313,0.0350675162243523
314,0.0330805823482679
315,-0.1276843442720404
316,-0.0313049793700185
317,-0.0306882946076288
318,0.0563345017526204
319,0.0412949082126864
320,0.5153933297645855
321,0.0311131023496614
322,0.1261598314554353
323,-0.3348506578537065
324,0.2736148249486888
325,-0.2000537959787406
326,-0.5425688352517682
327,-0.4533414832925765
328,-0.3655325784105692
329,0.0264068010290087
330,-0.2887506834335795
331,-0.0769454371355661
332,-0.4689915822023738
333,0.4702060357356587
334,0.0444360889405395
335,0.0324619853066702
336,0.1960951487765522
337,-0.2735744207916598
338,0.1110162254483308
339,0.0204911034459213
340,0.1615329863996881
