,CHTR.US
121,0.0101037802572041
122,0.0007216933813657
123,0.0064948185780618
124,-0.2735285178806586
125,-0.0718896713615036
126,-0.4021388483803995
127,-0.0766565932040954
128,-0.1328511329249357
129,0.1017489014067804
130,-0.0449962011403881
131,-0.3055773414031482
132,0.0414170549515528
133,-0.1436866741719372
134,0.2143290024093435
135,0.0472778311295043
136,-0.0147765053564865
137,0.1814212808637449
138,0.0029498525073719
139,0.0044245829830498
140,0.194303378229197
141,-0.0338673577571001
142,-0.0412468328324749
143,0.0206191640401759
144,-0.0803319404217165
145,-0.1557471434054666
146,0.226830848995458
147,-0.1681961698486214
148,-0.1041243584536317
149,-0.0894348603781421
150,0.1574993942330936
151,0.2488340812052373
152,0.0385100671140867
153,-0.4286754199131797
154,0.2017973416563525
155,-0.0195108823628479
156,-0.1502573915855873
157,0.2272268907563098
158,-0.2594951639537565
159,-0.1911103307626959
160,-0.0986913259788041
161,0.3261016035574818
162,0.1197862689941972
163,-0.0996968676322006
164,-0.0883231413372491
165,-0.0209052654294309
166,0.0633500020217969
167,0.4127599884561495
168,0.2350215603824618
169,0.0943213213012383
170,0.1195980436699871
171,-0.1023308698123915
172,0.2089062124569427
173,-0.09219052708931
174,0.1893661568005066
175,-1.0732323232323224
176,1.1077671767945123
177,0.4953885853549776
178,-0.5493625472483743
179,0.0232183889640566
180,0.0640097294788771
181,0.396085369546855
182,-0.1756374842325476
183,-0.7374880369306861
184,0.5701536936043534
185,0.460073866530818
186,0.1113125337913121
187,-0.1433212306516302
188,0.201833987572109
189,-0.4157191302613235
190,-0.3450926385574923
191,-0.5506802994928063
192,0.0724054706355664
193,0.0884173297966328
194,-0.8021390374331441
195,0.0615404547515701
196,-0.3298399545048294
197,-0.3014993481095213
198,0.4170926854601711
199,-0.6188967634475266
200,0.3198796322913301
201,0.1788854156491198
202,-0.286546986358408
203,0.0807556773688293
204,0.1161042738594338
205,-0.001833258984495
206,-0.124204601076846
207,0.1563874499071416
208,-0.1578580256733395
209,0.066036466804442
210,0.1343380188806007
211,0.0500463844538802
212,-0.0830727130570836
213,-0.1357881215976389
214,-0.2563284929356397
215,-0.0386481728002815
216,-0.0423468761507197
217,-0.0233269082024842
218,0.0122758129657164
219,-0.1247549456424862
220,0.2629514306028859
221,-0.0355631859709318
222,0.1273744932577206
223,0.1662896619184463
224,-0.172700994561752
225,0.1993078978492281
226,0.0131394533987432
227,0.1370462166496487
228,0.2878409024829939
229,-0.1237209437724732
230,-0.0291192871598403
231,-0.2013275950105763
232,-0.1314732305894516
233,0.0087641138750615
234,-0.3981551411874309
235,0.1471664958266211
236,0.0921685953798656
237,0.1562956470932004
238,-0.1858545651442175
239,-0.0278127470211164
240,-0.070313186652216
241,0.1652554146740951
242,-0.0321839753061008
243,0.1446184410424061
244,0.2026386762883738
245,0.0655594405594306
246,0.1382119735215022
247,0.1496266596937698
248,0.0878103296878768
249,0.2612950390132963
