,LULU.US
302,0.0141694590713247
303,-0.3683536194746884
304,-0.4116814614691916
305,0.2854302299477202
306,0.2527191298784394
307,0.392989909718539
308,0.0
309,0.1654189553156687
310,0.0254425951447057
311,0.091086256566685
312,-0.0381436745073123
313,0.0338939965258706
314,-0.2346296355278144
315,-0.1371435861453045
316,0.0828553218610551
317,0.0063730801096232
318,-0.1958238436814916
319,-0.1140056470086889
320,0.1160018730577702
321,-0.0702890370401891
322,-0.1685513121399659
323,0.127849989345839
324,-0.290635551566443
325,-0.4904146232724042
326,-0.0787118241747343
327,0.1284141546526808
328,0.0916590284143047
329,0.1150958696277689
330,-0.2175850678970379
331,-0.0524576404553293
332,0.0222895278553636
333,0.1374813418178901
334,-0.2862545301749125
335,0.3363302055932956
336,-0.0065438174013132
337,-0.1625504692989367
338,0.0995285489785215
339,0.0104755918709311
340,0.0445014528415528
341,-0.0864598616642171
342,0.1438924207937658
343,0.0457629999607626
344,0.0718616076094998
345,0.1565435190983004
346,0.0273876129739082
347,-0.168521711867059
348,-0.0209062875659813
349,0.25024764089463
350,-1.0451033348952756
351,-0.2414427089162002
352,-0.0143907898944726
353,0.2233567326100793
354,-0.1918158567774827
355,0.0511247443762679
356,0.2835749561892761
357,-0.0829108071048336
358,-0.3568285462836874
359,-0.3951870712782593
360,0.0401451649163374
361,0.26904967810127
362,0.5447247706422134
363,-0.1659221442246454
364,0.2863506204263551
365,0.0604152755254531
366,-0.575650004797087
367,0.126163821326471
368,0.4657447146717634
369,-0.2006880733944939
370,0.1193146566124182
371,0.3756181057436294
372,0.2119247192788104
373,0.1736659299021191
374,-0.1707995951416888
375,-1.1314102564102475
376,-0.9022994081692122
377,-0.7559711948906753
378,0.5315528473730226
379,0.800591601826252
380,0.2437616267881169
381,0.121732444900068
382,0.4560094390764853
383,0.409679878048787
384,0.1458742944123738
385,-0.171537484116888
386,-0.2771318446787515
387,-0.5090606390472023
388,0.1917300440979174
389,0.1627053756579967
390,-0.1725735834584908
391,-0.3399070065736739
392,0.1804657796806536
393,0.0339818251631899
394,0.0559650777914617
395,0.2313189968732125
396,0.3560755388821786
397,-0.7527467247509603
398,0.2269095557686096
399,-0.388206230549578
400,-0.0914076782449673
401,0.7709750566893372
402,-0.1544331395348852
403,0.2943707259635006
404,-0.3168834118916421
405,0.2164649349471835
406,-0.186211281678625
407,0.1790774113113371
408,-0.4760169452922094
409,0.1966244246178346
410,-0.2107061503416882
411,0.0842114846257151
412,-0.1002437746337679
413,0.0182228195257475
414,-0.1402844466748044
415,0.2000574584689577
416,-0.0350245946438307
417,-0.0866116606646295
418,-0.033060112404378
419,-0.1472770864253998
420,0.2282482431446439
421,-0.2562410067834637
422,-0.2886135098609595
423,-0.0515647022424837
424,-0.3161137549716072
425,0.5618613621164351
426,0.0404210002642897
427,-0.5927061178531158
428,-0.2351318305796783
429,0.1721331997996853
430,0.2948839966923043
431,0.634088865461541
432,-0.3016731977358868
433,0.3718163227365645
434,-0.0154947472806753
435,-0.3389303482586986
436,-0.0404392322767273
437,-0.0809439307618218
438,-0.0093405566971706
439,0.1523300276681098
440,0.2354006618511231
441,-0.392004234517532
442,-0.3170339366869308
443,0.3718686790104403
444,-0.3528823933545673
445,-0.0406135774313637
446,0.1590767311291477
447,0.5120248254460752
448,-0.1554001554001554
449,0.0869484209545609
450,-0.5380862022228283
451,-0.2908952505233377
452,-0.170204654076061
453,0.1441255251743863
454,-0.3794237672139612
455,-0.1827844603674448
456,0.3491409638928543
457,-0.078490195543678
458,-0.1256109882308064
459,-0.1504129519225385
460,-0.0355647963231615
461,0.287791371714611
462,0.1538880566525937
463,0.265560093837027
464,0.247236071970531
465,0.3577551874502149
466,-0.0175533351336747
467,-0.029714470947355
468,0.1524725337709209
469,0.0309272791005008
470,0.040429087380728
471,0.1856285814209996
472,0.126282981353116
473,-0.1830417227456276
474,-0.0350055201012455
475,-0.2511134274613859
476,-0.1328399278868968
477,0.7089292010573561
478,-0.4471231191445091
479,0.1264132887539355
480,0.1827873298898639
481,-0.8059914407988554
482,-0.1074620045055522
483,-0.0210684187973171
484,0.2659195593333027
485,0.2297761459196898
486,0.1230274209194025
487,0.0472958592475201
488,0.0779773156899773
489,0.038973462615006
490,-0.0910208520497401
491,-0.1989861183493703
492,0.0852071005917192
493,0.0260287262487905
494,-0.0686683083917457
495,-0.0094723879890168
496,0.0236753634168338
497,-0.0841182394407957
498,-0.1661425265531332
499,0.0272873955960537
500,0.2681537008257901
501,0.5424899987877209
502,0.2021303076597027
503,0.0911673163508846
504,-0.0816548720740282
505,-0.1757149781871185
506,-0.2307785740313345
507,0.0227690159231283
508,-0.0653138100735084
509,-0.2100520563791889
510,-0.0845488822028508
511,-0.0785168696924862
512,0.5775177347965893
513,-0.2400705017169661
514,-0.012156946175127
515,0.1183898973954353
516,-0.1908193797549041
517,0.0842981736408667
518,0.0607404257903813
519,0.0576701268742784
