,IDXX.US
322,0.0855631611698923
323,0.4645401052957528
324,0.3183545891296335
325,0.0224835311714351
326,-0.9720280843816888
327,0.297948003267819
328,-0.2899761432369611
329,-0.3271897942572689
330,-0.4769308004987832
331,-0.0356408054822083
332,0.2287108948818807
333,-0.892842582475809
334,-0.7243758212877928
335,0.4610705993917874
336,-0.3099732668558191
337,-0.3654260835212634
338,0.0016460363444809
339,0.0963786892498283
340,0.0947089278949398
341,0.1135216952573201
342,-0.0039418809078904
343,0.316709366109738
344,0.1999984313848483
345,-0.2445160783080351
346,-0.1448750452734631
347,-0.0062993118001801
348,0.0251908997874467
349,-0.2019341505355944
350,-0.0323514790938494
351,-0.1224541389498929
352,0.0331701153056446
353,-0.1217718596302534
354,-0.275136973810451
355,0.0166481687014457
356,-0.3340757238307386
357,-0.004772738119855
358,0.0302182072650838
359,-0.0159068494893937
360,0.0651755766449014
361,0.1492039808891828
362,0.2406853197789466
363,0.0585535686026277
364,0.6537458069325369
365,0.2483566818357513
366,0.2344213649851692
367,0.4151829907950453
368,-0.1257470856263549
369,-0.0992166328540438
370,-0.0778048653975794
371,-0.0481881264456336
372,-0.0482113585960919
373,0.1066927471159657
374,-0.293523169752998
375,-0.1220165466341363
376,-0.0401923277312148
377,0.0446382073296037
378,0.1960231069662359
379,-0.1598952871793626
380,0.020075842070041
381,0.0594486141041803
382,0.0846425707582097
383,0.1030981360747127
384,0.0200222469410442
385,-0.0838670892182629
386,-0.1307956986050929
387,0.2335478513597742
388,0.1051711623635421
389,0.9346936281996404
390,0.0020363280931805
391,0.322731239978085
392,0.2742776175294694
393,0.0050602165772764
394,-0.2007869224840808
395,0.0749853069331018
396,0.0478460951954978
397,-0.1402099497946104
398,-0.2328040176483823
399,0.1867072552004091
400,0.0790850468426788
401,-0.1779939942770488
402,-0.25381987403708
403,-0.2240161659046309
404,0.0652741514360299
405,-0.27613573605515
406,-0.215234503115778
407,-0.3352460870817127
408,0.0452274736344442
409,-0.3207012116524891
410,0.0381396115944423
411,0.1831464142401453
412,-0.0947496343899935
413,0.1254885825961764
414,0.3276732872679963
415,-0.1761533387653731
416,0.3025004641950745
417,0.126719208777631
418,0.0710358885662985
419,0.118766677463652
420,0.174912928467382
421,0.0706235334846245
422,0.008461798824589
423,-0.1969779044991785
424,-0.2553434819565711
425,-0.2626461404963061
426,0.102937989535922
427,-0.1379566908995065
