,EBAY.US
151,0.540585495675309
152,0.1162983884366178
153,0.2568564089816905
154,-0.3075132978723442
155,-0.2499583402766182
156,0.0333166749958406
157,-0.3342804613070413
158,0.0
159,0.5898479687629874
160,0.3642082609055523
161,-0.0248385494287143
162,0.1488095238095177
163,0.1650709805216266
164,-0.1156833581226248
165,0.164989275697082
166,-0.2729754322110996
167,0.5184331797234986
168,-0.0493989790877673
169,-0.0659087164277461
170,0.0
171,-0.2063898291092215
172,-0.0908940670963472
173,-0.0413325617921775
174,-0.3234367225078791
175,0.6841505131128702
176,-0.2287146124494462
177,0.758630467143971
178,0.2968407661318933
179,0.4853003235335474
180,0.6290187307799872
181,0.1953125000000007
182,0.5549389567147496
183,0.373185901865924
184,0.5652730228844335
185,-0.0980877699821267
186,0.2607025246981308
187,-0.0700270496642847
188,0.0288263555250525
189,-0.385834366818246
190,0.4526748971193587
191,0.3553854565336125
192,0.5031959744322108
193,-0.1498229365295552
194,-0.19091131152932
195,0.0612342311626299
196,0.2245203429037856
197,0.2036936447582912
198,-0.067944014132351
199,0.5674908796108656
200,-0.2557929581703306
201,0.0751766651631504
202,0.2250225022502122
203,-0.0900900900900935
204,-0.3163126976954266
205,-0.4083484573502662
206,0.586377988272441
207,0.0150330727600584
208,0.299760191846527
209,-0.1651403693139159
210,-0.1804782674086397
211,0.0
212,-0.0225648740127876
213,0.2775277527752809
214,-0.0600420294205824
215,0.0899820035992835
216,-0.105089325927049
217,-0.0150150150150226
218,0.0
219,-0.0300390507659898
220,-0.1353587005564798
221,0.4715215926951754
222,0.1270743010913346
223,0.0373608309048878
224,-0.0523325358851836
225,0.6328203653099349
226,0.0431282346175979
227,0.1578871824314618
228,-0.1725377426312071
229,0.0861945122827212
230,0.0861202813262556
231,0.0286985220261099
232,0.314690316120725
233,-0.3588860178007464
234,-0.1293661060802119
235,-0.1727861771058176
236,0.1724881414402621
237,-0.0143760782058523
238,-0.1655986752106114
239,0.1366120218579422
240,-0.1007629192457282
241,-0.0576119832925133
242,-0.0864927201960534
243,0.0648274868544287
244,-0.0216138328530267
245,0.2013229795800986
246,-0.0863557858376544
247,-0.093639703234168
248,-0.0144081838484332
249,0.0647948164146892
250,-0.7944455571132905
251,0.2596883739512683
252,0.0819676493913616
253,-0.1287056158816802
254,-0.4281795678062586
255,-0.2145491116325801
256,0.2341137123745781
257,-0.1876424071840243
258,-0.2014504431909826
259,-0.0268672756582429
260,-0.1345170836696183
261,-0.2292031818794684
262,0.0404312668463627
263,-0.2160994057266296
264,-0.0405350628293489
265,-0.0405515004055165
266,-0.027041644131977
267,-0.1930436549598649
268,0.0169307869429809
269,0.094722598105558
270,0.0405789260110931
271,-0.1490111081008042
272,-0.3261755911932521
273,0.2237439826428995
274,0.0067796610169429
275,0.1142950444934284
276,-0.3358453473132344
277,0.5863192182410415
278,0.1950585175552739
279,-0.2525869795486045
280,0.3881235177528777
281,-0.2507729861676154
282,-0.2120026092628874
283,-0.016310552927741
284,0.0163078930202185
285,0.1351725485725427
286,0.0276782806903337
287,0.1300813008130053
288,-0.5230467473030407
289,-0.0490596892886363
290,-0.4599967143091854
291,0.0164257555847653
292,-0.0821962847279373
293,0.0410812587297651
294,0.0902971597438839
295,-0.2633744855967022
296,-0.2640699785443086
297,0.148319050758069
298,0.0494152528413789
299,0.0493908462298339
300,-0.1754945756222071
301,-0.4326229770870103
302,-0.2554175836532729
303,0.1827948368475977
304,-0.0376955960315336
305,-0.0907120494501194
306,0.0641797031688828
307,0.0240615976900875
308,-0.0481463649494481
309,0.0320872773945066
310,-0.8412878175052516
311,0.0080886516217672
312,0.1131130322372146
313,0.1693821584126536
314,0.0322528624415352
315,0.0
316,-0.1130125928317731
317,-0.1698067437535325
318,0.1856335754640871
319,0.0645265365381499
320,0.0161290322580613
321,0.1224305689799608
322,-0.1791333817477561
323,-0.0807558749899124
324,0.6339271385010481
325,0.0613580583583333
326,-0.5621829151240869
327,-0.4822265086800889
328,0.0963523743978078
329,-0.2068965517241457
330,0.9562841530054684
331,-0.1642036124794807
332,0.3137361887873468
333,-0.3490520840462602
334,-0.1713972302207596
335,-0.1785714285714418
336,-0.0618514191464527
337,-0.4903314917126929
338,0.1448175987862765
339,-0.2419466334854101
340,-0.1107266435986135
341,0.1382170006910771
342,0.1035554021401489
343,-0.2699709262079374
344,0.2348066298342565
345,0.1929969671905163
346,0.1788908765652889
347,0.0962331591971311
348,-0.3587196467991044
349,-0.513104978505068
350,-0.1462938881664439
351,-0.2280873248615193
352,-0.1305057096248049
353,0.2522170694003761
354,-0.5481020942408391
355,0.5532053368044312
356,-0.0081360344967904
357,-0.0895765472312699
358,0.1626016260162625
359,-0.1710236989982846
360,-0.4335023719941118
361,0.7146337502030172
362,0.0
363,-0.0650089387290738
364,0.2027410591192928
365,-0.0365067131789248
