,VRTX.US
330,-0.0439512141522822
331,0.1207199297629493
332,0.0740233036326201
333,-0.0521176212420445
334,-0.1951353579771827
335,-0.1513900357831024
336,-0.204104148278908
337,0.0220604456209971
338,-0.1104240282685449
339,-0.1631411585787451
340,0.0580334936163257
341,0.0717994035126452
342,0.0193268726359074
343,0.0965410713300664
344,0.2915291529152921
345,-0.2481389578163866
346,-0.027578599007161
347,-0.1380834023750345
348,0.0
349,0.1929437706725437
350,0.3381075369805113
351,-0.5785807061046142
352,0.3553275602409617
353,0.0940379913485128
354,0.0469968982047158
355,-0.1694755672723913
356,0.1973313286976207
357,-0.3347004195540508
358,-0.0707613925842087
359,-0.0519186293481782
360,0.0448187200717094
361,0.3970678069639579
362,-0.1647368916501903
363,-0.1248851292443341
364,-0.0565837557467898
365,-0.0755019701295314
366,0.0165133286152378
367,0.4368658399098116
368,-0.3204524033930286
369,-0.345202629214541
370,0.118080483657661
371,-0.0708985205842065
372,-0.1325192862889872
373,-0.4516497099933386
374,-0.2430539007768149
375,-0.2111790079079793
376,0.3403188250044738
377,-0.2558922558922528
378,0.1501669767129156
379,-0.3847365342213104
380,-0.148715637674621
381,-0.2801879971077388
382,0.2951314574087013
383,-0.3549626950033898
384,-0.0633455499751209
385,0.0226182936759302
386,0.121989789002851
387,-0.1561191936104255
388,0.0520126639529537
389,-0.036195819382854
390,-0.0701786158965889
391,0.2776774426584706
392,0.0857129967970396
393,0.0112767540991026
394,0.0586047560013503
395,0.1665203987488487
396,-0.0247591608895322
397,-0.0675706112887865
398,0.1843525179856099
399,-0.0224870699347926
400,0.4600183823529434
401,0.1376778338687523
402,-0.0757801915172076
403,-0.2094072164948511
404,-0.5856074809619771
405,0.5903419178657164
406,-0.6101490878785097
407,-0.4231180545868771
408,-0.1396843134515914
409,-0.2193187120858604
410,-0.3277153558052514
411,0.0841987089531325
412,-0.1405283867341256
413,-0.1117511256006592
414,-0.2075657894736829
415,0.1468704396259206
416,0.1789269069533267
417,-0.0117112474820844
418,-0.2253626930841775
419,-0.1363422661025014
420,-0.1247440393532075
421,-0.1508615609457101
422,-0.0589650455210151
423,0.2353051908325097
424,0.0634920634920592
425,-0.1297353399065932
426,0.2541056891440365
427,-0.0141189759036149
428,-0.0847856806405927
429,0.0517866390471188
430,0.3378219865809594
431,0.2340495248794645
432,0.0093611046103488
433,0.1472203397751958
434,-0.0982433159458295
435,0.0490975404470299
436,0.0373936617743218
437,0.1237132653299478
438,-0.0957943925233703
439,-0.290561439685071
440,-0.0234378662166516
441,-0.0750574658723202
442,0.0798255181979334
443,0.0022030045231833
444,0.0725995316159255
445,0.0702082845775828
446,0.0048675374566387
447,0.0384107044691612
448,0.213585434173661
449,-0.2245929253228475
450,0.0046327395705408
451,0.1849668215763823
452,-0.0254394079555998
453,0.1155001155001155
454,-0.1295276865429991
455,0.055481067085859
456,0.3134073835092441
457,0.1656467123728954
458,0.4443426477324777
459,0.0915331807780268
460,-0.0595319869945484
461,0.0765087133906759
462,0.0447320877261088
463,0.0754113345521117
464,0.337658563559565
465,0.2764933000227113
466,-0.2550207204335362
467,-0.2053481792461518
468,0.0775158451507071
469,-0.2651671009920964
470,-0.275065328015401
471,0.1030432094524945
472,-0.2965881567760204
473,-0.0962298850574773
474,-0.2119424990785145
475,-0.5989705194197479
476,-0.3710487999624217
477,-0.122266635316243
478,-0.1742980968532149
479,0.1857293993182133
480,-0.1294726930320177
481,-0.1272804412388677
482,0.0282765446062501
483,-0.0105105536799434
484,-0.0791037735849039
485,-0.0141529461716285
486,-0.113351910451995
487,0.014166981488478
488,-0.1750319315010192
489,-0.141645072504265
490,-0.0775147858861452
491,-0.1673987890300465
492,-0.1117238756299254
493,-0.0570830558462584
494,0.054674685620562
495,0.045145654136767
496,0.1352537788007482
497,-0.121163166397413
498,-0.0522937960542018
499,0.0142599106378938
500,0.4541543168563041
501,-0.2396013034310906
502,-0.3703525563945987
503,0.2399117124898037
504,0.007196833393314
505,-0.1706156581919633
506,0.2072401189244711
507,-0.5410840003857738
508,0.3673407813606509
509,0.0482124420754436
510,0.1246972494664352
