,TMUS.US
97,0.0487369019576007
98,-0.0894308943089426
99,0.0406338886631427
100,-0.0349552572707014
101,-0.0069915402363077
102,0.020970222284357
103,0.1047412890161341
104,0.1533849264449549
105,0.0766336909572141
106,0.153032832498608
107,0.0695120255804412
108,-0.0208579573107148
109,-0.0173846528284869
110,0.0660180681028484
111,-0.1461479574083151
112,-0.0766123415517378
113,-0.0871353386079258
114,0.0069703411981953
115,0.0034850491391896
116,-0.0418380866048408
117,-0.0767620376831718
118,0.0
119,-0.0488724429239835
120,0.0139616055846493
121,-0.1048218029350144
122,-0.0559362326947168
123,0.146617328771891
124,-0.1608391608391536
125,-0.2272549173262332
126,-0.5317682278331407
127,-0.2250296091590972
128,-0.651672891997145
129,-0.1273175777830799
130,0.2064639085206107
131,0.4112297350731483
132,0.4644206549118414
133,-0.0132259303812244
134,-0.073426297959502
135,0.0629871663648518
136,0.1729151929576348
137,-0.3628618758381383
138,0.4749754661432809
139,0.0823658613115814
140,0.0248604637848924
141,-0.0209436404282898
142,-0.2161779734297663
143,-0.0314539592671164
144,0.2196939976461366
145,-0.4809208451592553
146,-0.0670584986785594
147,-0.0039447731755388
148,-0.3086419753086424
149,-0.047505938242282
150,-0.265803767479486
151,0.1538520712335221
152,0.096065170611743
153,0.4742236499923546
154,-0.1493737791566292
155,0.0114889705882466
156,0.1605872906630021
157,0.0397486661264867
158,0.0366776190112339
159,-0.1185785870022577
160,0.0458803288090248
161,-0.1605325760117111
162,-0.0577822055329924
163,0.0612698169564096
164,0.0382789771857383
165,0.08184996213483
166,0.1931592609558604
167,0.2513136851725021
168,0.1444866920152074
169,0.1291106554264354
170,-0.0417885499373007
171,-0.0798418371226661
172,0.1518487586364111
173,0.3178687656096174
174,0.1284958427815691
175,0.1083784910379405
176,0.687199867527735
177,-0.0828637719588948
178,-0.0290107339715784
179,-0.1702092328130175
180,0.3722392257424128
181,0.0086021220773497
182,0.1936682214058697
183,-0.1529557668458059
184,0.4280892401415955
185,-0.2227722772277195
186,-0.0743126083725567
187,0.0660120471986123
188,-0.1570247933884278
189,0.0041320606586467
190,0.1279300099042598
191,0.0494967827091257
192,-0.2083195555849442
193,-0.0314231373521844
194,-0.0082699305325877
195,0.0082692466716324
196,0.0495908752789388
197,0.0165275597058178
198,-0.2153209109730891
199,0.2807828887604289
200,0.1362862010221557
201,-0.0298214970391605
202,0.2295235261614402
203,0.5579272158586555
204,-0.1227253491324553
205,-0.1377264540735319
206,0.2557274494885528
207,-0.2712554039162561
208,0.1523487092678855
209,0.0930153898190423
210,-0.1694053870913119
211,0.1268928178665015
212,-0.1609896627690202
213,-0.0169491525423695
214,0.152310035539014
215,0.362532670095264
216,-0.0421727395411581
217,0.1599999999999981
218,0.1681378730559082
219,0.0504159314343351
220,0.0042011511154018
221,0.2806870548805981
222,-0.1006458106181249
223,-0.0335598624045693
224,0.1591556374602092
225,0.2142989100314
226,-0.0517540941185118
227,0.4746136865342238
228,0.0882223202470258
229,0.0918138749127768
230,-0.1620013419184766
231,0.1873990306946703
232,0.2051883335776059
233,-0.1441324021969265
234,0.1439249596951569
235,-0.0036642116448612
236,-0.0990316901408592
237,0.1099142668718441
238,-0.0219876868953394
239,0.0
240,0.0219828533743688
241,-0.161467889908256
242,0.0806688178351522
243,0.0366542042372135
244,-0.0513422326536549
245,0.0146670577882151
246,0.0329899930354367
247,0.0329791132282795
248,-0.1173967275662166
249,-0.0660792951541875
250,0.2484300600372543
251,-0.0276109615517305
252,0.0207039337474127
253,-0.0345184673800561
254,-0.0172622130157125
255,0.0877530661832081
256,0.0122784024280844
257,0.0068975031038701
258,-0.1173952075132846
259,0.0621118012422383
260,-0.069060773480659
261,0.0
262,0.0
263,-0.0345423143350683
264,0.0207210940737678
265,-0.0622019489944041
266,-0.2216526979289279
267,-0.2012770682953858
268,0.3527214883463523
269,-0.0553594906926942
270,0.0138379575174775
271,0.0311257132975877
272,-0.0449795861878055
273,0.0484161018121604
274,0.1933589718631811
275,0.4710578842315396
276,0.2151051625238974
277,-0.2716088832081715
278,0.3185220576524856
279,-0.0199115925291636
280,0.0
281,-0.1715334290729243
282,-0.2760110404416167
283,0.0279932816124102
284,0.0399744163735186
285,-0.1922460749759651
286,0.0200216233532146
287,-0.1242883489696104
288,0.0921289805728092
289,-0.0521000320615563
290,-0.0360822675700611
291,-0.0360952915697454
292,-0.0320950012035675
293,0.2321485750880613
294,-0.0400416433090391
295,0.0240192153722987
296,0.2953620180410237
297,0.1753127739262083
298,0.0919545720529845
299,-0.2598180076628394
300,0.0551116009919978
301,-0.2624671916010467
