,FAST.US
575,0.0097943192948001
576,0.6809338521400806
577,0.3586313850925701
578,-0.3208868144690765
579,0.2908667830133771
580,0.3478260869565212
581,0.0
582,0.0579374275782177
583,0.0773831003799594
584,0.0673030566001357
585,-0.387184202884514
586,-0.0871924045727605
587,0.2994301168743381
588,0.019314340898113
589,0.1157519050834422
590,0.0963669654042539
591,-0.0868055555555451
592,0.0096441315459455
593,0.12521672124831
594,-0.0385430718828214
595,-0.0867971839135918
596,-0.0096450617283862
597,-0.0965437343116514
598,0.1734772552043242
599,-0.3675759334494193
600,0.1904399162064395
601,-0.3823360734085179
602,0.2764274139738748
603,0.0476371951219485
604,0.1522070015220802
605,0.0570450656018275
606,0.0380155863904125
607,0.2654028436018968
608,0.1325255585005685
609,0.0378501135503465
610,0.0001892502095874
611,0.2075542965061439
612,0.282485875706212
613,-0.2454219369454456
614,-0.0944822373393748
615,-0.0378071833648452
616,0.0738584524481995
617,-0.1875473126419378
618,0.0189214758751144
619,0.2075154975745727
620,0.0096290002832169
621,-0.1577108105654983
622,0.0914415265444944
623,0.0283312871848155
624,0.1037735849056598
625,0.110122989593187
626,1.0225485055060293
627,-0.804228808759679
628,1.120029867463135
629,0.2792256142963488
630,0.6840451100018572
631,-0.5110099414661445
632,-0.2701695546860369
633,-0.093248787765767
634,0.046602665672487
635,-0.5152707513584517
636,-0.1125492402926189
637,0.0187546886721643
638,0.1498127340823938
639,0.1495886312640207
640,0.2331872026863165
641,0.3717126661091029
642,0.0377146063282487
643,-0.0470260223048353
644,0.0557310050157925
645,-0.288775034932466
646,0.3434831043446013
647,0.0556689552792747
648,-0.1952217160918546
649,0.2133580705009313
650,0.2297090352220607
651,0.1815228814368947
652,-0.2394177360658877
653,0.1911680367042657
654,-0.2139916434060094
655,-0.0206946107784493
656,-0.1295088257866511
657,-0.2789802789802713
658,0.0192363181686986
659,-0.0673724735322359
660,-0.0674178946354689
661,0.1442585112521693
662,-0.0766118321007418
663,0.018860662047726
664,-0.19669096378573
665,0.0134965776535332
666,0.009639483323685
667,0.1059220028887813
668,0.0288794763188305
669,-0.0385208012326579
670,0.0442793061625168
671,-0.044298921417558
672,-0.2800579430227004
673,0.1639028152718875
674,0.1155624036980012
675,0.0878220140515255
676,0.4855311711011846
677,0.2421776615325002
678,0.0290528762347483
679,-0.0290613193839011
680,0.2030162412992979
681,0.0772797527047896
682,0.0096590360282093
683,0.125409994211842
684,0.0963762528912958
685,0.0770416024653296
686,-0.0288989500048175
687,-0.0192696791598381
688,0.057775637939324
689,0.3263269027737819
690,0.2298190175237087
691,-0.259216589861761
692,-0.1153402537485489
693,-0.0673271135904658
694,-0.2603664416586268
695,0.067456875782975
696,-0.2318168646769003
697,0.0
698,-0.2032520325203329
699,-0.1356852103120627
700,0.1361073303519352
701,0.5414813382324524
702,0.3084634663581966
703,-0.1353284465800059
704,0.0194943061185125
705,-0.4295539307286177
706,0.0612165827198709
707,0.1257618264486888
708,-0.2035672741372702
709,-0.2819092057937125
710,-0.2436172286104073
711,0.2430251774083794
712,-0.087565674255695
713,0.3683598293912325
714,-0.0096946194861763
715,0.1836659254227229
716,0.0292154396827007
717,-0.1550237380098932
718,-0.223344338706535
719,-0.0388575869438568
720,-0.019432568985616
721,0.029140359397767
722,0.1745369921458281
723,-0.2527461845047058
724,0.0680007771517322
725,0.3869303525365428
726,-0.0752931053027937
727,0.096711798839462
728,0.2358490566037723
729,0.211174037788815
730,-0.3084021890760867
731,0.7983819459229294
732,0.0
733,0.2336448598130829
734,-0.2128565346956182
735,-0.2239999999999933
736,-0.0960922485586199
737,0.0640204865557002
738,0.1065870816456985
739,0.1489995742869312
740,-0.213310580204766
741,-0.0106666666666721
742,0.3931151721207017
743,-0.2129471890971069
744,-0.3978714625036682
745,-0.0939439332334704
