,XEL.US
211,0.2778549597110347
212,0.0832870627429237
213,0.069357747260365
214,0.0277354042435113
215,-0.1110648340969017
216,0.0832292967124459
217,-0.2085070892410421
218,-0.0695507024620909
219,0.0278125434570936
220,0.0555941626129343
221,-0.2298530333635248
222,-0.0487804878048733
223,-0.1535455053042984
224,-0.0279251605696677
225,0.043471960585424
226,-0.1513662875495193
227,-0.2410532441082355
228,-0.0873616773441876
229,0.0291120815138224
230,0.3770301624129799
231,-0.6054416806477381
232,0.0947383763299777
233,0.1891184172243169
234,0.0145454545454619
235,-0.131080687445388
236,-0.218946139249732
237,0.1311953352769522
238,0.0
239,0.0222982337758641
240,0.1087494540689953
241,0.1743932567940772
242,-0.2695810564663056
243,-0.1532399299474664
244,0.0947729095283192
245,-0.5129332454019115
246,0.0659050966608109
247,-0.3011384502387048
248,-0.0367376928728959
249,0.1760305119554122
250,-0.6058857472590908
251,-0.5366207396664109
252,-0.0435287289611159
253,0.1159420289855047
254,-0.203311065930875
255,0.1160429358862754
256,-0.1598140345779448
257,0.0435666569851889
258,-0.2183088342308335
259,0.0
260,0.029099374363466
261,0.0872219799389479
262,-0.1455815984859638
263,-0.138494059333769
264,0.065559440559443
265,0.1164144353899858
266,0.0290951411114286
267,0.1089878660175875
268,-0.0508868857225888
269,-0.0727484359086238
270,-0.0946624918080502
271,0.188967221455041
272,-0.0509016870273365
273,-0.087336244541488
274,0.1308329699084218
275,0.2340823970037431
276,0.0467945718296695
277,-0.2345215759849883
278,0.1171234481143058
279,0.2570093457944022
280,0.0155738981466919
281,0.0622568093385311
282,0.0622180743506085
283,0.0621793875330204
284,0.0776638707673146
285,0.1550868486352489
286,0.0387566855282404
287,0.0387416705408425
288,0.0464684014869906
289,-0.093023255813957
290,-0.0310173697270409
291,0.0310077519379783
292,0.1084094780857878
293,-0.357475909232188
294,0.2248584942234566
295,0.100697134004644
296,0.3011815584215111
297,0.146514497223934
298,0.2461538461538409
299,-0.0153869826127175
300,-0.1185770750988187
301,-0.901332057110948
302,-0.4728321846449779
303,1.3908645487592897
304,1.1715089034676551
305,0.0858369098712552
306,0.0701809107922671
307,0.18679950186798
308,0.2716758518978674
309,0.1085523765216611
310,-0.1009003415088446
311,-0.1788352383173857
312,-0.1479520323937285
313,0.1865381625991054
314,0.0466128029832211
315,-0.0621890547263778
316,-0.1869158878504522
317,-0.2029030747619941
318,-0.0702850449043147
319,0.272585669781927
320,-0.1560062402496233
321,-0.0780640124902375
322,-0.2582765907490008
323,0.3975678203928945
324,0.3573093055771383
325,0.0597728631201527
326,-0.0373720008969365
327,0.0074738415545734
328,-0.2397362900809272
329,-0.3759963904346518
330,-0.2110022607385088
331,-0.3326780583698758
332,0.6758786422349097
333,-0.1052473312283764
334,0.2699055330634167
335,0.0749175906502804
336,0.0898203592814405
337,0.1121495327102846
338,-0.1122754491018006
339,0.0747943156320077
340,-0.1048218029350002
341,0.00913363708916
342,-0.4453301248308163
343,-0.1657125640253079
344,-0.0904704463208719
345,-0.060350030175003
346,-0.135972201238863
347,0.2712068705740648
348,-0.1433421350433781
349,0.0979801025022576
350,0.2677279305354386
351,0.4466215242760442
352,0.0575953923686195
353,0.1868352974992748
354,-0.1007049345417827
355,-0.1296456352636177
356,-0.0432338953739748
357,0.1007774258565983
358,0.0143947027493955
359,0.0
360,0.1293847038527938
361,0.0861821315713907
362,0.093276888856996
363,0.136142161077671
364,0.1431024613623273
365,-0.0859352621025526
366,0.1287369475039385
367,-0.128902893153829
368,-0.0143245953301688
369,-0.1434514416870012
370,-0.0286985220261099
371,-0.1724881414402825
372,0.1936733376371926
373,-0.1796493245185398
374,0.2437275985663106
375,-0.5282094465283609
376,0.3737034777303303
377,-0.5984348626668721
378,-0.6020376659462806
379,0.1695176452457997
380,-0.2626699629171843
381,0.108041364408099
382,0.0925212027756176
383,-0.3481624758220414
384,-0.007737542556477
385,0.1543574696499701
386,0.1328580686973456
387,-0.0246951690075492
388,0.0925212027756176
389,-0.2628324056895292
390,0.0309119010819103
391,-0.0773395204949685
392,0.2314814814814683
393,-0.0154344806297127
394,-0.0772320049428658
395,0.1542257865515245
396,0.0770534751117231
