,ENPH.US
182,0.2717857055410038
183,-0.383433697923068
184,0.2231704924465294
185,-0.2729620066396197
186,0.0737191301142674
187,0.2280082377169772
188,-0.0490580847723677
189,0.1811860339846259
190,0.4897302828740567
191,0.4431218599668923
192,0.956947914664619
193,-0.2166899407714244
194,-0.4206963249516325
195,0.2026831386931703
196,-0.3389502227387123
197,-0.9976525821596344
198,0.158687532042683
199,-0.5967876614764986
200,0.3153181808713757
201,0.6926298016984502
202,0.3681835904862705
203,-0.6052115438498249
204,0.3879538920985914
205,-0.4711028855051756
206,0.1511969760604686
207,0.7089241034195195
208,0.3987373317826875
209,-0.1553053413944207
210,0.0997395689034226
211,0.088578862868846
212,-0.5846976277981862
213,0.1501251042535345
214,-0.0779032886316767
215,-0.427505658163131
216,0.1645837982593259
217,-0.0334858801205504
218,0.3836103852782552
219,-0.0349262988356472
220,-0.140458355378568
221,0.1109847041381442
222,-0.0247621167436421
223,-0.1448871551964443
224,0.2889370450630718
225,1.590308875875537
226,0.6955530216647656
227,-0.337509295806878
228,0.3335328829214105
229,-0.4150684147249228
230,0.0057247538355961
231,0.5409098673347313
232,-0.4353552122249468
233,-0.1080261048774805
234,0.2512562814070339
235,0.0
236,0.0057100439673333
237,0.0234057007152992
238,-0.3385267499140679
239,-0.0515788870422393
240,0.0572770490864278
241,0.0114540977034592
242,-0.149125322626911
243,-0.0688744762670059
244,-0.0229634307365474
245,0.0413744583589926
246,0.153497965965735
247,0.1201213918515488
248,-0.436774341878386
249,-0.6188190388063115
250,-0.8310520140790025
251,-0.5768978628556415
252,0.717833365550901
253,1.1243323251174395
254,-0.4849974133471288
255,-1.0124763211182852
256,0.9190343667076484
257,-0.4528211112808603
258,0.3992099980573735
259,-0.4226817531538598
260,-0.2085233937182282
261,0.6538486437495895
262,-0.3755880747537253
263,-0.7146596858638642
264,0.2005133664691934
265,0.0607049608355021
266,0.1726778092724821
267,0.5089141004862215
268,0.1747346621796597
269,0.3546785322757354
270,0.0193423597678924
271,0.1480718470353558
272,0.0353959519902039
273,0.2727681150118807
274,-0.154271389085305
275,1.1959028261918752
276,0.6447144075021355
277,-0.3904787376303922
278,0.4141110993919908
279,-0.0305856023871696
280,-1.0390868956605892
281,0.5088649633081519
282,0.0963236474554539
283,-0.5867154699106488
284,-0.1806465528863048
285,-0.3056036347901329
286,0.1026638569190024
287,-0.2057501759705427
288,-0.3368283805074181
289,-0.0081497378500917
290,0.0081490737219461
291,0.2580924136653019
292,-0.4825765000544515
293,0.1657924061642197
294,0.1164624727507604
295,-0.1519847743338687
