,ALGN.US
188,-0.6070667525645398
189,0.1459781774995655
190,-0.2372606725967966
191,-0.2669053894995132
192,0.1274876651544723
193,-0.4123025768911085
194,0.1974481076507084
195,-0.689148212808968
196,-0.0334244148638448
197,-0.0108641149924878
198,-0.2664610950042597
199,0.8836768931780703
200,-0.2855113636363623
201,0.0652982426255623
202,0.8263764729069593
203,-0.5193445221181435
204,-0.144549628705853
205,0.085664323287247
206,-0.1574166648939584
207,0.1875548509469815
208,0.2823024588544166
209,-0.3043989183219961
210,-0.2384230021429615
211,0.1275636755347012
212,-0.043248608600085
213,0.0927919759732493
214,0.066539251079497
215,-0.0226567920814466
216,0.1131557730660906
217,0.033935212024378
218,0.1235692446741655
219,-0.0458899528412891
220,-0.0721365249480473
221,0.0508740443452105
222,-0.1712862036748728
223,0.2224591981581855
224,0.1431573602628998
225,0.1750212525806575
226,-0.467229351477047
227,-0.5789359705478945
228,0.5891597476874968
229,0.183371893959468
230,0.1609073745637622
231,-0.190590831577881
232,0.0494145450639042
233,-0.0394039260639027
234,0.0028656579550638
235,0.3448349718349186
236,0.0492378831991656
237,0.29584817898481
238,0.4068562844550268
239,0.3727392096234467
240,0.148732950340121
241,0.3126976319302803
242,0.0449520277578841
243,-0.3736499252700117
244,0.1182998619834828
245,0.0633347876877236
246,-0.0563293010941934
247,0.0309715202793106
248,0.2121263205214642
249,-0.2323321927934745
250,0.9891303446617504
251,-0.3887002263949798
252,0.1794616151545243
253,0.5322138111136867
254,0.2061787652366107
255,0.3943023313125302
256,-0.1480823337775766
257,0.1191464186229998
258,0.0558443584879371
259,0.0082117312792981
260,-0.0649147890680178
261,0.9844761935756752
262,-0.1238228681286439
263,0.1293576862059265
264,0.257238379641639
265,0.132905442639964
266,0.0275459774771059
267,0.217463358636695
268,-0.1797905682839741
269,-0.1858042321173539
270,0.2056646855921332
271,0.2777643202041289
272,-0.0549370647449517
273,-0.0946134998099702
274,-0.4540949781481956
275,-0.2916547649473149
276,-0.6125968054210967
277,0.5767307562165915
278,-0.1845630000150697
279,-0.2174274109529141
280,-0.2983401986915304
281,-0.3098985234246942
282,-0.3934726246759077
283,0.0990325283766248
284,-0.0259075253741462
285,-0.3640256959314768
286,0.0779447051091976
287,0.1830635688242811
288,0.001525506468146
289,-0.0564756162710836
290,-0.0412289274370849
291,0.0427376518712944
292,-0.1773700305810349
293,0.2379644883763416
294,-0.083968183691845
295,-0.0076340539880228
296,0.0839041357111187
297,-0.1328974703653923
298,0.2042745205646562
299,0.0594177064765279
300,-0.6172189019525227
301,-0.2414474776283856
302,-0.4959053685168307
303,0.445383860496723
304,-0.3994148988578387
305,-0.0492879782829653
306,0.2820394552782223
307,0.1238530377978401
308,0.4083996450006646
309,0.2580606442514032
310,0.3215385995872307
311,-0.1557772385488696
312,-0.2266892855534357
313,0.3053206615280945
314,0.1882254522639325
315,-0.0597898387169066
316,-0.164692847838784
317,-0.1439388259989388
318,0.1930444151801693
319,0.4706583258862032
320,0.1204980586423973
321,0.0490677134445426
322,-0.2205465979197118
323,0.3652452785366487
324,0.0801115627688875
325,0.0645948467666715
326,-0.2590487155501285
327,-0.3665252324636585
328,0.271895707288964
329,0.2424960931185038
330,0.2347586108024704
331,0.2413429393782331
332,0.0044691139534635
333,-0.1234998791848902
334,-0.0725416442772857
335,0.7466666666666747
336,0.649969974213139
337,0.0406066277078473
338,-0.516415261756871
339,-0.5406176958623963
340,0.7367656695535072
341,0.0937787529195224
342,-0.4014922721620165
343,-0.6148786329674938
344,0.0464517973272334
345,-0.381100978308629
346,0.0591477349105932
347,0.2975392698225624
348,-0.107336446090274
349,-0.168443687841601
350,0.7229798432920683
351,0.629276591950908
352,-0.7296593426330599
353,0.5507427584769797
354,-0.2716417910447836
355,-0.4987437657029355
356,-0.2518796992481135
357,0.3185310099306727
358,-0.0547423360729511
359,0.0943975786271888
360,-0.0104897200743176
361,0.0501756146512679
362,0.3142916865742979
363,0.2412940510590134
364,0.1620890151233559
365,0.2255226338669686
366,0.0
367,0.0889429134733723
368,-0.328683185103667
369,-0.0267777447188262
370,-0.0662741821867145
371,-0.2103096166899161
372,-0.4247127383859472
373,-0.2252218435158631
374,0.1064914806815509
375,0.68956965617962
376,-0.3324532422830879
377,-1.420199641094661
378,0.3443963981585665
379,0.021651068584994
380,-0.179116173630737
381,-0.002798768541839
382,0.0426630111693092
383,-0.1983209295154751
384,0.1385623110513953
385,0.3591077392947447
386,0.1023976371919382
387,0.1488467851876652
388,0.0514439052875998
389,0.0125118167157915
390,-0.266235485984316
391,0.0877388446326103
392,0.0048741426731305
393,0.1390675520634147
394,-0.0257341178761784
395,0.2206862091938751
396,0.2084530842053499
397,-0.0540469376866505
398,0.0436342480364506
399,-0.0540525557157093
400,-0.8160532984810578
401,0.2607105953421805
402,0.6177325581395477
403,-0.5927880107432922
404,-0.6140168534834315
405,0.4338377526408417
406,0.4848100764447175
407,0.0419675661979127
408,0.5747216929883917
409,-0.1885170256903824
410,-0.1477186552072714
411,-0.5097260817784893
412,0.31026895252569
413,0.2195545727373221
414,0.302352681805291
415,-0.3587514816278122
416,-0.0316180539087891
417,-0.1519973400465369
418,0.3361105851164545
419,0.0174494573155629
420,-0.0285015387043362
421,0.2911093627065338
422,0.0754740715116856
423,-0.27592513756839
424,0.2939789341298545
425,-0.0647485294788232
426,-0.0748359541127774
427,0.0638071062656388
428,0.2248066248066388
429,0.1979874305227446
430,-0.2293912030294186
431,-0.2317475958467877
432,-0.0383351588170931
433,-0.4639903167238199
434,0.2433223563849325
435,-0.1667613480180996
436,-0.1743951242794811
437,0.0779580493978803
438,0.3991961267927394
439,-0.1500375093773535
440,-0.2126996351101028
441,-0.1046255506608021
442,0.5884768030655577
443,0.2084964582916004
444,0.0473217698341901
445,0.0872870106017381
446,0.1543321955116607
447,-0.2347716890821998
448,0.380731366825611
449,0.0108768558635218
450,-0.1746176799731039
451,-0.741205990249163
452,0.4584327921718613
453,0.5056581813606245
454,0.1860311778834925
455,0.4080675422138858
456,-0.1911087440082752
457,-0.03996082272282
458,0.0548181213046748
459,0.0320974509926609
460,0.2654673787438779
461,0.0608330792119161
462,0.0935809283252993
463,-0.2449974796909977
464,0.1057800399700239
465,-0.0085880470000489
466,0.532419667222176
467,-0.2948781855567193
468,-0.0904300102903179
469,0.138571005963222
470,0.1864888806005012
471,0.1884641336466519
472,0.1827007191905527
473,-0.1341085271317843
474,0.1377943612689446
475,0.2983653388351048
476,0.662147248935824
477,0.4035360434625669
478,0.3177336046329587
479,0.2965043695380738
480,-0.1829182496130511
481,-0.1111250234771233
482,0.342372273305109
483,0.1152908367154589
484,-0.1154239099069603
485,-0.4919617716266615
486,-0.0558953608732486
487,0.4915960485041399
488,-0.5918367346938747
489,-0.2612774262599503
490,0.2825124776344217
491,0.4103069095683571
492,-0.0852601608209941
493,0.3460962833624387
494,0.2922340359385679
495,0.0015544121990255
496,-0.0085499980568285
497,0.1443639835145743
498,-0.0831171252349933
499,-0.1306721839366423
500,-0.8612784909614866
501,-0.4358050882299697
502,-0.6284749441601207
503,-0.6064970168797845
504,0.3410571027983007
505,0.2210191715506169
506,-0.2340487108071264
507,0.4461185177842668
508,0.4326084811001264
509,0.1797926227556566
510,-0.122474477634024
511,0.0086300069451023
512,0.4691513555079373
513,-0.3431179406356763
514,0.3712851044341552
515,-0.5327632985283252
516,-0.3150567432040063
517,-0.0033156285367663
518,0.156480063244216
519,0.1463671348222192
520,0.0895490506979194
521,0.2008756538707546
522,-0.5473941072694679
523,-0.2214253846026789
524,0.1023456973538692
525,-0.978952125770742
526,-0.280021365792075
527,0.2728006456820104
528,-0.7923466150366895
529,-0.1903295132676417
530,-0.1293355313627309
531,0.1247075892311306
532,0.0806280846350568
533,-0.1255789679692057
534,-0.2534294730301916
535,-0.3412465342148936
536,0.2977018074752678
537,-0.1392301392301429
538,-0.0786859447231268
539,0.2827952595014333
540,-0.329385431468027
541,0.1405830330822263
542,0.0114628195260838
543,-0.1574519033638816
544,-0.2153188691650327
545,0.0139691200276155
546,0.3757490422083171
547,0.1699846360040661
548,-0.1407620793505325
549,0.6536797944648577
550,0.2497180602545622
551,1.2457639253496138
552,0.1509182182118646
553,1.203782657738781
554,0.0867174980700256
555,-0.3213825000786633
556,0.2416823603264402
557,-0.190254563751008
558,-0.2975224545397555
559,-0.6513333333333278
560,0.1022762409913631
561,-0.3013916500994006
