,PEP.US
192,-0.0775904634266665
193,0.2427611441438263
194,-0.0316745266418075
195,0.0773667182444884
196,0.1685156579132009
197,-0.1758458183864387
198,-0.3600169419737336
199,-0.1909611712285241
200,0.0754458161865662
201,0.1575018831746831
202,0.2050160595913424
203,0.1092224725237194
204,0.1431492842535648
205,-0.0579749684547826
206,0.1668255481410898
207,0.2309782608695482
208,-0.0679809653297038
209,-0.0952640174196967
210,0.2646759416355523
211,0.0881475454298857
212,-0.020345879959309
213,0.0271204827446067
214,0.0711406212947523
215,-0.044058835491085
216,0.0609673485977532
217,0.0406283856988097
218,-0.1288222930368145
219,-0.0135620804231438
220,-0.129005975013578
221,-0.0237699072973592
222,0.1864154013015223
223,-0.1833616298811614
224,-0.0135841880051689
225,0.038044512079134
226,0.2592967366557023
227,0.132634371249926
228,-0.0379099008024276
229,-0.1201923076923062
230,0.1257273548607104
231,-0.0878968003035348
232,0.1256797125155598
233,-0.0941905303748662
234,-0.0695850202429056
235,0.0790745683925328
236,-0.0158679984827289
237,0.09473883660709
238,0.0631193587073119
239,-0.1263982809833894
240,-0.0063203134875432
241,-0.012642225031612
242,-0.0695806186349454
243,0.0063251106894313
244,0.0442561800594254
245,0.0444892707551336
246,0.0629026146267585
247,-0.0183183733284461
248,-0.1841539045690398
249,-0.101355631572277
250,0.2911945306070823
251,0.3092263031679976
252,-0.3800836183960435
253,0.0379939209726278
254,-0.3941513032421971
255,0.2156812991626332
256,0.1773049645390078
257,0.3910685000630784
258,-0.3100284720025186
259,-0.1267025657269667
260,0.1012594139611395
261,0.037957866767889
262,-0.1647550852290671
263,0.1360544217687096
264,0.1169331900638406
265,-0.2661765637873223
266,-0.1586898565443696
267,0.126790921770012
268,0.0126774847870067
269,-0.0888212155817703
270,0.1393816523061321
271,0.0253356979984748
272,-0.1395407839654946
273,0.0950510107090841
274,0.1012850541241986
275,-0.3678685531720642
276,-0.2898992981385378
277,-0.0228920259442969
278,0.1295534217344821
