,FTNT.US
88,-0.0382573765003988
89,0.4238095238095173
90,0.4125764689144992
91,0.0852878464818795
92,-0.0331785003317952
93,0.146717781248522
94,0.0520340586565816
95,-0.3989361702127675
96,-0.6645312425300066
97,-0.3309669992325392
98,0.3060443764345901
99,0.1194058365572909
100,0.5650070235679732
101,0.3623470133586189
102,-0.2228802992518625
103,-0.4760711601102602
104,0.2125265658207297
105,0.4604280736684975
106,-0.2369963826867877
107,-0.0405552955857106
108,-0.0874262341149747
109,-0.0093679740194768
110,-0.0437363323961219
111,-0.2108152545843129
112,0.226953845846307
113,0.0645523785741
114,0.027773530265346
115,0.068606569390858
116,0.0377193802799456
117,-0.071749438482661
118,-0.0156001372812116
119,-0.0093609585621482
120,-0.2063660809205256
121,-0.1236597010252741
122,0.107890045970532
123,-0.0751103182799765
124,-0.0532314629258388
125,0.4699414044438397
126,0.0378163971898253
127,0.234749656259428
128,0.7621139510117214
129,0.0565441543322664
130,0.0365740125016669
131,-0.1331735251032019
132,-0.0066591196643932
133,0.4694512067010354
134,0.0971362357225689
135,0.3414883613507657
136,-0.2298356427130504
137,0.3131799301114224
138,-0.0791817881887008
139,-0.0594216294731304
140,-0.0066028392208777
141,0.0725785167590483
142,0.3681304233499883
143,0.3075576072503144
144,-0.0192055584688033
145,0.0114695810325795
146,-0.146040497522232
147,-0.3788377915403799
148,0.1299534470563016
149,0.021380172357081
150,0.0535714285714306
151,0.9083402146985916
152,0.5513843266072254
153,-0.0058661348037724
154,-0.4300695180864791
155,-0.3310083934271204
156,0.3651354534746787
157,-0.2775645189865935
158,-0.4121327126634575
159,0.0
160,0.6217219635806511
161,0.0382904774527982
162,-0.0795896710293543
163,0.0412516942660104
164,-0.3548406174226709
165,-0.5769688317868182
166,-0.256425547140561
167,0.386123321848643
168,0.1068122478044189
169,-0.699133552435026
170,0.0597193191997577
171,-0.2934834690943823
172,-0.3546312436136343
173,0.2308776348535221
174,-0.3278984417303336
175,-0.0291132115754085
176,0.6689801426643583
177,-0.2125193199381805
178,0.0115906193254154
179,-0.5672766833741226
180,-0.0680806656741584
181,-0.3491611392898973
182,-0.156311059007427
183,0.1950078003120014
184,-0.2110529195653731
185,0.2475681787169305
186,-0.0409532353055962
187,0.0428849902534166
188,-0.2344665885111349
189,-0.1095375948673817
190,-0.0900583421433956
191,0.0704308017372957
192,-0.1665719492837339
193,0.0313448917621644
194,0.0489524182494615
195,-0.0117499608334643
196,0.0704500978473608
197,0.0547645125958325
198,-0.0645855758880485
199,0.0919009815807022
200,-0.4919710327455919
201,0.9434697855750438
202,-0.210970464135018
203,0.0566174030182972
204,0.1306348463578145
205,-0.0936768149882939
206,-0.0742158509433216
207,0.046851208370751
208,-0.0585983279943767
209,0.1793791920137295
210,0.0
211,0.0798768727230158
212,-0.1658730778237274
213,-0.0039030482807258
214,-0.3839674019511773
215,0.1330359588371105
216,-0.0724396499402871
217,0.4851342399563592
218,-0.1014159222997975
219,-0.0039007645498482
220,0.0623733042257789
221,-0.0507040056164419
222,-0.1953964594161554
223,0.015629273629516
224,0.0039071657419672
225,-0.0822875951450272
226,0.2257799671592705
227,-0.0451763932810321
228,-0.0082145644227256
229,-0.799039496563719
230,0.2271882357800864
231,0.1237674821568476
232,-0.2440033085194272
233,0.0917271983538604
234,0.3327430712844463
235,-0.1856588827461082
236,0.1030375468820838
237,-0.5126921974345449
238,-0.000994241683592
239,-0.0634231067373543
240,-0.1856389384941246
241,0.062256163360175
242,0.2194889634323109
243,0.0186323830817909
244,-0.0144939539506363
245,-0.1036355345520872
246,-0.1203619158296638
247,-0.1413133832086464
248,-0.0623830318153485
249,-0.2000250031253864
250,-0.376914721702737
251,0.2407730884093099
252,0.1519072802970688
253,-0.508934630174172
254,0.3886667042190039
255,0.7491474255045583
256,-0.3506409716962607
257,-0.309519119840182
258,-0.296325563018573
259,-0.1073567634760977
260,0.329456818629802
261,-0.2314357483559575
262,0.185931205453989
263,0.2444919064748054
264,-0.361010830324902
265,-0.4931693214670396
266,0.1810671646013654
267,0.1807399039819382
268,-0.0678234329961027
269,-0.442804428044281
270,-0.3446409752485221
271,-0.4865622942843209
272,0.1742857142857181
273,0.327495372347993
274,0.2811381836769492
275,0.4319580966633726
276,-1.006804328990636
277,-0.185654298891719
278,0.4522716370862718
279,0.5231854666916506
280,-0.7918513174619557
281,-0.2030981067125559
282,-0.0809605016106019
283,0.1913544906411761
284,0.013236608677714
285,0.2366660950094316
286,-0.6750807161725803
287,0.1120998896247201
288,-0.0552181115405939
289,0.3747636238611077
290,0.0893133179897601
291,-0.4208492876608463
292,-0.0224273268351583
293,0.5814352360043884
