,CRWD.US
628,0.2712596190869025
629,-0.3110012813472421
630,0.2499229689479203
631,-0.2115688113263675
632,0.2486881131645064
633,-0.2997780269571391
634,0.6163293154423424
635,0.1725468828043388
636,-0.0681570338058784
637,-0.024997159413706
638,0.4411764705882326
639,-0.459111777808078
640,-0.3493685228950723
641,0.0254925209777491
642,0.268340382953565
643,-0.310233131073501
644,-0.3192329256152915
645,0.313669130395109
646,0.066795394081428
647,0.2283598350532261
648,0.3835957856576504
649,0.2689022461246436
650,1.092561676868853
651,0.8847930503527733
652,1.088834333515189
653,0.596529284164856
654,-0.0859378533628828
655,-0.160826330214959
656,0.6215234866544584
657,0.4581919969669001
658,-0.1022385716208359
659,-0.3759990994033583
660,0.3209300237892201
661,0.1411891261961846
662,0.1588651212745091
663,-0.930442637759712
664,0.0225784601490101
665,-0.9205669233924176
666,-1.0197269985958628
667,0.3966434336023519
668,0.7192934535190677
669,0.01365560562611
670,-0.3998811781642026
671,-0.2772558544521286
672,-0.1698494307748827
673,-0.5023270920760724
674,0.0824229013967618
675,-0.3749323134077759
676,-0.0746766223301815
677,-0.4207384276267466
678,-0.8264845468225474
679,-0.5425269634131833
680,-0.2003918275958548
681,-0.0826318959118184
682,0.143116871008339
683,0.5885624246918204
684,-0.344122023809528
685,-0.0698031551026133
686,0.0372144950458261
687,-0.0325732899022769
688,-0.5332143214686401
689,-0.0750000000000015
690,0.0374391613627913
691,0.0561272217025278
692,0.4748161251280057
693,0.3155452436194927
694,0.1852709587772143
695,0.3428225368313749
696,0.0172143252722983
697,-0.205794621592246
698,-0.1458873656910087
699,-0.3625546155991453
700,1.1792700721230038
701,-0.0481505669505639
702,0.0263034688231439
703,-0.1406529707612241
704,-0.3764866946179496
705,-0.7586860936287695
706,0.2579757502794835
707,0.0902100605696033
708,-0.1850576691340929
709,-0.4235456824271839
710,-0.3708925279253832
711,0.0693586492403045
712,0.3422367300105618
713,0.1823630088990899
714,-0.0863184780671294
715,0.6090854495538832
716,-0.0493551640522774
717,-1.302117299247861
718,0.1865995486894666
719,-0.5761173184357512
720,0.5900728913571612
721,1.1154968251244304
722,0.201241704131877
723,0.0641848523748298
724,0.2007088867062385
725,0.5698441116108374
726,-0.1027210140968135
727,0.8730880887386744
728,-0.6015430887929887
729,0.1088565705826003
730,-0.2663173979480398
731,0.0480013964042525
732,-0.1303844769065612
733,0.2738245675192815
734,0.2607675257507906
735,-0.0260835543190028
736,-0.0260903596121243
737,0.0347750489024179
738,-0.1000783221651806
739,-0.1143940469790962
740,0.0920055290361431
741,0.107036497619715
742,0.331484530721906
743,0.0469923794385568
744,0.2339800371602702
745,0.0259190461791015
746,-0.32938932951936
747,0.3455275774197777
748,-0.2077472408569529
749,0.0497480154867651
750,-0.3458127987720959
751,-0.8965388562365879
752,-0.0606300767187469
753,-0.7050998824911884
754,0.2204296032267136
755,-0.725134043508041
756,0.2920326888203314
757,-1.1166867656948711
758,-0.0859948517494478
759,0.0238288138016543
760,-0.4932950191570886
761,-0.1342796854018804
762,-1.1955949924389702
763,1.4791298111403344
764,-0.1580308399578644
765,0.1243543141381381
766,-0.2060867481428261
767,1.319523269012482
768,-0.3512102515424818
769,-0.1092792321946072
770,-0.0224785633869382
771,-0.9996640107516503
772,-0.5744143980620788
773,-0.0628441696454442
774,0.7764570552147125
775,1.0757867694283831
776,-0.8964250999027954
777,-0.8550732530907865
778,0.713783593792242
779,1.2548056386159732
780,0.626127560224985
781,0.7373854419045642
782,0.5291559700319541
783,0.5367378843147479
784,0.1872464371163971
785,0.0779585260641368
786,0.300533706409665
787,0.1448750452734522
788,0.3865580867951757
789,0.4974614082773469
790,-0.1129537403090819
791,-0.340013394467053
792,-0.3308006409262494
793,0.692947336002461
794,0.0513030987071589
795,-0.2881251286272761
796,-0.0411776816965269
797,0.4151929878517618
798,-0.2466471404347103
799,0.3328894806923985
800,2.666803147899503
801,-1.3294176685897552
802,1.058882712478299
803,1.2886086006554769
804,0.3759770456119476
805,0.7122157276880088
806,-0.2412604628261984
807,-1.165570830842799
808,0.0647120314600007
809,0.5150299608775419
810,-0.2432486100079473
811,-0.5616154556573396
812,0.137095568074184
813,0.3725042217145127
814,0.326732673267325
815,0.2567647639739335
816,0.4228537712656039
817,0.1521920565565331
818,-0.2238787610401673
819,0.8609756097560909
820,-0.3573701473539872
821,0.2149382052659849
822,-0.0635448235409108
823,-0.3482611468092451
824,0.5948607928226627
825,-0.9741559539166398
826,-0.1470064148253797
827,-0.6411118583277196
828,-0.2066579810413801
829,0.2889331870002509
830,-0.5631011104353897
831,-0.2936724874059708
832,-0.341597096764689
833,-0.1368712547666626
834,-0.0635958935223107
835,-0.3580503896430625
836,0.1799317406143322
837,0.8214108408177971
838,-0.1717980017179779
839,0.2402100642875386
840,-0.2226641956335082
841,-0.1657581886401484
842,-0.1407368280258472
843,-0.4021942003915083
844,-0.0136587142596982
845,0.3653964358537704
846,0.0745659761570209
847,-0.0498866213151989
848,0.648824006488239
849,0.1843939734652559
850,0.0550723267467155
851,0.2075667515803367
852,0.9855668176934996
853,-0.7909232145379252
854,-0.8211505600911285
855,0.2320405360609843
856,-0.2539938756616881
857,0.394855062183765
858,-0.3916542049419586
859,-0.1021717435726861
860,-0.1427687621948372
861,-0.1048068219713204
862,0.0571346950435673
863,0.1022616471259737
864,-0.016650016650015
865,-0.3760820236994694
866,-0.1901207989474965
867,0.0884278954160901
868,0.1908305901436027
869,0.0960385870173854
870,-0.2012990114141118
871,-0.2249664943519045
872,0.257805786307658
873,0.0310225510082318
874,-0.5494769171705587
875,2.117369764954933
876,0.2394896692865434
877,0.7844617982052147
878,-0.7959749680917632
879,0.2864492194182849
880,0.1073086098460199
881,0.0953330155566143
882,-0.0238389354831748
883,-0.4117178557594792
884,-0.0126229650909708
885,-0.3231441048034974
886,0.2352531149254997
887,0.1392151744540248
888,0.1780518521735339
889,-0.0738809213385553
890,-0.0429997943488036
891,-0.5073850725397678
892,0.0567759968554812
893,-0.0174725898746306
894,0.0872866931436252
895,0.313247770284968
896,-0.0021753790597991
897,0.4612186566194612
898,-0.1474606410200821
899,0.1602147744002791
900,-0.5038064247990377
901,0.4912443511943193
902,-1.196357845739254
903,0.7491129991469397
904,-0.1954708740682783
905,0.007673693442038
906,-1.3948919692541597
907,0.16427778193347
908,-1.70863640163866
909,-0.2577481611869027
910,0.7425433670285772
911,-0.1332944557837269
912,0.4024228343843341
913,0.1143728555089635
914,0.2336271829423634
915,-0.4020546879053637
916,-0.1956812869631707
917,0.4257257630347421
918,0.0910256940709168
919,0.1652278078400618
920,0.2101814551448651
921,-0.5512081899946039
922,-0.2451387734751551
923,0.302390124684143
924,0.4166322910650899
925,-0.1764809694687822
926,0.849073496739772
927,-1.2673951565268615
928,1.219441040900855
929,0.7125477928397741
930,-0.2613695765812959
931,0.0464441219158272
932,0.7633587786259477
933,-0.7647263373422429
934,-0.1149017784493767
935,-0.0203458799593062
936,0.9728578418674252
937,0.4213241616508944
938,-0.2125459558823392
939,0.0143591510869746
940,-0.0275771729950543
941,0.0134420647011435
942,0.6248608534322899
943,-0.4040809308190591
944,-0.1226354513437899
945,0.6041679144171369
946,-0.0031372996406272
947,0.1167991339771438
948,0.0227848822306516
949,-0.1797534809404232
950,-0.5313434802556017
951,-0.5848818113637017
952,0.0126060606060656
953,0.0432943791618361
954,-1.436788201556744
955,-1.0138630250362046
956,0.6209902944563213
957,-0.7708246995441297
958,0.2067824648469809
959,-0.5949161709031937
960,0.2200083022000835
961,-0.3373316933934381
962,-0.3314291445358737
963,0.2679836625823125
964,0.0250000000000009
965,-2.2712745557591565
966,1.7335957455717996
967,0.0041872539988237
968,-0.2813352928826317
969,0.6549307525446326
970,-0.2320573662534262
971,0.1690528864215056
972,-0.0083489876852355
973,-0.2636865896534505
974,0.4002001000500284
975,0.7882172912770158
976,0.694732390935833
977,-1.2635043123014005
978,0.6277487501409462
979,0.4751215862327118
980,0.0224416517055663
981,-0.2700270027002802
982,-0.6606515912265469
983,0.3985711599924806
984,0.5868720095693755
985,-0.5336339721908903
986,0.3377878584384437
987,0.2346896835182967
988,0.2199686824248869
989,0.0372689326177571
990,-0.0969932104752633
991,0.2975526296213685
992,0.0483289341611195
993,-0.2337881657131146
994,-0.4313461322555319
995,0.2296275553066402
996,-0.5047283098168607
997,-0.2068213439627012
998,-0.586277328088362
999,0.4555894423735757
1000,0.5780346820809248
1001,0.0693160813308713
1002,0.1015603360723842
1003,0.6330275229357777
1004,0.9090909090909092
1005,-0.7279886452085543
1006,-0.0412238915353625
1007,-0.4509064139136789
1008,-0.0644567219152922
1009,-0.1798810017988037
1010,-0.0253742704897265
1011,0.08067118425299
1012,0.1702715140358971
1013,-0.2953937044216813
1014,0.5279831045406573
1015,-0.5215063688388386
1016,0.1612680274616386
1017,0.0966672804271809
1018,0.1585587241767579
1019,-0.4686706376691207
1020,-0.0693096756307206
1021,-0.3291456121644706
1022,-0.5125576627370552
1023,0.1210033974030767
1024,0.5185425251169057
1025,0.860363309058169
1026,0.2702764457994615
1027,0.7160623860644065
1028,-0.3965429588205366
1029,0.1603930645226825
1030,-0.1423227065712519
1031,-0.2489918845277646
1032,0.203734591757861
1033,0.2839641393858215
1034,-0.419586116995275
1035,-0.6065573770491761
1036,-0.3537056839680899
1037,-0.0782053920559776
1038,0.1848808545604014
1039,0.1666896357109537
1040,0.2061315541729793
1041,0.1552985410110733
1042,-0.061339658133641
1043,0.0531327911063863
1044,-0.0654369964418619
1045,0.2366477620466002
1046,0.0652395514780821
1047,0.0203832042397111
1048,0.0020382788773141
1049,0.2095028882922408
1050,-0.7134703196347032
1051,0.1578116780641827
1052,-0.0131527028804424
1053,0.1269813468780068
1054,-0.6655794067086838
1055,0.1199687420892206
1056,-0.1819344594892704
1057,-0.5855995741093977
1058,0.2345313952958277
1059,0.2252594391697921
1060,0.0639908206271145
1061,-0.6194493783303776
1062,0.0798651166918124
1063,0.1373565510213134
1064,-1.0431590257879586
1065,-0.0313493662949624
1066,-0.0470461724578218
1067,0.2525139664804459
1068,0.5091264812468086
1069,0.1061589986407987
1070,-0.0062189054726286
1071,-0.0155496812315332
1072,-0.4260920001784734
1073,0.572265105137074
1074,0.0886446237035799
1075,-2.961449393815557
1076,-2.006503070894597
1077,-1.7503676054744934
1078,-1.1440338634023568
1079,0.818381675058504
1080,-1.7681870669745958
1081,-1.3695423153458826
1082,2.203651765783295
1083,0.3933865450399075
1084,-0.2688508583733973
1085,2.2848285107809256
1086,1.047453223889662
1087,-0.7771283295055228
1088,0.1057815369205948
1089,1.6365626710454193
1090,-0.9336500745815136
1091,0.4454955450445508
1092,-0.8039030880966839
1093,0.5944930991514393
1094,-0.4339530633266996
1095,1.397891128988238
1096,-0.8953744493392097
1097,0.5149556261641272
1098,-0.1563743107184969
1099,0.3580996118309557
1100,0.8462261731771902
1101,0.8244145385186061
1102,-0.3936170212766005
1103,-0.0510899182561327
1104,-0.2389894161829986
1105,0.6560044567432649
1106,0.0943284340717536
1107,-0.0720583248558901
1108,0.3581985917866539
1109,-0.4702113213952336
1110,-0.2808510638297858
1111,0.106269925611052
1112,0.4118989260148306
1113,-0.4221400331590458
1114,0.0764623422964219
1115,-0.0510008925156209
1116,-0.1788223272448535
1117,-0.2133378845415368
1118,-0.4198980247654219
1119,0.3054185087887928
1120,0.283255952634502
1121,-0.1279481383545918
1122,0.0979974435449466
1123,-0.1237148585811151
1124,0.2298361353479429
1125,-1.2137203166226918
1126,-2.3770934629929643
1127,1.4758540598083727
1128,-0.8048387883517906
1129,-0.3311255037110815
1130,-0.9427689267629988
1131,0.0765129825254226
1132,-0.2127133316843961
1133,-0.4436114583726664
1134,-0.2726321558467459
1135,-0.4705411222906331
1136,-0.0550936592206819
1137,-0.1203490121351966
1138,0.5386533665835475
1139,-0.2449877506124739
1140,0.1746855659812451
1141,-0.481444332999001
1142,-0.4863053392798667
1143,0.1132588341890638
1144,-0.1537647147790612
1145,0.1886982337845318
1146,0.519453345060288
1147,-0.1592880421158195
1148,0.25505101020205
1149,0.2195608782435118
1150,0.6906119154517479
1151,1.0186248564438112
1152,1.3545463501132893
1153,1.2836720801322503
1154,0.2570444735438194
1155,-0.1870702849784946
1156,-0.3926829268292716
1157,-1.1346817957572826
1158,-0.6155068003573815
1159,0.7585718022521137
1160,-0.0985700197238586
1161,0.4457360535668638
1162,0.0892638187257776
1163,0.0637192432114615
1164,1.1578896371299774
1165,-0.3207776427703507
1166,-0.0048605035481631
1167,-0.6112768350530589
1168,-0.704175758802445
1169,-0.7415958996910668
1170,-0.8330665332666344
1171,0.249500998003992
1172,-0.4369307195674634
1173,0.7964003380897913
1174,-0.1045192116265219
1175,0.0076091919038128
1176,-0.0285426141228811
1177,-0.9663784822286212
1178,0.4894275991281967
1179,0.3543397089080267
1180,0.1179738935190479
1181,-0.0418792355135752
1182,-0.1849909411652574
1183,0.2226366265793802
1184,-0.0266473790399304
1185,0.2544046172539549
1186,-0.0113925492727868
1187,-0.148322811287741
1188,-0.2352062152384726
1189,-0.0726731710108383
1190,-0.2994069255787145
1191,0.337483554826774
1192,0.1770079939093928
1193,0.1140684410646431
1194,0.1916472173203527
1195,0.0928909952606652
1196,0.0946969696969697
1197,0.0895787753934199
1198,-0.0517606967057788
1199,0.0454166982060421
1200,-2.034454589139836
1201,-1.1053079072027234
1202,0.5003383931161293
1203,1.656287631825775
1204,1.1402453353386377
1205,0.6072779931797931
1206,-0.3751113611853439
1207,0.4248762722943303
1208,0.934320074005542
1209,-0.1621496409543638
1210,0.0185279540506702
1211,0.1895515487748613
1212,-0.4784688995215316
