,NFLX.US
228,-0.5270268288271025
229,-0.1797462981404991
230,0.1521362402608324
231,-0.0135804884410982
232,0.0944686950289987
233,0.0146567869065903
234,0.1252399076152525
235,-0.0927960927961009
236,-0.1671490888336217
237,0.0122289254850695
238,-0.3156844464072411
239,0.0555818933808556
240,-0.009809531594876
241,0.0016348952032159
242,-0.0850868868017118
243,-0.0310991079466308
244,0.0261818657852053
245,-0.079426816786082
246,0.0139182263267404
247,-0.0016374652038629
248,0.0997857061065416
249,-0.0654760930415244
250,0.0138666032764789
251,-0.8259454691838891
252,0.1924288334263642
253,-0.1397372938874892
254,-0.427016298791122
255,0.0500941770528593
256,0.0940884431365424
257,0.040021611670311
258,0.0799792054065897
259,0.0039988003598883
260,0.0859003555875198
261,0.0499171375516642
262,-0.1089379053939172
263,-0.1170702421452944
264,0.0520041603328248
265,0.1677316293929776
266,0.1156807212094587
267,-0.0958275104811375
268,0.0508824615139019
269,0.0707862255986955
270,0.0438482849341333
271,-0.12272632030572
272,-0.0698930636126771
273,-0.2392057169165468
274,-0.0881533868931937
275,0.2115435269327146
276,-0.4830278568120282
277,-0.0430278356998627
278,-0.2555083620918442
279,-0.1911664477949327
280,-0.033257395613357
281,-0.2885064371956538
282,0.1082809975178625
283,0.0915385127488296
284,0.10474337872213
285,0.0365636789709031
286,0.0979610812246659
287,-0.0764348143963182
288,0.0514838988258258
289,-0.2714404662781008
290,-0.0116583115434022
291,0.1280771789753984
292,-0.0615814789541142
293,-0.003328839400159
294,-0.1141428868985537
295,0.1970697310871174
296,-0.0865527056042846
297,-0.0166475220163327
298,-0.1400350087521933
299,-0.4017072558373047
300,0.0921164513908539
301,0.613694440532005
302,-0.2966580561834088
303,0.1289906481780158
304,-0.3133782171812158
305,0.0383993532740496
306,0.1795477011842051
307,0.3858443359257281
308,0.7162809257781275
309,-0.0938629600782798
310,-0.2141456190209328
311,-0.1623734589555983
312,-0.2612802733393651
313,0.1745515830022881
314,-0.0321117488861287
315,-0.0522088353413636
316,-0.1951592459207748
317,-0.0765126346521686
318,0.0171117396599869
319,0.0472865565325902
320,-0.0624169451938956
321,-0.1673960833350223
322,0.0060500947848242
323,0.020162916364216
324,-0.2486204596446468
325,-0.3299870788191965
326,-0.0099403578528849
327,0.0596065964633442
328,-0.0437306193845963
329,0.1016696055537023
330,-0.1082402755206955
331,-0.2066691898567803
332,-0.3485944780187977
333,0.0277575164117021
334,0.2717786103437801
335,0.2794852685447384
336,0.0407247010210942
337,0.278336321404168
338,0.0161626853509383
339,0.1707235085915434
340,-0.0751954091223895
341,0.1159236386384459
342,0.07021639686188
343,-0.1032089685034682
344,0.065204505038538
345,0.0335789203389414
346,0.0296196832668603
347,-0.059274480360391
348,0.3112074059483916
349,0.2651998821333902
350,0.2553477775569118
351,-0.2375624559359891
352,0.0781046602447265
353,-0.3398033710498301
354,0.2072196408581431
355,-0.2960695801964161
356,0.0207590109484722
357,-0.1493801493801536
358,0.0346380325597541
359,-0.512951443691402
360,-0.1937954450318599
361,-0.1241831079927282
362,0.4019727586153444
363,0.4463529882563129
364,0.2050549501186435
365,0.031477927063346
366,-0.05088192259925
367,0.1658282208588906
368,-0.0092033009172539
369,0.1516242169910856
370,-0.1572314984545259
371,-0.0161092359619543
372,-0.0065208302167454
373,-0.1132837700838788
374,0.0644725531131144
375,0.2788358982172676
376,0.5560858826916485
377,0.1127566348576927
378,0.4099874139893002
379,0.2293371029836517
380,0.4103639358993574
381,0.7115400343502039
382,0.1284621667780514
383,0.4592018730552191
384,0.4296154553817765
385,0.0169244580494207
386,-0.1993694498759803
387,-0.0646303674192103
388,0.0221287895552079
389,-0.1233355243236909
390,0.0110768140129148
391,0.0457632122822476
392,0.1900573443040759
393,0.0456701030927885
394,0.1015168679839418
395,0.019122708952369
396,-0.0058842566712873
397,0.2384778509109854
398,-0.0168797428407886
399,0.1962996059358703
400,-0.1282072354903881
401,-0.4938883382887362
402,0.3456790123456827
403,0.1462877430595483
404,-0.029595041186424
405,-0.1168724279835451
406,0.0452470075274529
407,0.0435826590355875
408,0.0312381829242317
409,0.046014034280451
410,-0.0049303181698614
411,0.1796333511052827
412,-0.0960606906517408
413,0.0853144329051175
414,-0.0689553267989885
415,-0.0703346143400935
416,0.0637221902963646
417,0.0410306909568357
418,0.196560196560204
419,-0.0442456123101095
420,0.0998624844476481
421,-0.2609766105867922
422,0.0664310142621601
423,0.1907272191480431
424,-0.0458610410456458
425,-1.2602324593011531
426,0.0378665435234432
427,-0.5562985252052463
428,1.1048962609869646
429,0.9182076295865012
430,-0.3910104147634022
431,-0.4717933655205214
432,0.6438551052420335
433,0.2274753871631089
434,0.3608340888485964
435,0.0126910455608626
436,-0.1288893729804372
437,-0.2055554544958426
438,-0.3321713420087332
439,0.3093102381688916
440,-0.5544665605765694
441,-0.3395076459897465
442,-0.3278386591767147
443,-0.2030082126049686
444,0.5779816513761425
445,-0.0826370397576063
446,-0.1011029411764622
447,-0.6456864812861943
448,0.1034986230986857
449,-0.5332590115198819
450,1.0279627163781562
451,-0.0852923929847039
452,0.3205922986999289
453,0.1644533253169617
454,-0.0389180774469789
455,-0.3051972248345216
456,-0.1777556570737863
457,0.4811689575262102
458,0.301587301587308
459,-0.0211685012701108
460,-0.0865128268507581
461,0.0388274121529848
462,-0.3720040389009978
463,-0.3876727188661373
464,-0.0761876761762303
