,ANSS.US
222,0.1992956400666188
223,-0.1503800514026388
224,-0.0382932166301932
225,0.6868698779553212
226,-0.123966942148765
227,-0.1655629139072854
228,0.7249567080508265
229,-0.3711886875828519
230,0.2636131573875143
231,-0.4285103055518685
232,0.104642593957264
233,0.2631230798629942
234,0.1042584434654972
235,0.2957453661678987
236,-0.101124089516794
237,0.0014655450361976
238,0.09370698995578
239,-0.0205026067600003
240,-0.1936847047775634
241,0.1260294850376642
242,-0.3440974060349438
243,0.2376551359915507
244,-0.2721348612112241
245,0.0367614622239214
246,0.3645456833671243
247,-0.0187860848158014
248,-0.1320577532574212
249,-0.3533985157262306
250,-0.5898826999310017
251,-0.0717573788247999
252,-0.2946648018141674
253,0.112579008762179
254,-0.2415281591594927
255,0.1163049678137827
256,0.3194801678624628
257,0.3399800329186991
258,0.2610474191291163
259,0.2603677358743865
260,-0.1801656448316704
261,0.3109586103366998
262,0.0160814794961142
263,0.1311598276184995
264,0.0414721267174221
265,0.0040132705479415
266,0.1202533336896364
267,0.0507478632478626
268,0.0360446954223364
269,0.0360317079029521
270,0.0133432963279278
271,0.0480128034142304
272,-0.2031325172395336
273,0.1654392144305701
274,0.0080044825102136
275,-0.0615302300695455
276,-0.0187300992695243
277,-0.01338043245558
278,-0.2441183571639416
279,0.1393018832543166
280,-0.144869215291756
281,0.3874933190807025
282,0.3090366581415241
283,0.126385248845894
284,0.0587944192369264
285,-0.0255612299180858
286,0.128836881881819
287,-0.0053131433884523
288,0.0783074962837162
289,-0.0531180282588031
290,0.0318606627017854
291,0.053072922195093
292,-0.0504447099429172
293,-0.0584438009722844
294,-0.2209797657081959
295,-0.1039417925961576
296,-0.1147339772666649
297,-0.1255643717773958
298,-0.0748603053231103
299,-0.0668842634704906
300,-0.439714590161722
301,-0.713179558236205
302,0.1437873033098289
303,-0.4879910580409532
304,0.073553448839485
305,-0.2156761036337229
306,0.090011456003487
307,0.7283853673065982
308,0.3749662800107867
309,-0.018886760380971
310,-0.0566924032179632
311,-0.1162193572799283
312,0.2910502061605584
313,-0.074164969862047
314,-0.0148351944759148
315,0.0808538163001324
316,-0.055280650424054
317,0.0525563970568399
318,-0.0377470409016113
319,0.0781292095479337
320,-0.1727208938306219
321,-0.0188949172672532
322,0.1859036534109272
323,-0.0727978645959822
324,-0.016179920718389
325,1.0312223269631828
326,0.310399817746905
327,-0.0680494652360775
328,0.1930602957906779
329,-0.0939448287642101
330,-0.1739576798037862
331,-0.0970541219456587
332,0.1681342794448809
333,0.1138595542398386
334,-0.1796509638416777
335,0.0997065777853647
336,0.1680219145170028
337,0.100632147169557
338,-0.2163916689207601
339,0.1094994311717996
340,-0.0398338359984189
341,0.1080036380172792
342,-0.2367175096030233
343,-0.3284456639798707
344,-0.1030042918454974
345,-0.0515286843009294
346,0.2783368303858241
347,-0.1100282929896232
348,-0.1947140852733175
349,-0.085977130083401
350,-0.0314347728463492
351,-0.6099397590361377
352,-0.0994964874724829
353,-0.1267924528301935
354,0.0603409262332142
355,-0.2874432677760934
356,-0.6210801924130854
357,0.2005347593582963
358,-0.1095023725514094
359,-0.1553693830921526
360,-0.348506618568673
361,0.1373794114055405
362,-0.2264243314362674
363,-0.1225415109368228
364,-0.0306447658739956
365,0.1682626120476064
366,0.201508258785445
367,0.0686488383091097
368,-0.0625858647534678
369,-0.1161475685423466
370,-0.0917796065714233
371,0.1512073679226565
372,0.146410651374893
373,-0.1267446477109673
374,0.3530235247572866
375,0.2266896523639621
376,-0.0692765356298873
377,-0.2751443826958676
378,-0.019618100967827
