,MSFT.US
421,-0.1814846616189114
422,0.113056021207736
423,0.155696547429074
424,0.1127527216174042
425,-0.2301435542865082
426,0.0631115625529198
427,0.3206209922375932
428,-0.4134472007591254
429,0.1319930957457756
430,0.1533165474748962
431,-0.1467731564519907
432,-0.2136607203418556
433,-0.0169600759811442
434,0.0779555314533684
435,-0.1289621937147883
436,0.2032107295265074
437,-0.1526406838302597
438,-0.0203562340966928
439,-0.2141982864137071
440,-0.0204039991838408
441,0.2408657597448789
442,0.0237416904083547
443,0.2199736031676314
444,-0.0745080773529404
445,0.0033866160931965
446,0.0406228842247815
447,-0.0745307947692833
448,-0.1832745044800504
449,0.0712226555875992
450,0.4355165428764225
451,0.5105468225178149
452,0.383116122664073
453,0.0986094397646797
454,-0.1137808714276259
455,-0.0334761649705295
456,-0.0871138511023412
457,0.2339885011365307
458,-0.0434738989399231
459,-0.1305920171443833
460,0.0117184230350799
461,-0.0787427958718716
462,-0.070415451161848
463,-0.178031575411498
464,0.0973187019698716
465,-0.1815431164901733
466,0.0168067226890794
467,0.3967390394562841
468,0.0519006652721654
469,-0.2079337401917978
470,-0.0905856383334011
471,0.4576707202993361
472,0.0751139227828949
473,-0.1655241598394932
474,-0.1574117489450155
475,-0.1682095873468032
476,0.0037478449891278
477,0.1944715323077501
478,-0.0224109548039611
479,-0.1641796134714837
480,0.0685703585806451
481,0.0692339358556948
482,-0.1048964147903842
483,0.083023958663192
484,0.2494959301023123
485,-0.1383436156290912
486,-0.0748362956033633
487,-0.309655625410524
488,0.1206387480562076
489,-0.0625703353590004
490,-0.1126633618747226
491,0.0525486074619184
492,-0.0112616839971581
493,0.0075072257047553
494,0.0637707254857675
495,-0.0450349020490897
496,0.0262634600232593
497,-0.1096011015699349
498,0.165666716664167
499,-0.0150015001500226
500,-0.032194454505205
501,-0.1693070504293207
502,0.31744756087761
503,0.0722775457757703
504,-0.1508053003036213
505,0.0542604501607794
506,-0.0603257590991376
507,-0.1449917435257214
508,-0.0685152345639156
509,-0.1048979262486851
510,-0.222392948121795
511,0.0242551643287392
512,-0.0262833343442298
513,-0.0991661944466949
514,-0.2662294443272048
515,-0.0049920512744586
516,-0.041292784928334
517,-0.1586010573403767
518,0.1238805060823325
519,0.0385708485586678
520,0.0649192566745096
521,-0.0040576181781372
522,0.0466408452132334
523,0.1498370016401095
524,0.167778451586817
525,0.0497716360229581
526,0.5213628887831969
527,-0.2657691858427753
528,-0.2004359848429437
529,-0.0014630577907814
530,-0.29650199257673
531,0.2635230066736795
532,0.0058537727565529
533,-0.1656430026825364
534,0.0219831755429811
535,0.0776136014175425
536,0.0775534094234668
537,-0.1083994960888303
538,0.0292885803825155
539,-0.1521216362961145
540,0.0640811420865889
541,0.0498095517140392
542,0.0146770134240436
543,0.1403914226369793
544,-0.0907706722885928
545,0.1666228185565182
546,-0.2123826402823856
547,-0.0131841087542528
548,0.017575722069249
549,-0.5715295781286819
550,-0.1925945139744514
551,0.2284877583682338
552,0.0816576503011156
553,-0.1908982444179315
554,-0.153636053260514
555,0.3470332063146565
556,-0.0749063670412078
557,-0.1022494887525601
558,0.2787369047865951
559,0.095042444821731
560,-0.0169808116828023
561,-0.0972246773908436
562,-0.0728014968532058
563,-0.0476498417344496
564,0.0391256272858753
565,0.0323107271614075
566,-0.1225907512088663
567,0.2581685149892843
568,-0.0408086986068567
569,-0.1429154757043745
570,-0.0544736483725889
571,-0.0302420178782257
572,0.0234252638747055
573,-0.3656494549430998
574,0.0853591914777383
575,0.0162624353870644
576,0.6879337960491185
577,-0.0100116802936858
578,-0.1630888404647406
579,0.1428285323275027
580,-0.1470834029750953
581,-0.1238369368766331
582,0.270369504990154
583,0.0367033700367079
584,-0.1386638154267549
585,-0.0050121963444525
586,0.0160364562104523
587,0.034065860663961
588,0.1067258646579789
589,0.0500516856180629
590,-0.1034782028172782
591,-0.0233715067944286
592,-0.0735073006114372
593,-0.0439566316852159
594,0.0639719392016098
595,-0.0635111645941963
596,0.100213684560977
597,-3.339344153868342e-05
598,0.1400560224089689
599,-0.076756215584855
600,0.138774901141528
601,-0.1359751359751312
602,0.4936362555013585
603,-0.3491390886574435
604,0.1043343468669784
605,-0.0387677809918574
606,0.2290984825944774
607,0.0802687516722602
608,-0.1309796683832934
609,0.1575224395173193
610,-0.1607227432952028
611,0.0535257363879892
612,0.0535268228856756
613,0.0475567708952636
614,-0.0386548125241579
615,-0.0118952032592917
616,0.0178396218000185
617,-0.1280142899672542
618,-0.0327585693439223
619,0.1516503122212283
620,0.0570296045759126
621,0.1626216472822316
622,0.0059336616626066
623,0.0770781453812376
624,0.171648416691324
625,-0.1602849510240488
626,-0.0891265597147814
627,0.0593824228028469
628,0.2029719839400276
629,-0.1350028187401836
630,-0.1842989209595278
631,0.0297167989064116
632,0.1779834475393855
633,-0.148539853242625
634,0.0386054522777203
635,-0.1934005772263483
636,-0.0089269773254694
637,0.0059509640561716
638,-0.1072322173239475
639,-0.1969796454366456
640,0.0
641,-0.1015774378585011
642,0.1700020877449351
643,-0.0089482789476912
644,0.1281241240060346
645,0.0803369448743918
646,-0.0834127740705352
647,0.0565695060588911
648,0.1189520325928501
649,-0.101211561932538
650,-0.0204231680418312
651,-0.0081699346405154
652,-0.0838120157811944
653,-0.01328903654485
654,0.2559239773237072
655,-0.0326384072457199
656,0.5154639175257658
657,-0.2767602767602796
658,0.0975847767748268
659,0.0731350560702124
660,-0.1750172982213386
661,-0.2570389875789621
662,-0.0041216078351333
663,0.0530222693531264
664,0.227883128509808
665,-0.0216535849707855
666,-0.2230562127763803
667,-0.1347984150974159
668,0.5201349099922796
669,-0.4121103313203814
670,0.2604184683454547
671,-0.1140400912646666
672,0.2762879895985725
673,-0.2607137037640601
674,0.3037834852250836
675,-0.2215021601861057
676,0.2320954907161813
677,0.1241824654358851
678,0.0413770274743438
679,-0.0289723107487244
680,-0.0837172271495678
681,-0.2182810594892704
682,0.1649121352785116
683,-0.1328021248339945
684,0.1781349683085374
685,0.1489141675284441
686,0.1816755439943836
687,0.1278350515463927
688,-0.082542302930247
689,0.0599310442396663
690,-0.0310682015100873
691,-0.2402921555571251
692,-0.0037223922574183
693,-0.0165467030694101
694,0.0062046286529694
695,-0.0848685572345204
696,0.0331084716301717
697,-0.0538302277432693
698,-0.0041409582177278
699,0.2931461601981749
700,0.4687307265326321
701,-0.1235025318019066
702,-0.2310707654219114
703,-0.0825934338220064
704,0.0654949657193414
705,-0.1813370069305712
706,-0.0827988579467953
707,-0.2592876848721193
708,0.1760053008655366
709,0.0827574792071786
710,0.0020688941760727
711,-0.0289729103288514
712,-0.039335845306612
713,-0.0580022372291446
714,0.175768729709044
715,0.1218142516478434
716,-0.23181385335155
717,0.0579302354450227
718,-0.0869709268615835
719,-0.1090394988329064
720,-0.0111954223162148
721,0.0219299245635561
722,0.0029432491812709
723,0.1903264512391939
724,0.3216892811481837
725,0.0471940964475774
726,0.0171585449553843
727,0.1306629538395659
728,0.2329358464760386
729,-0.0684316325221319
730,-0.089897260273976
731,-0.210201192570023
732,0.4271496305155695
733,0.3744840205966191
734,-0.1107655604311418
735,-0.1749743939911218
736,0.1576547786441708
737,0.0468483816013686
738,0.17600993138163
739,0.0620326308633646
740,-0.2192935766143689
741,-0.125772756341926
742,-0.3937850447288515
743,0.0940774000427619
744,-0.1670521716782259
745,0.102695763799735
746,0.2816180235535181
747,0.2426254629038408
748,0.0765599081281131
749,0.5793301759133864
750,-0.190476190476187
751,0.1268230818008784
