,AMZN.US
92,-0.1455882036019846
93,-0.0692526314286145
94,0.0789162360523138
95,0.0329541466587846
96,0.0674035436472169
97,0.0301001342534408
98,-0.3013365735115421
99,0.1644065522861421
100,0.3557218818798359
101,-0.2097710498826968
102,0.0648870039174533
103,0.2154445571789047
104,-0.0790397876321984
105,-0.1205419511370172
106,0.1340502424979389
107,0.103555893155363
108,0.1309800489825513
109,-0.0972640919174129
110,0.211286891840698
111,-0.0467064168086309
112,-0.0102225099669508
113,-0.0360757534009204
114,0.0550774917596706
115,0.1270276937384992
116,-0.1114149988716621
117,0.057165066612206
118,-0.2048227877788575
119,-0.0934728359686975
120,0.1463968683429777
121,-0.0350310234174951
122,-0.1802402063793053
123,0.0492357081261691
124,-0.1302313387325716
125,0.0060136423772797
126,-0.1006148686416924
127,0.0499957739961777
128,-0.304480271287762
129,-0.1407271188928278
130,0.033400738958986
131,-0.1210045596338473
132,-0.1087081891580156
133,-0.115473441108545
134,0.2160449373469682
135,0.1670831763633367
136,0.1367002960882526
137,-0.1308403689986019
138,-0.1308676278982737
139,0.1120605215401748
140,-0.1665528695597031
141,-0.0733737056892752
142,-0.0157151095732431
143,-0.1689701486070768
144,0.1594726156969427
145,-0.1323960214778987
146,-0.2543838160571492
147,0.0727546694033571
148,0.2120912079949932
149,-0.0464973892149198
150,-0.4757594429388524
151,-0.1840986812634588
152,-1.330750069194573
153,0.3148098587080339
154,-0.6246685786152347
155,0.2199537376899332
156,-0.0094195611038531
157,-0.0695869143332469
158,-0.4668211595882231
159,-0.1316405988531593
160,-0.3078739353450778
161,0.5225016628215393
162,-0.1474358974358964
163,-0.0381974165163368
164,0.3165629985380813
165,0.0727648418058981
166,-0.5585593636891729
167,0.4569543548831551
168,-0.0524867948564657
169,0.465668699699064
170,0.0224201593215257
171,0.0017077780321383
172,-0.2175204713401223
173,-0.416701008983054
174,-0.4828133440438029
175,0.1827873531702788
176,-0.2099454987121413
177,0.6784632694988282
178,-0.2126079823682317
179,0.1895284674843232
180,0.2033945659006831
181,0.5838451005063504
182,-0.0072222021605429
183,0.0775784423525452
184,-0.0597058002110195
185,-0.282835259713136
186,0.1704373260524465
187,-0.0290634208341639
188,-0.0162726008344933
189,-0.0817078755534753
190,-0.2199945315246505
191,-0.2848349188584173
192,-0.1782691078696316
193,-0.0292996541519312
194,0.249056076073282
195,-0.0545675868534039
196,0.0827622458765678
197,0.0537441917317256
198,0.0716783021502389
199,-0.0536450708003194
200,0.491285088825488
201,-0.4412710548031671
202,-0.0182063139496749
203,0.0354897125333306
204,0.0630530403387866
205,0.1820066115452368
206,-0.1592631767169556
207,0.0221192012847322
208,0.0481542389358728
209,-0.0490868928905783
210,-0.047291213838135
211,-0.0186471281148734
212,-0.0908925374040208
213,-0.0716728317449943
214,-0.0154910197647115
215,0.1828236706627191
216,-0.1396622602211632
217,-0.0085019038191689
218,0.0952519626757875
219,0.0984917130587889
220,0.092342304223127
221,-0.2458448669386218
222,0.1100550275137602
223,0.1031269733823436
224,-0.357294832826751
225,0.1898791492245627
226,0.1053448658239114
227,-0.3699245213387609
228,0.067027659885847
229,0.209100854059962
230,0.4062717719355688
231,-0.1983490827265737
232,0.0215936712184334
233,-0.0843184091790716
234,0.0242017786849373
235,-0.0980666260553654
236,0.0452199573117688
237,-0.017802327345725
238,0.0253796000525063
239,0.2393649915967715
240,-0.0697190647860254
241,-0.0816384822995159
242,-0.1351292191399042
243,-0.0707871545015389
244,0.0031746170818864
245,0.0399777614578892
246,-0.0337124917865195
247,-0.0175251559008633
248,0.0977531368543889
249,-0.1961821950770267
250,-0.609757512086655
251,0.1202848404337523
252,-0.2566426336502306
253,-0.0903369811203836
254,-0.1793520035404438
255,-0.2941927686825697
256,-0.0377032783156305
257,0.4831232460424493
258,-0.0316393854514655
259,0.0868150038343359
260,-0.226169879012841
261,-0.1075907447083089
262,0.0647208722435691
263,0.1445186074727879
264,0.0040338095297232
265,-0.1681508073414552
266,-0.1247922722151955
267,-0.2940148318310093
268,-0.1035741680088625
269,0.010153299197415
270,-0.0334389629546201
271,0.0564986591836524
272,-0.01214826569372
273,0.1518955756904664
274,-0.4908336963914731
275,0.0173321740034695
276,-0.0766669422667871
277,0.1976935749588098
278,0.0030293631845825
279,0.0266801269108792
280,-0.0074998413495162
281,-0.1869796287572877
282,-0.1048183459183622
283,0.319465932275481
284,-0.0722897824669172
285,-0.3274549713223548
286,0.0862046521584435
287,-0.0202535161550672
288,0.1724357048778739
289,-0.0841222808412186
290,0.0699084545898388
291,-0.0867385440068003
292,-0.0141114608774287
293,-0.1065856129685855
294,0.0767972509187525
295,-0.1380203279467362
296,-0.2142228904995821
297,0.1098035085800386
