,SBUX.US
112,0.3070858923824438
113,0.082432679978021
114,-0.0458169156052518
115,-0.0641848523748332
116,-0.0642260757867762
117,-0.0091759955955137
118,-0.2575896964121446
119,0.1561495361440265
120,0.1925192519251868
121,0.2742731760833764
122,0.0776503905357949
123,-0.1784570330374369
124,-0.1282873636946766
125,-0.4358537047564844
126,-0.7878527431600083
127,-0.4267766375755322
128,-0.1825518831667925
129,-0.6868530521427819
130,-0.1259201859744378
131,-0.0290669508768541
132,-0.1358300184340745
133,-0.4874719703617042
134,-0.3423987477988596
135,0.4098763940620012
136,0.0090599123234391
137,0.3204505729267802
138,0.2373456042625239
139,0.3234839706450444
140,0.0916501857122173
141,-0.0579178531782443
142,-0.2176646996227089
143,0.0048367593712168
144,-0.3445932828577014
145,0.3434099153567148
146,-0.2278456466938136
147,-0.0970496894409882
148,0.0775795190069805
149,-0.0485107208693231
150,0.0271906052393897
151,0.2028397565922869
152,0.0953788539947036
153,-0.0008105917319656
154,-0.1352813852813904
155,0.0901063254640552
156,0.1349770539008292
157,0.2692273175985025
158,-0.0538744724791256
159,-0.0269444943416572
160,0.035913090321415
161,-0.0467088243748136
162,0.0646319569120311
163,-0.1348314606741624
164,0.0089879561387786
165,0.050127654834256
166,0.0217352254356094
167,0.0807681952795507
168,0.0179452669358421
169,0.0627690100430354
170,-0.0987344044520235
171,0.008975049362776
172,0.1433948736332645
173,-0.1346136587992385
174,-0.0179517099003771
175,-0.1796460971885411
176,-0.16194331983805
177,0.1527128997484616
178,0.323242091313656
179,-0.1084618142703434
180,-0.1436265709156163
181,0.0538309707518285
182,0.0269082428917401
183,0.1790670606142025
184,-0.1659118425182748
185,-0.5410035616067754
186,0.0495674116798779
187,0.1350013500135052
188,0.1886453467481079
189,0.170388305981537
190,0.0940733772342335
191,-0.0627549419516725
192,-0.0852400179452659
193,-0.0224366165582281
194,-0.130301941049601
195,0.1166861143523879
196,0.134456794550023
197,-0.1301440560068177
198,0.0179476825054929
199,-0.0853242320819102
200,-0.6826233474466361
201,0.1294442526751738
202,-0.1902126923741992
203,-0.0951968844655988
204,0.1469063256135514
205,-0.1904761904761895
206,-0.0606428138265556
207,0.0259830244240316
208,0.1556554825320017
209,0.1554135727853502
210,0.0246873937190535
211,-0.1544047721967692
212,-0.0518986246864477
213,0.0605117565698542
214,0.069108500345541
215,0.0518045242617752
216,0.0345244260314226
217,0.0258866166192088
218,0.094827586206896
219,0.137741046831953
220,0.0602254151251891
221,0.0258042318940316
222,-0.0258108921965079
223,-0.1119724375538412
224,-0.441214637944451
225,0.0048090795421712
226,-0.0384874434715597
227,-0.5125725338491306
228,-0.3688604154533194
229,0.1647446457990131
230,0.0968147933004245
231,0.0473200314692618
232,0.1218769632242865
233,-0.2859358340602905
234,0.2080570604468076
235,-0.2182047305157014
236,0.0
237,0.0581282697151736
238,0.0677703553102985
239,-0.0940956209196676
240,0.0262546018213566
241,0.0484167715696689
242,0.2414992272024729
243,0.1013268998793765
244,0.0723240115718445
245,-0.2222866531361785
246,0.0965530559042138
