,AZN.US
397,0.1273885350318519
398,-0.2639645776566777
399,0.0510638297872359
400,-0.0459094665319962
401,-0.064314590224176
402,-0.0459601066274447
403,0.2656770547800781
404,0.0185151237396777
405,-0.064202513069791
406,0.3017556693489377
407,0.0639678333181096
408,-0.201446753960272
409,-0.0733070649683847
410,-0.0183301255613564
411,-0.0458463231248827
412,-0.1101523774554842
413,-0.0126691282721726
414,-0.0332445587289868
415,0.1054997477179899
416,-0.0688515560451561
417,-0.0183637866128089
418,0.027538094363871
419,0.073381031003484
420,0.1282521069989012
421,0.1006680699185498
422,-0.0183066361556027
423,0.0274524158125925
424,-0.0915918666422369
425,-0.0100321027287228
426,0.3498950314905471
427,-0.1903044871794849
428,0.1000600360216072
429,0.0600000000000022
430,-0.06003602161297
431,-0.1804330392942989
432,0.0801282051282034
433,0.1200480192076734
434,-0.0200120072043186
435,0.0
436,0.1598401598401564
437,-0.0199840127897642
438,0.019980019980016
439,-0.0399760143913572
440,-0.0600000000000022
441,0.1398042740163776
442,0.0253580577724491
443,-0.2656656656656653
444,-0.1102314861208532
445,-0.1505419510236909
446,0.1202886928628754
447,-0.1505872904326931
448,-0.150814397747844
449,-0.040233353450002
450,-0.0936648501362393
451,0.0680735194009515
452,-0.4616173704906753
453,0.0768770820876306
454,0.1279645111755721
455,-0.0512120177535014
456,0.0255994538783182
457,0.0426475605595335
458,-0.1195559350982071
459,0.0170765027322491
460,0.0341413451689928
461,-0.0597830728499386
462,-0.0170837960194842
463,-0.093878088443755
464,-0.0857436248502489
465,0.0342172797262671
466,0.0854700854700806
467,0.0720847525374877
468,0.1497526863380546
469,-0.1366353543979597
470,0.0170765027322491
471,0.0341413451689928
472,-0.0426949022286714
473,0.0
474,0.0512076470086219
475,-0.1592039800994991
476,0.3075091756770184
477,0.0891972249752263
478,0.2767345325163086
479,-0.3969041476483486
480,0.0406661310639616
481,0.2660995152834162
482,-0.206777463437268
483,-0.1900883901082546
484,0.0
485,-0.0298032982316721
486,-0.2090592334494711
487,-0.0298745269866571
488,-0.2595846645367463
489,0.0598682897625247
490,0.0398962696987894
491,-0.0199521149241921
492,0.0996611520829265
493,-0.0997605746209183
494,0.0598205383848477
495,0.0623738324834184
496,-0.082369365775827
497,0.079713033080907
498,0.0398406374502054
499,-0.0398565165404605
500,-0.254790052996331
501,-0.0407830342577551
502,0.0
503,0.1018537380321944
504,0.2235772357723565
505,-0.1832620647526031
506,-0.1427406199021212
507,0.1018537380321944
508,0.3046303818034089
509,-0.0507975210809683
510,0.1724137931034356
511,-0.0379454275759679
512,0.0176506390748579
513,0.0810865599026944
514,-0.091305671096686
515,0.0304259634888449
516,0.0304167089120968
517,-0.0101399310484596
518,0.0608025942440233
519,0.1012350678274897
520,0.1415285078851603
521,-0.0910654659516375
522,0.0505663430420683
523,-0.0202306291725632
524,-0.4674796747967416
525,-0.1532958610117464
526,-0.1449893390191912
527,0.0984956409714606
528,0.0633514986375997
529,-0.0511160333958104
530,-0.0085200647524843
531,-0.1194233557962983
532,0.0085295121118994
533,-0.2393980848153224
534,-0.1807295993969957
535,0.1035338410199446
536,0.1196478933424498
537,-0.1624719012636558
538,-0.0515587529975973
539,0.0325348036781423
540,0.0445014976465489
541,0.0598699965788636
542,-0.0256651552741903
543,-0.0427935638479948
544,0.0598751176118323
545,-0.0085543199315576
546,0.0171057133082415
547,0.0854554776961154
548,-0.0256432173690068
549,-0.0256497948016425
550,0.1202645820805818
551,-0.3419147224456993
552,-0.0402414486921449
553,-0.302724520686187
554,0.0201775625504542
555,-0.0403714170367443
556,0.1813419302841092
557,-0.2524997475002525
558,0.3522544283413791
559,0.3110263870773575
560,-0.1607878605165275
561,-0.3934624697336567
562,-0.1920549883756168
563,0.1211509338717721
564,0.1713364241080444
565,-0.0201612903225766
566,0.3415712276471804
567,-0.1710777900774898
568,-0.33319870759289
569,-0.070728503586953
570,0.2016738933145133
571,0.0100826779592711
572,-0.060532687651334
573,-0.3238866396761208
574,-0.1419014798297188
575,0.0646099176223536
576,-0.0161550888529854
577,0.0968366688185963
578,0.0
579,0.145044319097496
580,-0.1452550032278829
581,-0.0161420500403519
582,-0.3563907338409298
583,0.0323886639676164
584,-0.0747116470757969
585,0.1393429357501243
586,0.0161812297734595
587,-0.0809716599190237
588,0.06473539407671
589,0.0323572237502072
590,0.0404301770841733
591,-0.0242639922355234
592,0.0727390285298661
593,0.1259222188140643
594,0.0193688967799216
595,-0.1212023270846731
596,-0.0968940522580941
597,-0.113522267206472
598,0.0161917098445563
599,0.0647249190938497
600,-0.101505667399767
