,META.US
177,0.3506613349738675
178,-0.6844436185698028
179,0.2856569337430358
180,0.5207213296058472
181,0.3932128704539619
182,-0.5894484117212573
183,-0.3862435497327194
184,0.0730547700812649
185,0.2764465563343821
186,0.2903196094685322
187,0.2175111819128841
188,-0.0536406688225141
189,-0.1242634040438846
190,0.1042062664786314
191,0.4334554334554382
192,0.379506641366221
193,-0.0206825232678509
194,0.3274116291760264
195,0.0303067038428797
196,-0.2339074698502329
197,-0.027347310847759
198,0.4928190647413384
199,-0.3702163819003962
200,-0.3253826003033246
201,-0.093842289751863
202,0.2944575926027831
203,-0.0681018261368352
204,-0.0530941753457877
205,-0.1960080611765948
206,-0.2352094747910849
207,-0.1246779153852516
208,-0.4505845910645731
209,-0.108937924885758
210,0.0250689395838486
211,-0.7040673211781181
212,-0.3151556080814915
213,0.3169616560545273
214,0.0252383623107212
215,-0.2079469454279798
216,0.2891631081671716
217,0.2565607445292212
218,-0.1273243693246167
219,0.0880700086672065
220,0.1981137340253305
221,-0.0670128999832493
222,0.0293095507264632
223,-0.1299681368438794
224,0.1813464274753882
225,0.2132520944402098
226,0.2279635258358662
227,-0.1278227524499409
228,0.1276595744680899
229,-0.1613541571528519
230,0.3480098574982809
231,0.7282063637869596
232,-0.0768581590210538
233,0.0722848021203569
234,-0.0271141505739086
235,-0.2264629506612718
236,-0.205748865355524
237,0.1842288061369374
238,0.0603664241948593
239,-0.1021234424664389
240,-0.1367542054943719
241,0.0362932494556026
242,0.0075605219784477
243,-0.0786913030977278
244,0.0801705385518733
245,-0.0620640612470354
246,-0.0257279496337488
247,-0.0454228870786958
248,0.0423767291218895
249,-0.0181647543216984
250,0.211579149836502
251,-0.0316094718469576
252,-0.1362435318727305
253,-0.0605893693197384
254,0.055050922102942
255,-0.0144804890551133
256,-0.0874548811065551
257,-0.0799691153761362
258,0.0271545479732648
259,0.0665325913273542
260,-0.0082656013225043
261,-0.0965250965250871
262,0.1542294982295624
263,-0.0344594873772432
264,-0.0647739801543587
265,-0.0386036508024006
266,0.0082715266480941
267,0.0551131196781362
268,-0.038594073053063
269,-0.0441269753716387
270,0.0330842822089285
271,0.013783217554309
272,0.0275588381193911
273,-0.052389224363746
274,0.1404262349248281
275,0.1798408175911054
276,-0.1524092219728492
277,-0.080836314847941
278,-0.0307563260170595
279,0.0852062410079498
280,-0.0796823887941309
281,-0.1105590931355506
282,-0.0321984544741718
283,0.0111982082866639
284,0.1226377689656564
285,-0.0303750734204189
286,0.2162961722554902
287,0.0195326124869182
288,-0.0341099916037001
289,-0.006364626078207
290,0.089248361455862
291,0.0083663338724894
292,-0.2165984265172307
293,0.2675846306077737
294,-0.0515923922137325
295,0.1030784231787169
296,-0.206582730800371
297,-0.2476736864199232
298,-0.0826261098507172
299,-0.4784285030816392
300,-0.3126026754283064
301,0.0234631628343444
302,0.1075387415209957
303,0.2653832932279065
304,-0.219110878372796
305,-0.0907859814968687
306,0.0686698828394206
307,-2.756720263048948e-05
308,0.0082970395280742
309,0.0550719199603101
310,-0.1171960116396076
311,-0.0538138867424641
312,0.0248310111739481
313,-0.0137969094922768
314,-0.116028509862412
315,0.093839699712954
316,-0.0883977900552467
317,-0.0663423264042484
318,-0.0082934785613503
319,0.0221110527624952
320,-0.0110567487630318
321,0.0193455671014794
322,-0.047004175076716
323,-0.0608659565638476
324,0.044246563977773
325,-0.0879288170293129
326,-0.1393050517794326
327,0.1338688085676162
328,0.1887393552470755
329,0.0287061288632793
330,0.1595146570434909
331,0.2295911711758708
332,-0.1057758857098161
333,0.1447423325683305
334,0.0338921187788397
335,-0.0221651433563189
