,QCOM.US
106,-0.0495049504950357
107,0.8615988657432566
108,-0.188488540443084
109,0.0191183700223939
110,0.1064032957738756
111,0.0109119677005811
112,-0.0901048492791568
113,0.1063742737910117
114,-0.0550175695988588
115,-0.1882211407010448
116,0.1528801528801535
117,0.0545702592087281
118,0.1199106120891692
119,-0.1091286080645979
120,0.190611044548521
121,0.0353866673925457
122,-0.0735494415690497
123,-0.1200021818578513
124,0.2177107712403947
125,-0.0054229934924028
126,-0.0054232875969517
127,0.897559926905308
128,-0.927583401139142
129,-1.3190436933223444
130,-0.0109932391579078
131,-0.2313922097956123
132,-0.3593940064137881
133,0.1159772463687963
134,-0.0607869142351819
135,0.0717875089734361
136,0.4945326666300377
137,0.1152579582875848
138,-0.1043898686885323
139,-0.1540747262422281
140,0.2853223593964391
141,0.5999454595036784
142,-0.2023721757112871
143,-0.103780294326832
144,-0.0766493293183609
145,-0.1096190737188364
146,0.2705731230697776
147,-0.1560275922478904
148,-0.1260757550841362
149,-1.0300714404386186
150,-0.5363198990456601
151,0.1221001221001118
152,0.0983709766270559
153,-0.0866414618777563
154,-0.0709387562071326
155,-0.0788830164865571
156,-0.4675859882707157
157,0.1661523854735293
158,0.4881505393276156
159,-0.4945207105273568
160,-0.0277008310249393
161,0.181703270658875
162,-0.1978944035462677
163,0.0711912672045589
164,0.2918211215395571
165,0.3536623703237886
166,-0.0471772291240667
167,0.2040175768989257
168,-0.0863896960653415
169,0.2272371101708245
170,-0.208079777001296
171,-0.0353467912968358
172,0.0745653624269054
173,0.0313860881164361
174,0.4957838850718451
175,-1.4196305907494926
176,-0.406161391677524
177,0.2751241880015172
178,0.8561903318684616
179,-0.0416903543679957
180,-0.5027996800365864
181,0.1306332249668589
182,0.5773827534039234
183,-0.2846962670880203
184,-0.476143292682941
185,-0.5461063673580595
186,-0.5450762829403659
187,-0.7982776216639509
188,-0.6190997186620772
189,0.48992923244421
190,-0.70475314844299
191,-0.7894072144604967
192,0.6490863621285572
193,0.5942469597754881
194,0.0155884645362511
195,-0.0701973325013676
196,-0.4386995691343535
197,0.4833554221563924
198,0.0778998208304076
199,-0.4460093896713673
200,0.1905972045743401
201,0.5811015664476931
202,0.767808455294741
203,-0.8183254344391705
204,0.6310633889045841
205,-1.5203671830177796
206,0.1273317629082502
207,0.0699834584552829
208,0.3486971406834356
209,-0.4649681528662355
210,-0.2746375423133466
211,-0.7464127147545181
212,-0.2483470407998651
213,0.5548784399255763
214,0.2495520859994975
215,0.044771346338339
216,-0.208299951930773
217,0.443466054109235
218,-0.4615384615384608
219,-0.2248634757468643
220,-0.218917004700279
221,0.8371791302837581
222,0.1649668536461039
223,0.0987041105486045
224,-0.4702495201535413
225,0.2862876254180583
226,-0.7564484126984081
227,0.2585065987210643
