,ORLY.US
347,0.0613722842764157
348,-0.1497491143569078
349,0.0122913267928591
350,-0.7461871067812779
351,0.3443154646822552
352,0.1426297457880841
353,-0.1452043119367349
354,-0.0465817667911593
355,0.1962051249724216
356,-0.1230749810653832
357,-0.2318700212037444
358,-0.0544188622517544
359,0.0790576330144675
360,0.078995181293941
361,-0.1027993041278018
362,0.0932231509425069
363,0.0773627206416383
364,0.0362999321349123
365,0.0354981974804204
366,-0.0655173502573454
367,0.1843710112040959
368,-0.0141843971631255
369,0.1070562675147123
370,0.0582172921091974
371,-0.0267556422927947
372,-0.184481480897488
373,0.1102518467184218
374,0.105415525976285
375,0.3024652254213432
376,0.3370147077130985
377,-0.285362678128718
378,-0.3139899988370936
379,0.1152650201937337
380,0.3224140080870599
381,-0.0089072576335116
382,0.2008996035344099
383,-0.1081581732748437
384,-0.3021047182105514
385,0.0285546017525532
386,0.0962789951325554
387,0.0089139271197237
388,-0.0213980028530678
389,0.0481223376762428
390,0.1050457572196557
391,-0.0552240135387806
392,0.1485276199115812
393,-0.1719468301200809
394,0.0142526278282428
395,-0.1749000571102056
396,0.0178437600370987
397,0.254516329981323
398,0.1652510750204254
399,-0.1263187859163311
400,0.0543277142204624
401,0.1438792357889892
402,-0.2293162278662623
403,0.2046410791132596
404,0.1717565042628966
405,-0.1959901466889859
406,-0.0856872933396209
407,0.1006700852549763
408,0.2322588744860516
409,0.200469851213778
410,0.0219215833646477
411,0.0774484263887918
412,0.0898844789045107
413,-0.0750903430690077
414,-0.0579156622734252
415,-0.0932214675722509
416,0.2157446708721236
417,0.0726437643530068
418,-0.1925244177310321
419,-0.1599096980528614
420,0.1369895183448534
421,-0.05560951157618
422,0.0485368488625247
423,-0.2039567611666433
424,0.1988538502489559
425,-0.0482615975573731
426,-0.0394127500246307
427,-0.1519696850082856
428,0.0887346439768873
429,-0.1342679435284839
430,0.1163616282739097
431,0.0945775535939394
432,0.4569971560262902
433,0.185982772122159
434,-0.3181586079578939
435,-0.0963258566120838
436,0.1246748147057362
437,-0.0638506876227875
438,-0.0275124788743438
439,-0.1210046335920686
440,-0.0186952671455332
441,0.1611096921233177
442,-0.0270029868369309
443,0.0328880157170896
444,-0.0216156733282268
445,-0.176182836445237
446,-0.1468703794972902
447,-0.04338993747905
448,0.0965479192938227
449,-0.0216787213495904
450,-0.1896464314550182
451,-0.2182871982085549
452,-0.0564854738189743
453,-0.4472855535276946
454,0.2000736119893065
455,0.4144658934982502
456,-0.0112792555691221
457,0.0788924995773539
458,0.003756644565071
459,-0.1335389708095163
460,0.0526355365065204
461,-0.1148019196386588
462,0.2384439187413131
463,-0.4242321398269133
464,-0.0094282697239316
465,-0.111377494195162
466,-0.288713662309137
467,-0.1127726919504989
468,0.3315292850868485
469,-0.0066121323182075
470,-0.0141708628166092
471,-0.1182301420653387
472,0.0378193370270305
473,0.1849719710839555
474,-0.022654760331494
475,0.4025811536232057
476,-0.7756748717185944
477,0.0557434315656387
478,-0.1856910826395024
479,0.1092474477936622
480,0.2152413114875713
481,0.1500722570126466
482,-0.3271497081675881
483,0.1076945929886971
484,-0.0399372149829418
485,0.1925716331435208
486,0.1270761197622666
487,0.1838965743487389
488,0.3104560110548034
489,0.10674912116026
490,-0.3083114869106216
491,0.0405993946999386
492,-0.0757197998042307
493,0.0977859778597735
494,-0.3898906268811562
495,0.0379559340862879
496,-0.2003636228711441
497,0.1518968583284028
498,-0.1251935863789504
499,0.6110824362188568
500,-0.4283475831999159
501,-0.8355158644970175
502,-0.0730428804674666
503,-0.5234788017000056
504,0.1552473607948625
505,-0.2204185359022858
506,-0.019884840834819
507,-0.0666153353692809
508,-0.201983425222802
509,-0.2050034746351546
510,0.0451498628138767
511,0.344380029419401
512,0.1278971292279522
513,-0.3703671578874311
514,-0.211216188025873
515,0.0174679168249081
516,0.0016511688537416
517,0.3964406897029229
518,-0.2394752368722443
519,0.0624327980299007
520,-0.0555266354329429
521,-0.0798833009169079
522,0.1750888445869794
523,0.4272213351745605
524,-0.0578593758096057
525,0.2483758069647935
526,-0.0174509320850858
527,0.2968087937281208
528,0.1624687068921506
529,-0.2037556570352025
530,0.1655967616633279
531,-0.2007538511963211
532,0.1605497550849212
533,0.1908630685065735
534,0.2991757403073221
535,0.0813421453990802
536,0.3404738260746219
537,-0.0770712909441223
538,-0.1238729591422333
539,0.5814422999273188
540,0.1169590643274821
541,-0.2091479494407501
542,0.0151533519214427
543,0.1412315390202543
544,0.3132557987520059
545,0.1230389104276755
546,-0.249713031395374
547,0.1126465914348364
548,-0.0724681442116097
549,-0.0483354480091855
550,0.2257764024187994
551,0.0173643998232009
552,0.3413828364666025
553,0.0990601154868434
554,0.363247729408082
555,0.001565900941105
556,-0.0172278778386865
557,-0.0893514962456774
558,0.0673601102826091
559,-0.1985575149702927
560,0.0917388031614481
561,0.0188146754468492
562,0.0250799423161455
563,-0.1507064364207278
564,-0.1966181675186787
565,-0.0235997482693482
566,0.3629010134578966
567,0.1869787673483516
568,-0.0673263606187861
569,-0.0611007535759586
570,-0.0423184226199777
571,0.1232765739287692
572,-0.073236833035682
573,0.0368006890341797
574,-0.03838140146946
575,0.5080681217737675
576,-0.920893410177002
577,0.0143548519399543
578,0.1187989021342921
579,-0.227874607378213
580,0.1076624934633439
581,0.2138413685847622
582,0.0
583,-0.1393442622950833
584,-0.0861397104065006
585,-0.1376024316608734
586,-0.0390368178829712
587,0.1374669156117194
588,-0.2653774943427203
589,0.0287923659098359
590,-0.2329368596813084
591,0.0041226063117065
