,ADP.US
162,-0.1169590643274898
163,0.0952092439520486
164,0.0864790072210044
165,0.1338630278953287
166,0.1681251886019685
167,0.0215498663908332
168,0.0
169,-0.2073075926405883
170,-0.346710583340549
171,-0.3479168478733632
172,0.0130451798060621
173,0.1822995789747764
174,0.3374140243111135
175,0.2985981071916612
176,0.1616896569147557
177,-0.0303260045489018
178,0.0303168106715185
179,0.0555499444500624
180,-0.3471254465756213
181,0.2098609355246483
182,-0.0455327329758187
183,-0.101286336473204
184,-0.1674022218840422
185,-0.0558318952390545
186,0.0152245622938346
187,0.070997515086965
188,-0.065969755404443
189,-0.1397464237619766
190,0.1091370558375651
191,-0.0406256347755497
192,0.0773826891118768
193,0.0139523084728581
194,0.1772600658394501
195,-0.1318525280186575
196,-0.0202891199594177
197,0.0354933576716322
198,-0.0152137532329231
199,-0.137111517367464
200,-0.1050472712720764
201,-0.0600630662195327
202,-0.2609524765393595
203,0.2003305453998984
204,-0.0300586142978677
205,0.1000950903358133
206,-0.0400540729985543
207,0.0450405364828362
208,-0.0500700981373894
209,-0.1052578818104395
210,-0.0953241019466173
211,-0.0401525798032443
212,0.0476584643941098
213,-0.1381493017180778
214,0.0251117472753811
215,0.0301250188281236
216,0.0401505646173212
217,-0.0426781814073797
218,0.0677370797792369
219,0.0275889744425664
220,0.0025080256821949
221,-0.0652512171861787
222,-0.070319955798878
223,0.020087380103446
224,0.2604557976458854
225,0.1755001755001655
226,0.5801526717557306
227,0.4624101773657806
228,-0.3594927883567861
229,0.5395800377055949
230,0.2796241712838472
231,0.0380178856871274
232,0.2262979805599283
233,-0.0107772556796161
234,-0.0841333189515664
235,-0.2400311391748148
236,0.0389088236565662
237,-0.2948445562155863
238,-0.0216844479139487
239,-0.143322475570038
240,-0.2350790126681433
241,-0.20065430752454
242,0.0479595395884258
243,0.3886994853531875
244,-0.028237542899343
245,0.1474862273890614
246,-0.4181731062421083
247,-0.5276640465920716
248,-0.0416173829237301
249,-0.6348366618172189
250,-0.091444828286937
251,0.0355492356914291
252,-0.0101579562192138
253,0.4197855553307771
254,-0.1747941735275485
255,-0.1852697832597376
256,0.5351643358408655
257,0.2317030171762494
258,-0.2778058389736395
259,0.1513011902360355
260,-0.202142712755208
261,0.0606060606060629
262,0.070657111133535
263,0.0302724520686187
264,0.0252206809583916
265,0.0604930180974968
266,-0.2678932470683386
267,0.0151614696517921
268,0.0555611677947192
269,-0.030315278900567
270,0.0373748699455601
271,0.0888126356158791
272,-0.0909136825092067
273,-0.0378950559583745
274,-0.2202754709337666
275,0.5981035740335555
276,-0.0700709468336717
277,-0.014600245284124
278,-0.0058404392010226
279,-0.0525915970314985
280,0.1429613420860712
281,0.6521739130434783
282,-0.830021042786993
283,0.0525793071215604
284,-0.1228357510528658
285,0.1810007590354424
286,-0.2722402739966648
287,0.0497395985721689
288,-0.1435729145301509
289,0.2251067064257679
290,-0.3137921933194502
291,-0.291176470588238
292,0.0910934148276578
293,-0.3006277815438067
294,-0.1860272840016522
295,-0.1300928389805445
296,-0.1955207963028868
297,-0.5420861380830384
298,-0.3287114511116492
299,-0.4261448892623368
300,0.107383923092661
301,-0.092128160507732
302,0.2043109612830757
303,0.2166101781300228
304,0.1094593218613048
305,0.1677255400254193
306,0.0457224141434685
307,-0.1679303852221325
308,0.0228943552695255
309,0.1143408883016537
310,0.0203231378924865
311,-0.0610066090493159
312,-0.0763164589162947
313,0.0660972137482181
314,0.0152508769254237
315,-0.1323491982692895
316,-0.0407394204817355
317,0.0101838179133264
318,0.0407186847864877
319,-0.0254556562468238
320,-0.0101832993889927
321,0.1068104369055531
322,0.0305079574922325
323,0.0762117670968426
324,-0.005081042629943
325,0.8167583580194697
326,0.0084631008801547
327,0.1879500770806467
328,0.174972594653858
329,-0.0886188125079157
330,-0.0717482805117111
331,0.0484984066015261
332,0.0274284749767903
333,-0.0295470853910739
334,0.1201543034212342
335,-0.2641924166208733
336,0.0549218419940834
337,0.0021123339177558
338,0.1202582387442493
339,-0.1902426650883643
340,-0.0613380147634179
341,-0.0021151486949633
342,-0.0338538360627921
343,-0.1483302254619403
344,-0.0339155502798085
345,0.2600477811370257
346,0.1625295508274193
347,0.0
348,0.103321033210334
349,0.2419015565839245
350,0.0
351,-0.0207992868815906
352,0.1513083723966032
353,0.0118659151587126
354,0.0918763522124425
355,0.2158869107470164
356,-0.0118308192842246
357,-0.1125192467132522
358,0.2834534073461614
359,0.3061344636759744
360,0.3695231391870464
361,0.2457433737054517
362,0.0876885303402348
363,0.1138652886047082
364,0.2533636204787712
365,0.0203814237880312
366,-0.0262115563839628
367,0.1163602513381362
368,-0.0232774674115409
369,0.1974677662910927
370,0.2231043374960107
371,0.1533298617138313
372,-0.3950043566657024
373,0.173963467671779
374,0.0869061413673265
375,-0.1697181649866347
376,-0.1906528572164706
377,0.0206068723919532
378,-0.1599587203302385
379,-0.0309693403530516
380,0.1340206185566963
381,0.0721129082105626
382,-0.3074220465524808
383,-0.111208813945055
384,0.0878552971576162
385,0.1290322580645161
386,0.1340137106334678
387,-0.038672751179513
388,-0.0799876148209315
389,-0.0673897944482232
390,0.0934836431999772
391,0.020271315830194
392,-0.0937588415207121
393,-0.1491209927611146
394,-0.2150426198927336
395,0.0854258348433818
396,-0.0569830087028665
397,0.1241721854304682
398,0.0982064402749768
399,-0.4830165160486168
400,-0.179577991719466
401,-0.2400120006000249
